Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
100.0,1618.0,-2.14,-6.52,4.91,-10.09,28.71,-12.07,27.78,100.0-110.0
100.0,1502.0,2.08,5.07,16.24,6.86,-25.49,8.88,27.78,100.0-110.0
100.0,2927.0,2.61,6.32,15.25,6.88,-36.35,13.37,27.79,100.0-110.0
100.0,0.0,-0.88,2.94,6.97,4.1,-8.23,7.22,27.78,100.0-110.0
100.0,2342.0,-1.87,-5.46,7.88,-5.51,25.26,-9.7,27.79,100.0-110.0
100.0,1106.0,1.0,0.55,13.83,2.21,-0.63,0.26,27.78,100.0-110.0
100.0,2337.0,2.52,4.79,17.12,5.69,-29.63,9.08,27.77,100.0-110.0
100.0,1804.0,1.93,6.16,14.44,7.17,-35.19,11.98,27.79,100.0-110.0
100.0,0.0,-1.49,-6.09,5.17,-10.03,26.56,-12.01,27.79,100.0-110.0
100.0,2925.0,-1.23,-6.93,7.14,-7.71,30.05,-13.87,27.76,100.0-110.0
100.0,2189.0,-2.1,-3.0,10.69,-2.64,13.39,-7.77,27.77,100.0-110.0
100.0,690.0,2.12,0.96,15.42,1.61,-13.13,1.28,27.78,100.0-110.0
100.0,2926.0,-1.37,3.67,6.1,5.52,0.1,7.03,27.77,100.0-110.0
100.0,225.0,-3.9,-0.24,3.13,-2.71,14.79,-0.32,27.77,100.0-110.0
100.0,1160.0,-1.43,-4.77,4.96,-9.36,21.92,-7.55,27.77,100.0-110.0
100.0,2496.0,0.34,-6.94,7.05,-9.39,27.81,-11.87,27.78,100.0-110.0
100.0,511.0,2.14,3.56,16.63,4.71,-30.34,7.89,27.8,100.0-110.0
100.0,2926.0,0.89,5.47,13.6,8.13,-30.14,10.85,27.79,100.0-110.0
100.0,2434.0,1.27,5.72,9.57,9.56,-16.56,10.47,27.79,100.0-110.0
100.0,116.0,-0.99,4.6,6.54,6.75,1.29,6.77,27.76,100.0-110.0
100.0,2064.0,-1.58,-6.01,8.69,-6.84,23.25,-11.86,27.78,100.0-110.0
100.0,2927.0,-2.45,-3.54,10.64,-3.79,9.94,-7.57,27.77,100.0-110.0
100.0,389.0,0.96,-0.86,13.47,-1.15,-7.82,-1.56,27.76,100.0-110.0
100.0,1773.0,2.71,1.57,15.8,2.16,-21.66,4.26,27.77,100.0-110.0
