Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
100.0,0.0,-0.84,4.2,9.65,5.59,-5.62,5.82,17.77,100.0-110.0
100.0,1812.0,1.8,-6.68,5.97,-4.58,9.63,-3.24,17.77,100.0-110.0
100.0,2928.0,0.5,-5.07,8.37,-5.36,6.01,-7.01,17.79,100.0-110.0
100.0,2928.0,1.19,5.62,10.82,7.33,-6.1,6.0,17.77,100.0-110.0
100.0,2444.0,2.07,-4.87,6.19,-3.62,5.69,-2.62,17.77,100.0-110.0
100.0,831.0,-3.52,-6.53,7.96,-6.69,9.51,-8.29,17.77,100.0-110.0
100.0,2928.0,0.67,3.46,10.09,2.99,0.46,0.47,17.78,100.0-110.0
100.0,1022.0,-1.33,-2.84,9.36,-3.87,-3.95,1.3,17.77,100.0-110.0
100.0,2398.0,-6.74,-7.85,6.52,-6.49,19.24,-7.32,17.76,100.0-110.0
100.0,2928.0,5.8,-2.75,11.47,-2.63,6.23,-4.48,17.77,100.0-110.0
100.0,2404.0,-2.51,9.76,17.58,4.07,-24.08,7.96,17.78,100.0-110.0
100.0,1882.0,5.23,-9.36,2.05,-2.63,22.4,-6.84,17.75,100.0-110.0
100.0,2476.0,-1.87,-8.77,12.84,-11.46,-4.09,-9.44,17.76,100.0-110.0
100.0,2928.0,-1.69,5.99,7.57,5.03,5.28,0.59,17.76,100.0-110.0
100.0,2928.0,9.86,8.53,17.04,9.07,-23.06,9.48,17.77,100.0-110.0
100.0,2033.0,-6.31,-8.4,-2.05,-4.38,34.58,-9.47,17.76,100.0-110.0
100.0,2928.0,10.98,-8.58,16.05,-8.21,-0.79,-6.66,17.78,100.0-110.0
100.0,2928.0,-6.54,9.71,11.46,0.93,-26.08,7.5,17.77,100.0-110.0
100.0,876.0,6.84,-6.42,10.83,-1.73,10.1,-1.24,17.78,100.0-110.0
100.0,2798.0,-11.84,-7.66,2.9,-11.4,15.7,-8.03,17.78,100.0-110.0
100.0,2928.0,10.75,-8.13,14.3,-4.05,13.34,-6.89,17.78,100.0-110.0
100.0,2928.0,-3.16,9.03,15.2,-1.24,-38.47,6.39,17.78,100.0-110.0
100.0,0.0,7.2,-5.52,8.26,2.95,24.26,-3.15,17.77,100.0-110.0
100.0,2928.0,-9.39,-8.28,4.68,-13.33,8.76,-9.3,17.78,100.0-110.0
100.0,2928.0,7.41,-9.3,14.37,-5.86,15.08,-8.57,17.77,100.0-110.0
100.0,2378.0,-0.98,7.95,14.97,-1.46,-35.66,5.93,17.74,100.0-110.0
100.0,1365.0,5.77,-4.3,7.39,3.98,23.06,-0.8,17.77,100.0-110.0
100.0,1631.0,-7.56,-8.3,1.69,-11.98,15.62,-8.05,17.79,100.0-110.0
100.0,2928.0,6.33,-10.83,16.52,-9.08,11.86,-8.8,17.77,100.0-110.0
100.0,2928.0,-1.0,6.32,13.51,-1.91,-32.61,4.98,17.78,100.0-110.0
100.0,1212.0,5.35,-3.67,8.6,3.7,15.03,-0.11,17.75,100.0-110.0
100.0,2288.0,-6.91,-7.75,-1.7,-7.88,23.45,-8.46,17.77,100.0-110.0
100.0,2928.0,6.13,-11.81,18.12,-10.38,9.66,-10.29,17.76,100.0-110.0
100.0,2928.0,-1.13,4.93,11.02,-2.89,-27.95,2.62,17.76,100.0-110.0
100.0,1452.0,4.94,-1.19,8.56,3.4,7.13,1.46,17.77,100.0-110.0
100.0,1625.0,-5.6,-7.39,-4.39,-5.41,32.18,-7.88,17.75,100.0-110.0
100.0,2927.0,4.07,-13.33,19.99,-14.93,5.0,-10.54,17.79,100.0-110.0
100.0,2090.0,-1.37,1.67,9.47,-3.97,-17.46,0.69,17.76,100.0-110.0
100.0,2928.0,1.76,1.9,8.44,3.46,-4.97,4.75,17.74,100.0-110.0
100.0,0.0,-3.4,-7.29,-4.13,-0.72,41.53,-6.69,17.75,100.0-110.0
100.0,2928.0,1.66,-13.44,17.4,-16.56,3.72,-11.07,17.77,100.0-110.0
100.0,2650.0,-0.65,-3.03,10.51,-5.54,-4.99,-3.91,17.78,100.0-110.0
100.0,433.0,-3.73,7.03,6.49,6.57,-11.32,6.42,17.78,100.0-110.0
100.0,0.0,-0.64,-6.85,0.67,2.56,42.71,-5.45,17.77,100.0-110.0
100.0,2928.0,-2.3,-12.32,11.15,-16.35,6.56,-10.28,17.8,100.0-110.0
100.0,1155.0,2.05,-8.09,13.93,-7.47,6.18,-6.36,17.77,100.0-110.0
100.0,2654.0,-8.99,11.38,3.86,10.95,-10.41,10.29,17.77,100.0-110.0
100.0,399.0,3.5,-4.45,5.6,4.22,32.55,-1.23,17.77,100.0-110.0
100.0,2928.0,-4.48,-10.55,1.24,-13.43,18.16,-9.94,17.76,100.0-110.0
100.0,2928.0,3.23,-13.2,20.7,-12.7,6.48,-10.98,17.77,100.0-110.0
100.0,2512.0,-7.4,12.81,2.64,14.87,-4.84,8.86,17.76,100.0-110.0
100.0,0.0,4.21,-1.02,8.04,4.37,10.51,1.64,17.77,100.0-110.0
100.0,2864.0,-4.53,-8.93,-4.81,-4.84,36.25,-8.67,17.75,100.0-110.0
100.0,2927.0,2.78,-14.66,20.8,-17.0,0.37,-11.59,17.73,100.0-110.0
100.0,2786.0,0.57,13.87,5.68,18.95,-3.42,11.16,17.76,100.0-110.0
100.0,938.0,-2.19,5.25,7.13,5.37,-5.48,7.06,17.78,100.0-110.0
100.0,2821.0,-1.33,-7.42,-0.68,1.43,45.07,-5.07,17.76,100.0-110.0
100.0,2928.0,-1.58,-13.19,13.42,-18.33,2.65,-11.42,17.79,100.0-110.0
100.0,1296.0,4.64,14.0,15.61,16.69,-12.7,9.82,17.76,100.0-110.0
100.0,2389.0,-9.6,10.86,4.77,9.56,-9.66,7.99,17.78,100.0-110.0
100.0,378.0,4.26,-4.91,5.42,4.59,33.69,-2.54,17.77,100.0-110.0
100.0,2928.0,-4.64,-10.43,0.86,-13.16,18.68,-10.8,17.78,100.0-110.0
100.0,1751.0,5.23,12.64,20.28,9.0,-30.37,9.68,17.78,100.0-110.0
100.0,2538.0,-7.43,12.82,2.82,14.54,-3.39,9.86,17.78,100.0-110.0
100.0,0.0,4.99,-0.61,6.88,4.62,10.44,3.73,17.76,100.0-110.0
100.0,2928.0,-4.54,-8.53,-4.16,-5.01,38.73,-7.42,17.77,100.0-110.0
100.0,2928.0,3.96,10.11,14.46,2.85,-36.97,7.87,17.75,100.0-110.0
100.0,1232.0,0.58,13.52,7.95,17.47,-5.6,9.91,17.76,100.0-110.0
100.0,0.0,-3.46,5.54,6.5,6.22,-7.77,6.51,17.77,100.0-110.0
100.0,2928.0,-0.12,-6.2,0.01,4.13,46.49,-5.27,17.76,100.0-110.0
100.0,2928.0,1.51,5.18,9.14,-0.8,-26.73,2.71,17.76,100.0-110.0
100.0,2011.0,4.57,14.73,17.25,15.91,-14.91,10.22,17.74,100.0-110.0
100.0,1223.0,-10.41,11.11,4.12,10.36,-8.48,8.96,17.76,100.0-110.0
100.0,2023.0,5.24,-4.24,6.25,4.53,31.37,-0.45,17.76,100.0-110.0
100.0,2928.0,1.26,-3.3,9.95,-5.94,-8.33,-2.92,17.74,100.0-110.0
100.0,1089.0,4.93,12.73,19.46,8.16,-32.91,10.46,17.77,100.0-110.0
100.0,1446.0,-5.62,12.67,3.45,15.77,-3.42,10.32,17.77,100.0-110.0
100.0,0.0,3.95,0.8,6.3,5.88,7.83,4.11,17.78,100.0-110.0
100.0,2927.0,4.7,-11.9,16.61,-10.9,1.07,-8.93,17.75,100.0-110.0
100.0,1843.0,2.1,9.95,12.96,2.94,-36.01,7.04,17.74,100.0-110.0
100.0,1473.0,2.07,13.58,11.54,17.51,-9.99,10.29,17.75,100.0-110.0
100.0,0.0,-5.06,8.26,3.93,8.54,-4.85,7.74,17.76,100.0-110.0
100.0,2928.0,3.88,-15.85,23.49,-18.0,-3.37,-12.02,17.74,100.0-110.0
100.0,2928.0,0.88,3.66,7.83,-1.53,-20.2,1.64,17.76,100.0-110.0
100.0,1921.0,4.52,14.24,20.31,11.73,-26.2,10.48,17.74,100.0-110.0
100.0,912.0,-8.1,12.51,1.72,14.05,-4.87,10.19,17.77,100.0-110.0
100.0,2294.0,-0.64,-16.02,17.23,-22.82,-4.39,-13.19,17.75,100.0-110.0
100.0,2928.0,2.48,-8.5,15.07,-8.15,-2.62,-6.34,17.74,100.0-110.0
100.0,1221.0,3.91,12.11,14.09,4.97,-38.74,8.08,17.74,100.0-110.0
100.0,2928.0,0.12,13.99,8.73,18.6,-4.67,10.14,17.75,100.0-110.0
100.0,0.0,-4.45,-12.87,-0.02,-14.81,20.23,-12.23,17.75,100.0-110.0
100.0,2928.0,3.29,-16.96,25.29,-19.23,-5.8,-12.0,17.76,100.0-110.0
100.0,1971.0,1.43,3.99,7.94,-0.19,-22.68,3.14,17.76,100.0-110.0
100.0,1554.0,4.45,15.97,18.99,13.33,-24.83,11.79,17.75,100.0-110.0
100.0,1183.0,-1.97,-9.26,-0.49,-0.68,47.7,-6.65,17.76,100.0-110.0
100.0,2928.0,-0.7,-15.78,14.22,-24.07,-4.87,-13.85,17.76,100.0-110.0
100.0,2907.0,2.1,-11.16,18.99,-11.14,-6.24,-8.28,17.77,100.0-110.0
100.0,0.0,4.66,12.34,9.62,5.69,-35.63,6.98,17.75,100.0-110.0
100.0,1872.0,5.57,-3.8,6.19,5.82,30.44,-0.53,17.76,100.0-110.0
100.0,2347.0,-4.77,-12.02,-2.39,-10.93,29.94,-11.99,17.75,100.0-110.0
100.0,2928.0,2.22,-17.92,25.35,-23.29,-11.52,-13.24,17.77,100.0-110.0
100.0,365.0,0.49,-0.85,10.85,-3.12,-17.72,0.68,17.76,100.0-110.0
100.0,1819.0,-5.94,5.74,7.04,5.98,0.5,8.63,17.77,100.0-110.0
100.0,0.0,0.34,-9.39,3.64,1.52,44.83,-3.44,17.77,100.0-110.0
100.0,2928.0,-1.72,-13.54,7.57,-19.64,3.63,-12.23,17.76,100.0-110.0
100.0,2928.0,2.79,-13.17,22.33,-13.89,-5.02,-10.49,17.77,100.0-110.0
100.0,702.0,-7.6,14.68,-0.54,17.01,3.46,9.47,17.77,100.0-110.0
100.0,934.0,3.67,-1.96,8.12,3.34,17.85,0.69,17.77,100.0-110.0
100.0,2928.0,-4.69,-12.36,-2.15,-7.62,36.71,-11.05,17.75,100.0-110.0
100.0,2871.0,2.2,-16.79,22.2,-22.37,-8.09,-13.91,17.76,100.0-110.0
100.0,0.0,0.65,15.22,9.38,20.84,-2.37,12.14,17.75,100.0-110.0
100.0,1377.0,-5.08,9.37,1.96,10.31,0.76,9.28,17.76,100.0-110.0
100.0,0.0,0.7,-7.3,4.93,1.58,44.31,-3.82,17.75,100.0-110.0
100.0,2928.0,-3.86,-15.76,5.51,-21.55,9.49,-12.67,17.77,100.0-110.0
100.0,2354.0,3.9,15.55,19.68,11.24,-32.1,11.24,17.76,100.0-110.0
100.0,884.0,-5.72,12.87,1.89,17.89,-0.14,10.73,17.76,100.0-110.0
100.0,859.0,2.21,2.52,4.09,9.45,16.25,4.39,17.77,100.0-110.0
100.0,2928.0,-3.97,-11.09,-0.42,-5.13,43.64,-10.38,17.77,100.0-110.0
100.0,2931.0,2.87,12.19,8.29,5.41,-34.15,6.77,17.75,100.0-110.0
100.0,0.0,2.06,15.09,16.18,15.51,-13.35,10.63,17.76,100.0-110.0
100.0,2559.0,-7.74,11.66,0.86,13.28,1.91,10.37,17.75,100.0-110.0
100.0,1063.0,2.89,-3.42,6.13,5.59,34.91,0.68,17.75,100.0-110.0
100.0,2930.0,1.66,-3.95,12.91,-4.09,-10.1,-1.93,17.75,100.0-110.0
100.0,665.0,4.56,14.99,13.62,8.39,-37.95,10.77,17.76,100.0-110.0
100.0,1535.0,-1.01,14.85,7.31,20.33,-1.25,11.28,17.75,100.0-110.0
100.0,0.0,-6.5,8.11,3.96,10.75,6.88,7.7,17.74,100.0-110.0
100.0,2928.0,3.77,-16.9,25.46,-21.0,-11.14,-13.02,17.74,100.0-110.0
100.0,2451.0,-0.71,3.05,10.69,0.01,-23.54,1.41,17.74,100.0-110.0
100.0,0.0,5.92,16.58,15.24,15.1,-27.71,11.53,17.76,100.0-110.0
100.0,1814.0,-3.22,16.68,-1.92,20.4,9.0,11.13,17.75,100.0-110.0
100.0,2633.0,-0.08,-13.64,7.49,-21.84,2.88,-12.81,17.76,100.0-110.0
100.0,2918.0,2.24,-12.99,24.34,-16.96,-11.31,-9.56,17.74,100.0-110.0
100.0,697.0,0.51,7.57,10.19,0.93,-37.77,6.49,17.75,100.0-110.0
