Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
100.0,1023.0,-0.1,-0.03,9.77,0.03,-0.02,-0.04,18.14,100.0-110.0
100.0,1354.0,-0.12,-0.01,9.78,0.07,-0.02,0.04,18.13,100.0-110.0
100.0,1115.0,-0.09,-0.02,9.78,0.06,0.06,0.01,18.13,100.0-110.0
100.0,1619.0,-0.09,-0.02,9.81,0.12,0.08,0.01,18.13,100.0-110.0
100.0,1514.0,-0.11,-0.02,9.82,0.18,0.11,-0.01,18.14,100.0-110.0
100.0,1287.0,-0.08,-0.03,9.8,0.19,0.03,-0.07,18.14,100.0-110.0
100.0,1882.0,-0.11,-0.01,9.81,0.1,-0.05,-0.05,18.14,100.0-110.0
100.0,756.0,-0.08,-0.0,9.79,0.09,0.05,-0.01,18.13,100.0-110.0
100.0,1319.0,-0.1,0.0,9.79,0.04,-0.0,-0.07,18.12,100.0-110.0
100.0,1499.0,-0.1,0.0,9.82,0.04,0.01,-0.01,18.1,100.0-110.0
100.0,1266.0,-0.13,-0.05,9.75,0.15,0.03,0.02,18.12,100.0-110.0
100.0,1185.0,-0.08,-0.03,9.83,0.01,-0.08,-0.1,18.15,100.0-110.0
100.0,943.0,-0.11,-0.03,9.8,0.04,-0.06,-0.02,18.12,100.0-110.0
100.0,2928.0,3.23,-0.39,11.51,-0.92,2.53,-2.82,18.09,100.0-110.0
100.0,1697.0,0.87,8.27,14.49,7.3,-18.63,7.51,18.1,100.0-110.0
100.0,176.0,-4.03,-6.88,5.54,-3.29,21.04,-7.0,18.09,100.0-110.0
100.0,0.0,2.67,-3.27,12.1,-5.68,3.72,-5.58,18.1,100.0-110.0
100.0,2138.0,-1.72,8.04,15.05,6.68,-16.91,5.5,18.11,100.0-110.0
100.0,0.0,-0.84,4.2,8.68,4.71,-3.4,5.03,18.1,100.0-110.0
100.0,290.0,3.19,-5.91,9.63,-8.03,1.77,-7.48,18.09,100.0-110.0
100.0,1756.0,-3.71,7.52,12.53,5.53,-6.3,3.85,18.1,100.0-110.0
100.0,2095.0,3.27,6.97,12.07,9.13,-7.52,8.37,18.11,100.0-110.0
100.0,1430.0,-1.19,-3.72,9.4,-4.08,-4.21,1.0,18.1,100.0-110.0
100.0,874.0,4.62,2.11,9.59,3.49,9.02,-0.76,18.1,100.0-110.0
100.0,2927.0,3.32,9.83,19.21,5.95,-30.27,10.51,18.1,100.0-110.0
100.0,0.0,-8.38,5.06,4.75,6.74,0.46,5.91,18.09,100.0-110.0
100.0,853.0,8.69,-9.91,4.09,-2.51,23.3,-6.16,18.09,100.0-110.0
100.0,2559.0,-6.51,10.03,8.38,5.95,-8.03,4.83,18.1,100.0-110.0
100.0,1587.0,12.19,7.53,13.47,12.23,-12.09,8.43,18.11,100.0-110.0
100.0,0.0,-8.38,1.95,5.0,-0.95,-13.15,2.19,18.09,100.0-110.0
100.0,2928.0,3.51,-10.54,-2.88,-1.3,46.77,-9.76,18.11,100.0-110.0
100.0,1978.0,-8.11,11.07,13.41,0.44,-36.99,8.11,18.08,100.0-110.0
100.0,0.0,6.79,6.76,6.82,16.44,9.98,7.39,18.09,100.0-110.0
100.0,0.0,-0.82,1.24,7.6,-1.38,-17.46,4.19,18.09,100.0-110.0
100.0,2384.0,-2.8,-8.57,-4.44,-0.95,46.36,-7.35,18.09,100.0-110.0
100.0,2928.0,-3.47,9.47,14.0,-1.03,-41.96,7.84,18.11,100.0-110.0
100.0,266.0,4.04,8.7,8.09,16.99,6.26,7.56,18.1,100.0-110.0
100.0,0.0,-1.63,4.61,6.82,3.2,-15.99,5.7,18.09,100.0-110.0
100.0,2927.0,-1.09,-6.98,-2.06,1.31,44.75,-6.63,18.12,100.0-110.0
100.0,1389.0,-2.3,7.7,10.42,-1.09,-31.63,4.31,18.1,100.0-110.0
100.0,1575.0,6.66,10.83,15.41,14.58,-9.03,8.49,18.09,100.0-110.0
100.0,1362.0,-8.69,8.61,5.23,7.4,-12.51,7.82,18.1,100.0-110.0
100.0,478.0,4.09,-5.17,2.65,3.95,38.94,-3.58,18.07,100.0-110.0
100.0,2928.0,-1.78,3.05,7.67,-0.91,-13.44,0.91,18.07,100.0-110.0
100.0,2613.0,8.44,11.69,20.14,10.75,-24.12,8.81,18.09,100.0-110.0
100.0,0.0,-11.03,10.96,2.92,11.62,-4.55,7.8,18.09,100.0-110.0
100.0,0.0,5.2,-4.38,10.57,1.96,14.54,0.6,18.09,100.0-110.0
