Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
100.0,954.0,12.2,-27.0,9.85,-78.76,-34.47,58.37,16.5,100.0-110.0
100.0,1307.0,25.48,-5.6,-16.65,-13.63,44.31,15.72,16.5,100.0-110.0
100.0,914.0,-19.61,19.32,22.11,45.79,-13.06,-33.74,16.51,100.0-110.0
100.0,2928.0,-4.27,-9.04,31.6,-33.71,-73.61,15.63,16.5,100.0-110.0
100.0,2928.0,9.28,-25.34,24.67,-87.8,-65.12,56.53,16.51,100.0-110.0
100.0,1716.0,9.46,-25.25,9.28,-75.23,-23.7,57.72,16.49,100.0-110.0
100.0,998.0,-7.07,23.82,-4.53,92.89,53.73,-65.51,16.49,100.0-110.0
100.0,0.0,-20.03,22.59,21.9,57.7,6.82,-44.94,16.49,100.0-110.0
100.0,2928.0,-22.11,-2.01,38.13,-10.44,-57.48,-2.71,16.52,100.0-110.0
100.0,2928.0,14.7,-19.27,25.62,-82.63,-84.72,41.94,16.5,100.0-110.0
100.0,1562.0,8.28,6.37,-13.42,29.4,65.66,-10.26,16.5,100.0-110.0
100.0,2928.0,-17.51,19.73,-5.27,88.07,76.63,-52.24,16.51,100.0-110.0
100.0,2929.0,-1.11,25.82,-6.78,98.84,61.16,-69.07,16.48,100.0-110.0
100.0,2928.0,-27.15,22.61,25.56,61.85,8.48,-51.98,16.5,100.0-110.0
100.0,2928.0,1.38,-27.12,24.34,-92.79,-44.24,66.26,16.49,100.0-110.0
100.0,951.0,27.65,-19.11,-12.17,-57.3,7.0,45.51,16.52,100.0-110.0
100.0,2672.0,27.93,-2.51,-22.8,0.53,50.51,10.72,16.52,100.0-110.0
100.0,0.0,-12.41,14.76,-3.2,63.93,70.07,-31.44,16.51,100.0-110.0
100.0,2928.0,-22.02,1.02,39.85,-3.87,-57.13,-8.0,16.49,100.0-110.0
100.0,2928.0,11.02,-14.27,26.89,-68.82,-80.83,31.38,16.51,100.0-110.0
100.0,2928.0,8.43,-22.35,31.03,-100.88,-75.65,62.87,16.5,100.0-110.0
100.0,1232.0,3.31,-29.13,24.98,-98.47,-50.61,68.67,16.48,100.0-110.0
100.0,1907.0,-8.63,19.17,-12.58,101.48,84.55,-62.51,16.5,100.0-110.0
100.0,0.0,-7.53,27.75,-8.42,102.9,67.34,-72.41,16.51,100.0-110.0
100.0,2437.0,-24.54,24.64,24.03,69.82,13.87,-55.64,16.51,100.0-110.0
100.0,2928.0,-32.94,5.67,43.98,16.25,-32.3,-24.89,16.51,100.0-110.0
100.0,2928.0,21.06,-22.59,-3.89,-72.16,-6.78,58.56,16.5,100.0-110.0
100.0,2928.0,34.2,-10.07,-24.87,-29.07,27.22,29.09,16.49,100.0-110.0
100.0,882.0,8.69,6.97,-11.64,32.02,57.83,-6.63,16.5,100.0-110.0
100.0,0.0,-16.49,16.25,-5.62,83.57,82.35,-45.13,16.51,100.0-110.0
100.0,2091.0,-14.17,-3.8,32.91,-21.25,-64.73,0.97,16.48,100.0-110.0
100.0,2927.0,9.48,-14.85,26.81,-79.61,-83.65,37.1,16.48,100.0-110.0
100.0,2928.0,5.11,-24.91,35.69,-105.75,-79.53,62.86,16.52,100.0-110.0
100.0,176.0,7.29,-29.86,21.76,-98.35,-45.3,67.6,16.52,100.0-110.0
100.0,272.0,-11.32,18.55,-13.52,101.59,79.68,-63.06,16.52,100.0-110.0
100.0,0.0,-3.81,27.12,-9.23,101.79,55.07,-71.42,16.5,100.0-110.0
100.0,2501.0,-21.43,25.8,20.65,74.11,22.67,-58.17,16.52,100.0-110.0
100.0,2928.0,-34.61,7.23,44.24,24.29,-28.81,-27.87,16.49,100.0-110.0
100.0,2926.0,16.79,-24.22,1.89,-79.17,-18.69,62.58,16.48,100.0-110.0
100.0,0.0,36.01,-11.93,-23.12,-35.5,18.89,36.71,16.5,100.0-110.0
100.0,0.0,17.89,4.03,-16.93,22.33,53.37,0.39,16.51,100.0-110.0
100.0,0.0,-14.26,14.8,-3.76,76.79,83.54,-39.41,16.53,100.0-110.0
100.0,0.0,-23.47,-0.66,37.07,-5.25,-49.81,-10.83,16.5,100.0-110.0
100.0,2096.0,5.3,-12.17,27.21,-67.27,-77.73,24.85,16.49,100.0-110.0
100.0,2928.0,9.97,-21.11,31.38,-102.76,-83.91,56.07,16.46,100.0-110.0
100.0,0.0,3.7,-29.18,31.91,-108.16,-62.88,69.4,16.51,100.0-110.0
100.0,2177.0,-13.66,16.43,-7.64,93.42,80.23,-51.55,16.5,100.0-110.0
