Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
100.0,1853.0,13.83,34.97,-1.42,33.94,-54.7,75.46,28.24,100.0-110.0
100.0,0.0,-5.91,12.7,-20.05,-6.41,63.83,37.93,28.2,100.0-110.0
100.0,335.0,9.26,-26.36,-11.06,-46.99,97.68,-25.37,28.21,100.0-110.0
100.0,0.0,10.82,4.55,47.22,13.63,-121.09,-6.94,28.22,100.0-110.0
100.0,1602.0,-8.06,28.92,27.12,40.7,-143.3,55.75,28.22,100.0-110.0
100.0,0.0,11.34,34.6,-2.58,31.91,-42.73,75.75,28.21,100.0-110.0
100.0,0.0,-1.13,13.26,-12.74,-13.33,50.41,43.65,28.22,100.0-110.0
100.0,2918.0,-14.77,-21.32,15.02,-2.84,30.31,-64.87,28.2,100.0-110.0
100.0,796.0,2.39,-1.5,33.25,23.01,-74.84,-28.76,28.24,100.0-110.0
100.0,454.0,-4.49,23.22,39.22,51.24,-108.93,19.48,28.24,100.0-110.0
100.0,1697.0,-8.03,29.97,15.0,45.57,-80.48,57.61,28.22,100.0-110.0
100.0,0.0,13.67,-30.34,-8.3,-63.0,65.44,-30.57,28.22,100.0-110.0
100.0,2928.0,9.43,-29.12,5.47,-33.87,80.01,-58.28,28.24,100.0-110.0
100.0,934.0,-13.53,-20.01,4.71,9.63,60.34,-61.59,28.22,100.0-110.0
100.0,2926.0,-9.27,-4.58,15.02,40.32,-17.65,-40.9,28.21,100.0-110.0
100.0,2221.0,11.84,22.8,8.78,-7.38,-30.39,64.08,28.22,100.0-110.0
100.0,2927.0,3.73,6.71,5.07,-40.08,14.84,42.44,28.23,100.0-110.0
100.0,0.0,1.98,-16.56,-5.32,-67.23,18.09,8.43,28.24,100.0-110.0
100.0,2927.0,16.24,-27.69,-9.64,-67.0,44.46,-27.5,28.22,100.0-110.0
100.0,432.0,4.46,12.9,21.11,65.14,-46.68,-16.08,28.2,100.0-110.0
100.0,2927.0,-16.18,22.97,37.66,59.92,-53.84,15.46,28.22,100.0-110.0
100.0,1984.0,-13.24,26.45,17.5,42.74,-61.94,44.0,28.21,100.0-110.0
100.0,2928.0,6.2,22.89,16.79,2.32,-60.81,61.59,28.23,100.0-110.0
100.0,0.0,15.32,-28.9,-3.17,-53.33,63.76,-41.53,28.2,100.0-110.0
100.0,2928.0,2.02,-23.71,4.16,-15.62,63.1,-56.53,28.2,100.0-110.0
100.0,83.0,-12.42,-17.85,0.1,21.82,61.32,-56.63,28.21,100.0-110.0
100.0,2928.0,-8.83,-4.19,9.78,46.98,0.21,-43.27,28.21,100.0-110.0
100.0,578.0,8.85,21.47,14.03,-7.86,-44.15,62.17,28.21,100.0-110.0
100.0,2928.0,10.07,12.39,11.35,-33.8,-10.73,51.83,28.23,100.0-110.0
