Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
100.0,2417.0,4.81,-11.98,-0.84,-18.29,13.63,24.3,15.35,100.0-110.0
100.0,1511.0,18.55,-12.13,-8.09,-2.24,28.17,-9.1,15.34,100.0-110.0
100.0,2581.0,-2.88,-11.14,5.84,13.8,41.34,-40.28,15.35,100.0-110.0
100.0,1225.0,-18.01,12.31,25.91,8.09,-18.39,2.72,15.35,100.0-110.0
100.0,1674.0,-9.96,14.66,18.86,-9.21,-38.37,34.1,15.35,100.0-110.0
100.0,2927.0,7.52,12.25,17.44,-25.51,-41.39,54.47,15.35,100.0-110.0
100.0,1622.0,12.72,5.94,15.52,-33.99,-32.17,62.48,15.36,100.0-110.0
100.0,1472.0,-4.57,-13.5,5.93,11.0,32.95,-39.67,15.34,100.0-110.0
100.0,1934.0,-10.64,-12.94,6.21,21.75,24.09,-56.92,15.35,100.0-110.0
100.0,1250.0,-6.6,-10.4,2.0,30.93,21.93,-66.26,15.36,100.0-110.0
100.0,2927.0,0.02,-5.92,1.54,35.89,21.8,-66.75,15.35,100.0-110.0
100.0,0.0,2.74,13.19,20.41,-27.88,-43.92,54.89,15.35,100.0-110.0
100.0,2928.0,13.73,8.29,16.91,-35.43,-40.02,63.38,15.35,100.0-110.0
100.0,2928.0,15.85,6.03,15.0,-39.06,-35.38,66.86,15.35,100.0-110.0
100.0,2928.0,7.12,3.42,16.43,-38.8,-21.37,65.5,15.36,100.0-110.0
100.0,2927.0,-8.21,-14.34,4.56,22.17,30.88,-55.75,15.34,100.0-110.0
100.0,1675.0,-10.87,-14.07,2.28,30.14,29.0,-64.83,15.36,100.0-110.0
100.0,0.0,-8.87,-12.74,1.31,37.05,29.38,-70.7,15.36,100.0-110.0
100.0,2928.0,-6.21,-9.48,0.61,41.6,28.86,-72.35,15.34,100.0-110.0
100.0,0.0,-5.68,15.76,24.23,-20.75,-42.24,45.78,15.36,100.0-110.0
100.0,870.0,3.49,13.57,20.66,-27.39,-39.73,54.94,15.36,100.0-110.0
100.0,2928.0,10.5,12.49,17.26,-31.93,-36.02,61.82,15.34,100.0-110.0
100.0,0.0,15.66,10.95,16.08,-37.67,-36.37,67.62,15.36,100.0-110.0
100.0,0.0,14.78,-16.89,-6.66,-1.3,23.05,-15.97,15.34,100.0-110.0
100.0,2928.0,12.15,-17.35,-5.05,6.01,26.66,-26.51,15.36,100.0-110.0
100.0,0.0,8.69,-17.5,-3.93,11.89,29.32,-35.58,15.32,100.0-110.0
100.0,0.0,4.51,-17.97,-3.06,17.67,33.82,-43.56,15.36,100.0-110.0
100.0,2928.0,-6.21,15.62,17.99,25.07,-6.81,-27.72,15.35,100.0-110.0
100.0,2928.0,-11.31,16.93,22.7,20.49,-10.67,-20.39,15.37,100.0-110.0
100.0,0.0,-15.73,17.79,26.74,15.08,-15.08,-12.11,15.37,100.0-110.0
100.0,2928.0,-18.76,18.37,30.28,10.13,-20.1,-4.23,15.38,100.0-110.0
100.0,2928.0,-4.03,0.11,18.26,-46.26,-13.19,66.69,15.34,100.0-110.0
100.0,567.0,-5.17,-2.62,16.07,-44.36,-8.57,62.68,15.34,100.0-110.0
100.0,861.0,-3.37,-5.66,14.75,-43.97,-11.71,58.28,15.36,100.0-110.0
100.0,2928.0,-3.15,-8.05,12.02,-42.4,-12.41,53.23,15.34,100.0-110.0
100.0,2526.0,-12.09,-12.3,-0.96,49.62,40.66,-78.16,15.37,100.0-110.0
100.0,1616.0,-9.94,-11.05,-1.24,51.06,40.38,-79.32,15.34,100.0-110.0
100.0,1296.0,-9.16,-9.41,-1.49,50.74,37.07,-79.32,15.34,100.0-110.0
100.0,2121.0,-7.56,-7.38,-2.08,51.91,38.58,-79.11,15.34,100.0-110.0
100.0,0.0,-3.0,17.18,24.29,-23.89,-36.54,49.64,15.34,100.0-110.0
100.0,803.0,1.98,15.49,22.49,-28.49,-37.87,54.92,15.37,100.0-110.0
100.0,2928.0,5.84,14.46,20.5,-31.75,-38.67,59.17,15.35,100.0-110.0
100.0,2928.0,7.31,13.59,17.93,-34.27,-32.63,63.04,15.34,100.0-110.0
100.0,2171.0,18.55,-17.55,-7.37,-14.04,6.37,3.04,15.34,100.0-110.0
100.0,2928.0,17.67,-17.52,-8.6,-9.57,9.88,-3.4,15.37,100.0-110.0
100.0,2928.0,19.15,-18.17,-8.77,-4.94,16.43,-10.06,15.36,100.0-110.0
100.0,2928.0,18.02,-18.66,-8.97,0.15,18.41,-16.18,15.35,100.0-110.0
100.0,0.0,7.08,7.88,1.42,41.26,8.84,-55.55,15.36,100.0-110.0
100.0,2929.0,6.13,9.4,2.15,40.76,15.2,-52.09,15.35,100.0-110.0
100.0,2928.0,6.91,10.19,5.42,38.07,5.27,-48.53,15.36,100.0-110.0
100.0,1846.0,5.16,11.94,6.64,34.79,3.5,-43.94,15.37,100.0-110.0
100.0,1821.0,13.01,10.34,16.71,-49.12,-27.29,79.2,15.35,100.0-110.0
100.0,2928.0,11.47,9.16,17.32,-49.24,-27.14,78.67,15.35,100.0-110.0
100.0,2927.0,10.19,8.2,19.42,-50.55,-27.29,78.35,15.34,100.0-110.0
100.0,2933.0,7.09,7.32,19.49,-50.47,-27.76,77.31,15.36,100.0-110.0
100.0,2928.0,-1.17,-18.36,-1.75,26.28,33.36,-54.21,15.35,100.0-110.0
100.0,2928.0,-2.49,-18.03,-1.16,29.95,32.92,-57.62,15.34,100.0-110.0
100.0,1835.0,-5.83,-17.94,0.72,31.91,32.34,-61.2,15.32,100.0-110.0
100.0,1394.0,-8.59,-17.57,0.23,35.22,35.29,-64.61,15.36,100.0-110.0
100.0,2928.0,-18.52,19.18,29.67,10.99,-14.64,-4.02,15.35,100.0-110.0
100.0,0.0,-19.97,19.61,31.46,6.58,-19.57,1.59,15.37,100.0-110.0
100.0,120.0,-22.57,20.66,33.69,3.53,-22.99,7.48,15.35,100.0-110.0
100.0,2167.0,-23.65,21.22,34.33,0.31,-24.65,12.21,15.36,100.0-110.0
100.0,2927.0,-5.13,-5.68,16.28,-45.51,-15.27,59.53,15.37,100.0-110.0
100.0,0.0,-6.65,-7.2,14.61,-43.67,-14.08,55.34,15.35,100.0-110.0
100.0,0.0,-5.76,-9.4,11.85,-41.7,-8.08,50.65,15.35,100.0-110.0
100.0,2928.0,-1.87,-11.36,8.91,-39.05,-7.12,46.96,15.37,100.0-110.0
100.0,0.0,-13.04,-10.77,-1.26,52.75,40.76,-81.15,15.35,100.0-110.0
100.0,591.0,-10.53,-9.52,-1.62,52.57,41.5,-79.99,15.35,100.0-110.0
100.0,2317.0,-7.74,-7.69,-2.03,52.29,37.89,-78.39,15.35,100.0-110.0
100.0,2546.0,-4.2,-5.93,-1.54,51.06,33.88,-76.93,15.34,100.0-110.0
100.0,0.0,2.65,15.62,21.76,-29.68,-36.93,56.45,15.34,100.0-110.0
100.0,1761.0,7.27,14.78,19.54,-32.83,-37.24,61.1,15.35,100.0-110.0
100.0,2927.0,11.88,12.94,17.62,-36.99,-37.82,65.45,15.35,100.0-110.0
100.0,1517.0,13.86,12.03,17.28,-39.67,-36.39,68.78,15.34,100.0-110.0
100.0,0.0,19.46,-17.59,-9.09,-4.04,17.78,-12.14,15.33,100.0-110.0
