Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
100.0,1520.0,-2.34,-2.57,5.37,-2.14,9.72,-3.62,27.92,100.0-110.0
100.0,2405.0,-1.62,-4.93,7.86,-5.13,19.41,-6.79,27.95,100.0-110.0
100.0,1831.0,2.18,4.87,13.87,4.11,-21.94,7.97,27.95,100.0-110.0
100.0,789.0,0.47,1.96,9.09,3.17,-9.58,4.68,27.95,100.0-110.0
100.0,2015.0,-2.47,-2.81,5.09,-2.74,11.69,-2.55,27.95,100.0-110.0
100.0,2925.0,-1.76,-4.68,8.02,-5.21,19.56,-6.24,27.95,100.0-110.0
100.0,2513.0,2.68,4.52,14.55,3.67,-22.93,7.25,27.96,100.0-110.0
100.0,2928.0,0.9,3.03,9.72,3.81,-13.78,4.01,27.97,100.0-110.0
100.0,0.0,-1.68,-1.3,5.07,0.18,8.19,-3.13,27.95,100.0-110.0
100.0,2177.0,-2.38,-4.03,6.34,-3.91,19.15,-7.69,27.95,100.0-110.0
100.0,1887.0,3.38,2.84,15.18,1.9,-18.94,4.21,27.94,100.0-110.0
100.0,2926.0,1.45,4.27,12.6,4.25,-22.37,7.17,27.95,100.0-110.0
100.0,1473.0,0.56,1.95,8.01,3.46,-6.39,4.18,27.96,100.0-110.0
100.0,1218.0,-2.39,-1.53,4.68,-0.48,12.19,-1.14,27.94,100.0-110.0
100.0,2926.0,0.37,-0.37,12.54,-2.2,-1.86,0.49,27.97,100.0-110.0
100.0,1905.0,3.22,2.79,15.6,1.2,-19.84,5.62,27.93,100.0-110.0
100.0,2926.0,1.65,4.38,12.92,3.82,-23.82,6.9,27.94,100.0-110.0
100.0,345.0,0.94,2.87,8.41,4.15,-10.41,3.25,27.94,100.0-110.0
100.0,2926.0,-1.4,-4.09,8.79,-3.45,21.39,-8.13,27.95,100.0-110.0
100.0,2927.0,-0.7,-1.57,11.42,-2.75,4.32,-3.71,27.94,100.0-110.0
100.0,276.0,2.83,1.4,15.16,-0.43,-15.88,2.7,27.95,100.0-110.0
100.0,2927.0,2.31,3.58,14.64,2.97,-24.41,7.31,27.94,100.0-110.0
100.0,336.0,-2.68,-2.44,4.44,-1.88,17.68,-3.37,27.96,100.0-110.0
100.0,0.0,-1.6,-3.72,7.5,-3.84,22.31,-5.45,27.94,100.0-110.0
100.0,2923.0,-1.32,-3.47,9.94,-4.11,15.44,-4.78,27.94,100.0-110.0
100.0,1742.0,0.88,4.47,11.93,4.18,-22.03,7.43,27.97,100.0-110.0
100.0,2117.0,1.31,2.78,8.0,3.82,-8.3,3.62,27.97,100.0-110.0
100.0,0.0,-1.48,-0.33,5.17,1.63,9.35,-1.97,27.97,100.0-110.0
100.0,0.0,-2.45,-2.86,4.9,-2.4,18.86,-6.18,27.95,100.0-110.0
100.0,2927.0,2.74,0.6,15.14,-1.35,-14.94,1.33,27.92,100.0-110.0
100.0,1053.0,2.69,3.11,15.03,2.56,-23.27,6.03,27.93,100.0-110.0
100.0,2927.0,0.77,4.19,11.07,4.34,-20.65,7.26,27.95,100.0-110.0
100.0,281.0,0.96,2.29,7.72,3.84,-5.14,4.47,27.95,100.0-110.0
100.0,0.0,-1.54,-3.74,9.28,-3.82,19.16,-5.23,27.95,100.0-110.0
100.0,2926.0,-0.27,-1.9,11.81,-3.99,1.92,-2.06,27.95,100.0-110.0
100.0,2927.0,2.87,0.68,15.31,-1.36,-15.5,2.43,27.94,100.0-110.0
100.0,1312.0,2.37,3.22,14.69,3.23,-22.39,5.62,27.96,100.0-110.0
100.0,2032.0,-2.25,-1.87,4.36,-0.8,15.69,-4.35,27.96,100.0-110.0
100.0,0.0,-1.9,-3.38,6.73,-3.12,21.97,-7.31,27.97,100.0-110.0
100.0,2927.0,-1.71,-3.68,9.1,-3.58,19.85,-7.08,27.97,100.0-110.0
100.0,2926.0,-0.25,-2.1,11.72,-4.34,2.49,-2.96,27.92,100.0-110.0
100.0,806.0,1.37,3.88,9.24,4.11,-14.57,6.26,27.93,100.0-110.0
100.0,2699.0,-0.04,1.2,6.41,3.05,2.4,2.5,27.96,100.0-110.0
100.0,944.0,-2.55,-1.65,4.32,-0.23,15.53,-2.01,27.95,100.0-110.0
100.0,2928.0,-1.65,-3.29,6.44,-3.21,21.32,-5.57,27.96,100.0-110.0
100.0,2925.0,3.01,1.98,15.68,0.5,-19.44,4.3,27.95,100.0-110.0
100.0,633.0,1.6,3.84,13.58,3.79,-23.1,6.2,27.93,100.0-110.0
100.0,2607.0,1.13,3.82,9.91,4.76,-16.72,4.93,27.92,100.0-110.0
100.0,935.0,-0.0,1.51,6.53,3.81,0.9,0.99,27.93,100.0-110.0
100.0,0.0,-1.32,-3.44,9.93,-3.62,15.46,-6.16,27.96,100.0-110.0
100.0,2432.0,0.51,-1.15,12.71,-3.13,-3.25,-1.25,27.94,100.0-110.0
100.0,1281.0,2.83,1.54,15.64,-0.23,-18.68,4.35,27.95,100.0-110.0
100.0,2166.0,1.48,3.73,14.03,3.25,-23.9,7.77,27.97,100.0-110.0
100.0,1979.0,-2.12,-2.33,4.43,-1.45,18.1,-3.3,27.98,100.0-110.0
100.0,0.0,-1.02,-3.77,7.57,-3.93,21.79,-6.15,27.95,100.0-110.0
100.0,2769.0,-1.66,-3.64,9.89,-4.12,16.42,-6.12,27.92,100.0-110.0
100.0,2925.0,-0.15,-1.61,12.25,-3.64,-1.31,-2.84,27.94,100.0-110.0
100.0,0.0,1.58,3.29,8.79,4.42,-12.27,4.01,27.93,100.0-110.0
100.0,2139.0,-0.87,0.59,5.79,2.92,5.77,-0.4,27.93,100.0-110.0
100.0,0.0,-2.7,-1.97,4.25,-0.48,17.43,-4.01,27.95,100.0-110.0
100.0,2355.0,-1.55,-3.58,6.75,-3.29,22.61,-6.09,27.95,100.0-110.0
100.0,2922.0,3.37,2.06,15.89,0.74,-21.77,5.55,27.95,100.0-110.0
100.0,458.0,1.09,4.06,13.15,3.9,-23.79,8.18,27.95,100.0-110.0
100.0,2482.0,1.1,3.8,9.18,4.91,-13.67,6.39,27.93,100.0-110.0
100.0,0.0,-0.34,1.32,6.01,3.03,3.66,1.43,27.93,100.0-110.0
100.0,1200.0,-1.71,-3.09,10.33,-3.71,12.66,-5.39,27.94,100.0-110.0
100.0,2923.0,0.93,-1.0,13.37,-3.71,-6.87,-1.65,27.92,100.0-110.0
100.0,316.0,3.41,1.44,15.74,0.25,-19.53,2.87,27.94,100.0-110.0
100.0,2927.0,1.38,3.84,13.67,4.28,-22.77,6.26,27.95,100.0-110.0
100.0,1454.0,-2.17,-2.79,4.73,-2.16,18.45,-4.96,27.94,100.0-110.0
100.0,0.0,-1.14,-3.9,7.76,-3.26,22.41,-6.26,27.94,100.0-110.0
100.0,2927.0,-1.49,-3.54,10.07,-3.88,15.69,-4.75,27.94,100.0-110.0
100.0,1554.0,0.34,-1.38,12.56,-3.58,-2.67,-0.6,27.93,100.0-110.0
100.0,592.0,1.04,3.3,8.33,4.63,-9.74,5.51,27.92,100.0-110.0
100.0,1461.0,-1.04,0.44,5.39,2.8,7.57,0.24,27.93,100.0-110.0
100.0,0.0,-2.09,-2.29,4.51,-1.03,17.32,-4.61,27.94,100.0-110.0
100.0,2925.0,-1.77,-3.45,7.12,-3.04,22.41,-7.39,27.95,100.0-110.0
100.0,2923.0,3.08,2.3,15.66,1.54,-21.52,4.06,27.95,100.0-110.0
100.0,725.0,0.85,4.09,12.88,4.05,-23.06,6.39,27.94,100.0-110.0
100.0,2927.0,1.19,3.52,8.86,4.34,-12.77,5.36,27.96,100.0-110.0
100.0,1475.0,-0.52,0.79,6.19,2.85,4.64,1.56,27.92,100.0-110.0
100.0,2221.0,-1.42,-3.02,10.21,-4.16,12.22,-4.01,27.94,100.0-110.0
100.0,2923.0,1.14,-0.62,13.67,-3.04,-7.63,0.69,27.94,100.0-110.0
100.0,1099.0,2.81,1.99,15.68,0.73,-20.19,4.82,27.94,100.0-110.0
100.0,868.0,1.16,4.0,13.42,3.95,-22.96,6.84,27.94,100.0-110.0
100.0,2926.0,-2.48,-2.41,4.94,-1.7,18.94,-5.28,27.96,100.0-110.0
100.0,0.0,-1.65,-3.66,7.79,-3.65,22.77,-7.78,27.92,100.0-110.0
100.0,2927.0,-1.39,-3.35,9.91,-4.05,14.85,-6.44,27.94,100.0-110.0
100.0,2100.0,0.46,-0.99,13.13,-3.22,-4.33,-1.3,27.94,100.0-110.0
100.0,2672.0,1.0,3.06,7.96,4.53,-8.39,4.64,27.94,100.0-110.0
100.0,2106.0,-1.2,0.4,5.29,2.5,8.93,0.61,27.94,100.0-110.0
100.0,0.0,-2.35,-2.21,4.64,-1.78,17.41,-3.31,27.94,100.0-110.0
100.0,2925.0,-1.68,-3.65,7.23,-3.79,22.4,-5.98,27.94,100.0-110.0
100.0,2926.0,3.09,2.49,15.46,1.44,-22.35,5.63,27.92,100.0-110.0
100.0,1392.0,1.11,4.13,12.48,4.16,-22.72,6.76,27.94,100.0-110.0
100.0,2022.0,0.99,3.2,8.34,4.82,-10.42,4.15,27.94,100.0-110.0
100.0,0.0,-0.97,0.77,5.86,3.18,6.48,-0.23,27.93,100.0-110.0
100.0,2926.0,-1.42,-2.86,10.51,-3.3,10.63,-5.08,27.94,100.0-110.0
100.0,1819.0,1.5,-0.15,13.79,-2.1,-8.58,0.26,27.97,100.0-110.0
100.0,717.0,2.92,2.25,15.67,0.74,-21.79,5.11,27.95,100.0-110.0
100.0,2085.0,1.03,3.99,12.96,3.81,-22.87,7.74,27.93,100.0-110.0
100.0,334.0,-1.98,-2.82,5.05,-2.45,19.97,-4.33,27.94,100.0-110.0
100.0,0.0,-1.01,-4.03,8.27,-4.09,21.48,-6.23,27.93,100.0-110.0
100.0,2662.0,-1.39,-3.22,10.34,-3.82,13.55,-5.02,27.95,100.0-110.0
100.0,1963.0,0.94,-0.67,13.29,-2.95,-6.18,-1.02,27.97,100.0-110.0
100.0,1217.0,0.57,2.84,7.69,4.8,-5.83,3.37,27.95,100.0-110.0
100.0,1188.0,-1.45,0.06,5.04,2.33,10.57,-1.39,27.94,100.0-110.0
100.0,0.0,-2.05,-2.77,4.75,-2.45,18.07,-5.25,27.95,100.0-110.0
100.0,2926.0,-1.2,-3.88,7.78,-3.67,22.09,-6.61,27.94,100.0-110.0
100.0,1569.0,2.85,2.57,15.37,1.81,-23.1,6.03,27.94,100.0-110.0
100.0,1115.0,0.54,4.19,11.9,4.8,-20.84,7.57,27.97,100.0-110.0
