Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
110.0,1945.0,0.77,0.39,8.48,1.14,0.99,0.37,27.75,110.0-120.0
110.0,762.0,-2.22,-4.87,4.34,-4.83,16.23,-6.58,27.76,110.0-120.0
110.0,2925.0,0.9,-5.1,9.67,-4.83,18.31,-7.38,27.79,110.0-120.0
110.0,2092.0,0.89,5.44,13.51,6.79,-16.11,8.37,27.75,110.0-120.0
110.0,2170.0,-0.63,4.04,8.13,4.28,-13.58,6.71,27.76,110.0-120.0
110.0,1776.0,-0.11,-1.65,7.29,-0.46,9.11,-1.43,27.74,110.0-120.0
110.0,2175.0,-1.47,-5.16,4.96,-5.71,15.61,-6.45,27.74,110.0-120.0
110.0,2922.0,3.68,3.1,15.3,0.9,-19.35,5.87,27.75,110.0-120.0
110.0,656.0,-0.28,5.57,12.37,7.4,-13.72,7.44,27.73,110.0-120.0
110.0,2810.0,-0.8,4.01,7.57,4.04,-10.76,4.6,27.76,110.0-120.0
110.0,2011.0,0.56,-0.59,8.89,-0.34,4.94,-2.24,27.76,110.0-120.0
110.0,1268.0,-0.63,-2.37,10.83,-2.35,6.06,-4.42,27.77,110.0-120.0
110.0,2413.0,1.53,1.4,11.62,-0.37,-12.65,2.39,27.74,110.0-120.0
110.0,946.0,2.13,4.39,14.78,5.02,-13.57,6.9,27.77,110.0-120.0
110.0,2363.0,-1.7,4.88,9.87,6.68,-9.98,7.97,27.77,110.0-120.0
110.0,2491.0,-0.63,-4.73,5.44,-5.57,12.69,-5.47,27.76,110.0-120.0
110.0,1377.0,1.33,-4.11,10.71,-4.8,11.96,-5.65,27.76,110.0-120.0
110.0,2925.0,-0.92,-2.26,10.71,-1.9,6.45,-3.4,27.76,110.0-120.0
110.0,2926.0,0.58,0.84,10.56,-0.26,-8.71,0.95,27.77,110.0-120.0
110.0,0.0,1.2,2.39,8.84,1.73,-5.1,2.14,27.75,110.0-120.0
110.0,2926.0,-0.42,-1.48,9.11,-1.39,7.61,-3.09,27.77,110.0-120.0
