Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
110.0,1040.0,0.09,-0.05,9.85,-0.04,-0.08,0.42,27.63,110.0-120.0
110.0,236.0,0.09,-0.03,9.87,-0.01,-0.08,0.47,27.63,110.0-120.0
110.0,1648.0,0.05,-0.03,9.84,0.02,-0.1,0.22,27.65,110.0-120.0
110.0,1869.0,0.09,-0.0,9.81,0.02,0.01,0.01,27.64,110.0-120.0
110.0,1439.0,0.09,-0.01,9.8,0.09,0.02,-0.18,27.64,110.0-120.0
110.0,1469.0,0.1,-0.01,9.87,0.08,-0.01,-0.25,27.62,110.0-120.0
110.0,1170.0,0.05,-0.01,9.84,0.06,-0.01,-0.36,27.61,110.0-120.0
110.0,1651.0,0.06,-0.01,9.85,0.06,-0.01,-0.21,27.62,110.0-120.0
110.0,1305.0,0.05,-0.03,9.8,-0.03,-0.02,0.07,27.64,110.0-120.0
110.0,1216.0,0.06,-0.02,9.86,0.02,0.01,0.33,27.63,110.0-120.0
110.0,1531.0,0.08,-0.0,9.83,0.05,-0.01,0.45,27.63,110.0-120.0
110.0,2104.0,0.07,-0.01,9.84,-0.03,0.02,0.37,27.63,110.0-120.0
110.0,1083.0,0.07,-0.01,9.82,0.02,0.02,0.27,27.63,110.0-120.0
110.0,1696.0,0.09,-0.01,9.83,0.06,0.01,-0.08,27.61,110.0-120.0
110.0,1591.0,0.1,-0.02,9.8,0.11,-0.08,-0.34,27.62,110.0-120.0
110.0,1533.0,0.05,0.01,9.88,0.05,-0.02,-0.28,27.62,110.0-120.0
110.0,944.0,0.06,0.02,9.84,0.08,-0.08,-0.28,27.61,110.0-120.0
110.0,2000.0,0.06,-0.05,9.85,0.0,-0.05,-0.14,27.62,110.0-120.0
110.0,1966.0,0.08,-0.03,9.82,0.0,-0.02,0.13,27.62,110.0-120.0
110.0,2066.0,0.08,-0.01,9.84,0.02,0.04,0.39,27.63,110.0-120.0
110.0,1712.0,0.09,0.01,9.83,0.08,-0.01,0.48,27.6,110.0-120.0
110.0,1503.0,0.06,0.04,9.83,0.09,-0.04,0.43,27.61,110.0-120.0
110.0,1813.0,0.06,0.02,9.86,0.03,-0.1,0.11,27.64,110.0-120.0
110.0,1216.0,0.06,0.0,9.78,0.11,0.04,-0.08,27.62,110.0-120.0
110.0,1983.0,0.07,-0.01,9.82,0.05,-0.01,-0.28,27.63,110.0-120.0
110.0,1835.0,0.07,-0.03,9.82,-0.03,0.04,-0.37,27.64,110.0-120.0
110.0,2000.0,0.07,-0.06,9.77,0.05,0.07,-0.25,27.64,110.0-120.0
