Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
120.0,1386.0,-0.07,-0.02,9.78,0.09,0.05,-0.1,18.31,120.0-130.0
120.0,1577.0,-0.09,-0.03,9.84,0.04,-0.03,-0.1,18.29,120.0-130.0
120.0,1712.0,-0.08,-0.0,9.78,0.01,0.05,0.04,18.32,120.0-130.0
120.0,1229.0,-0.06,0.01,9.79,0.18,-0.09,0.04,18.3,120.0-130.0
120.0,1615.0,-0.08,-0.02,9.79,0.04,-0.0,0.02,18.31,120.0-130.0
120.0,1646.0,-0.07,0.03,9.8,0.07,-0.02,0.02,18.32,120.0-130.0
120.0,1455.0,-0.1,0.01,9.84,0.16,-0.05,-0.04,18.32,120.0-130.0
120.0,1200.0,-0.08,0.0,9.82,0.13,0.01,-0.04,18.32,120.0-130.0
120.0,1369.0,-0.09,-0.01,9.83,0.16,-0.02,-0.05,18.3,120.0-130.0
120.0,1360.0,-0.09,0.02,9.78,0.06,0.01,-0.05,18.31,120.0-130.0
120.0,1303.0,-0.09,-0.02,9.8,0.04,-0.02,-0.13,18.29,120.0-130.0
120.0,1325.0,-0.08,-0.03,9.77,0.01,-0.03,0.07,18.31,120.0-130.0
120.0,1229.0,-0.06,-0.01,9.79,0.09,0.05,0.01,18.31,120.0-130.0
120.0,1360.0,-0.08,-0.03,9.8,0.09,0.01,0.04,18.32,120.0-130.0
120.0,1582.0,-0.08,-0.03,9.8,0.12,0.01,0.01,18.3,120.0-130.0
120.0,1094.0,-0.07,-0.02,9.78,0.06,-0.09,-0.01,18.29,120.0-130.0
120.0,1225.0,-0.07,0.0,9.77,0.12,0.09,0.02,18.32,120.0-130.0
120.0,1290.0,-0.09,0.01,9.8,0.13,0.05,0.05,18.31,120.0-130.0
120.0,1716.0,-0.1,-0.0,9.82,0.07,-0.09,-0.07,18.33,120.0-130.0
120.0,1429.0,-0.06,0.01,9.82,0.13,-0.0,-0.01,18.29,120.0-130.0
120.0,1139.0,-0.08,0.01,9.81,0.07,-0.05,-0.05,18.29,120.0-130.0
120.0,1188.0,-0.08,-0.01,9.82,0.06,0.06,-0.07,18.28,120.0-130.0
120.0,1298.0,-0.09,-0.02,9.79,0.07,0.03,-0.05,18.32,120.0-130.0
120.0,1495.0,-0.09,-0.02,9.79,0.09,-0.0,-0.01,18.32,120.0-130.0
120.0,1425.0,-0.1,-0.01,9.8,0.09,-0.0,-0.01,18.32,120.0-130.0
120.0,1634.0,-0.07,-0.01,9.82,0.15,-0.03,0.04,18.31,120.0-130.0
