Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
120.0,2928.0,0.61,-7.29,11.63,0.74,25.5,-0.8,17.65,120.0-130.0
120.0,2928.0,-0.99,-8.36,22.2,-13.02,-23.77,-2.4,17.63,120.0-130.0
120.0,2399.0,-2.46,8.19,8.63,10.8,-17.94,7.91,17.65,120.0-130.0
120.0,606.0,9.69,18.9,0.57,21.83,-8.18,9.33,17.66,120.0-130.0
120.0,1307.0,0.15,18.11,6.55,20.35,7.89,6.13,17.64,120.0-130.0
120.0,1681.0,-3.27,-13.31,8.0,-11.72,19.26,-13.4,17.67,120.0-130.0
120.0,2928.0,1.44,-16.75,10.06,-25.84,-10.77,-16.03,17.67,120.0-130.0
120.0,1922.0,4.98,-15.64,19.76,-26.74,-24.84,-9.7,17.66,120.0-130.0
120.0,2627.0,1.21,-9.1,19.16,-14.43,-23.99,0.08,17.65,120.0-130.0
120.0,0.0,-9.05,13.39,9.39,14.66,10.68,8.78,17.66,120.0-130.0
120.0,0.0,-6.3,7.6,8.57,9.93,10.12,7.94,17.66,120.0-130.0
120.0,2929.0,-0.07,3.04,6.69,7.9,13.64,4.91,17.65,120.0-130.0
120.0,2928.0,-0.62,-0.29,8.1,4.92,18.8,-0.02,17.65,120.0-130.0
120.0,2895.0,1.21,-11.08,17.36,-17.13,-17.41,-4.17,17.66,120.0-130.0
120.0,511.0,1.29,-6.77,15.07,-8.73,-16.6,-0.76,17.66,120.0-130.0
120.0,2928.0,1.39,-1.6,13.09,-1.12,-15.67,2.14,17.66,120.0-130.0
120.0,0.0,1.43,3.23,10.53,5.08,-12.39,4.48,17.65,120.0-130.0
120.0,0.0,-2.72,6.77,6.93,9.88,12.25,5.01,17.64,120.0-130.0
120.0,0.0,-0.98,3.03,6.42,6.2,14.75,3.21,17.64,120.0-130.0
120.0,2928.0,-0.87,-0.24,7.62,2.71,16.02,0.56,17.65,120.0-130.0
120.0,2934.0,-1.7,-2.97,9.25,-0.97,15.43,-2.86,17.65,120.0-130.0
120.0,2417.0,2.4,-8.12,14.59,-10.92,-16.25,-1.27,17.65,120.0-130.0
120.0,727.0,1.78,-4.38,13.32,-5.3,-14.74,-0.04,17.64,120.0-130.0
120.0,2928.0,1.24,-0.86,12.26,-0.55,-14.05,1.2,17.66,120.0-130.0
120.0,0.0,1.59,2.46,10.58,4.27,-11.98,2.83,17.65,120.0-130.0
120.0,711.0,-3.0,7.57,7.21,10.23,12.28,2.74,17.66,120.0-130.0
120.0,0.0,-1.98,5.19,6.69,7.96,13.2,2.22,17.64,120.0-130.0
120.0,2928.0,-1.22,2.64,6.79,5.35,14.6,1.69,17.63,120.0-130.0
