Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
130.0,1621.0,-0.32,0.02,9.8,-0.17,-0.08,0.14,28.42,130.0-140.0
130.0,1376.0,-0.36,0.04,9.78,-0.16,-0.04,-0.11,28.4,130.0-140.0
130.0,1570.0,-0.38,0.05,9.7,-0.1,0.05,-0.23,28.43,130.0-140.0
130.0,1578.0,-0.38,0.02,9.8,-0.13,0.01,-0.32,28.43,130.0-140.0
130.0,1489.0,-0.4,-0.01,9.71,-0.13,0.01,-0.27,28.42,130.0-140.0
130.0,942.0,-0.37,0.03,9.75,-0.04,0.01,-0.08,28.41,130.0-140.0
130.0,1097.0,-0.37,-0.01,9.74,-0.13,-0.04,0.18,28.41,130.0-140.0
130.0,1199.0,-0.37,0.01,9.74,-0.13,0.01,0.46,28.44,130.0-140.0
130.0,1493.0,-0.35,0.06,9.77,-0.17,0.01,0.5,28.4,130.0-140.0
130.0,1441.0,-0.36,0.03,9.78,-0.22,0.01,0.35,28.42,130.0-140.0
130.0,1304.0,-0.36,0.03,9.73,-0.14,-0.01,0.09,28.43,130.0-140.0
130.0,1565.0,-0.34,0.06,9.75,-0.1,-0.04,-0.09,28.43,130.0-140.0
130.0,1186.0,-0.35,0.07,9.76,-0.13,-0.08,-0.18,28.43,130.0-140.0
130.0,1169.0,-0.31,0.01,9.78,-0.1,-0.02,-0.31,28.41,130.0-140.0
130.0,1144.0,-0.35,0.03,9.77,-0.07,0.05,-0.18,28.44,130.0-140.0
130.0,1765.0,-0.4,0.02,9.75,-0.17,0.01,-0.05,28.42,130.0-140.0
130.0,1219.0,-0.36,-0.01,9.77,-0.1,-0.02,0.26,28.44,130.0-140.0
130.0,1351.0,-0.37,0.04,9.79,-0.04,-0.08,0.43,28.43,130.0-140.0
130.0,1473.0,-0.4,0.07,9.74,-0.16,-0.01,0.49,28.43,130.0-140.0
130.0,1324.0,-0.37,0.02,9.73,-0.17,-0.02,0.32,28.41,130.0-140.0
130.0,1139.0,-0.38,0.04,9.77,-0.1,0.04,0.06,28.41,130.0-140.0
130.0,752.0,-0.34,0.07,9.76,-0.08,0.04,-0.18,28.41,130.0-140.0
130.0,1557.0,-0.37,0.04,9.76,-0.22,0.01,-0.29,28.43,130.0-140.0
130.0,812.0,-0.36,0.01,9.8,-0.14,-0.07,-0.31,28.41,130.0-140.0
130.0,939.0,-0.37,0.01,9.72,-0.08,0.01,-0.03,28.44,130.0-140.0
130.0,1398.0,-0.39,-0.02,9.75,-0.22,0.05,-0.03,28.42,130.0-140.0
130.0,1683.0,-0.34,-0.0,9.77,-0.17,-0.02,0.21,28.45,130.0-140.0
130.0,1238.0,-0.37,0.04,9.72,-0.04,0.02,0.47,28.45,130.0-140.0
130.0,1191.0,-0.36,0.0,9.78,-0.13,-0.07,0.46,28.45,130.0-140.0
130.0,1399.0,-0.38,0.05,9.75,-0.16,0.07,0.26,28.44,130.0-140.0
130.0,1660.0,-0.37,0.06,9.79,-0.07,0.02,-0.0,28.42,130.0-140.0
130.0,1443.0,-0.34,0.04,9.72,-0.04,-0.08,-0.27,28.45,130.0-140.0
130.0,1344.0,-0.35,0.03,9.77,-0.08,0.01,-0.31,28.43,130.0-140.0
130.0,1011.0,-0.38,0.07,9.77,0.01,-0.08,-0.26,28.43,130.0-140.0
130.0,1706.0,-0.35,0.03,9.73,-0.17,-0.01,-0.11,28.43,130.0-140.0
130.0,790.0,-0.38,0.0,9.72,-0.26,-0.02,0.2,28.42,130.0-140.0
130.0,1008.0,-0.36,0.01,9.74,-0.2,-0.04,0.37,28.42,130.0-140.0
130.0,1200.0,-0.35,0.04,9.77,-0.19,-0.02,0.4,28.39,130.0-140.0
130.0,1119.0,-0.38,0.02,9.77,-0.22,-0.02,0.35,28.43,130.0-140.0
130.0,729.0,-0.35,0.05,9.75,-0.26,0.02,0.14,28.42,130.0-140.0
130.0,1360.0,-0.34,0.05,9.76,-0.14,-0.01,0.08,28.43,130.0-140.0
130.0,1445.0,-0.35,0.02,9.74,-0.13,-0.02,-0.26,28.45,130.0-140.0
130.0,1361.0,-0.4,-0.0,9.71,-0.13,0.08,-0.31,28.44,130.0-140.0
130.0,1088.0,-0.4,0.07,9.75,-0.05,0.01,-0.12,28.43,130.0-140.0
130.0,1302.0,-0.41,0.0,9.72,-0.22,-0.07,0.08,28.42,130.0-140.0
130.0,1808.0,-0.37,0.03,9.74,-0.13,0.04,0.27,28.45,130.0-140.0
130.0,1379.0,-0.37,0.04,9.76,-0.08,0.05,0.32,28.41,130.0-140.0
130.0,1063.0,-0.39,0.07,9.74,-0.13,-0.04,0.38,28.42,130.0-140.0
130.0,1638.0,-0.37,0.05,9.73,-0.16,-0.02,0.32,28.42,130.0-140.0
130.0,832.0,-0.36,0.05,9.74,-0.08,-0.05,0.12,28.44,130.0-140.0
130.0,1579.0,-0.37,0.05,9.77,-0.07,-0.02,-0.17,28.42,130.0-140.0
130.0,1047.0,-0.36,0.01,9.79,-0.14,0.04,-0.24,28.43,130.0-140.0
130.0,1361.0,-0.37,0.04,9.75,-0.17,0.01,-0.31,28.4,130.0-140.0
130.0,1109.0,-0.35,0.04,9.73,-0.19,0.01,-0.2,28.43,130.0-140.0
130.0,879.0,-0.4,0.04,9.74,-0.31,0.04,-0.03,28.42,130.0-140.0
130.0,1264.0,-0.37,0.04,9.73,-0.36,0.08,0.26,28.46,130.0-140.0
130.0,1313.0,-0.38,0.05,9.77,-0.23,-0.04,0.37,28.43,130.0-140.0
130.0,1392.0,-0.37,0.01,9.75,-0.22,-0.01,0.31,28.42,130.0-140.0
130.0,1206.0,-0.37,0.01,9.72,-0.1,0.04,0.2,28.44,130.0-140.0
