Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
130.0,2927.0,-41.99,2.87,-3.96,141.05,209.63,-103.49,15.28,130.0-140.0
130.0,2926.0,-18.52,-11.38,-12.88,139.41,163.54,-106.64,15.32,130.0-140.0
130.0,2928.0,-6.09,29.44,43.05,-40.48,-98.47,33.1,15.31,130.0-140.0
130.0,2928.0,-9.39,33.09,30.26,-7.35,-49.72,-2.34,15.29,130.0-140.0
130.0,2928.0,-17.54,29.5,-3.99,60.47,77.72,-47.02,15.3,130.0-140.0
130.0,2927.0,-40.31,14.88,-17.8,127.06,185.74,-93.76,15.28,130.0-140.0
130.0,2928.0,40.36,15.12,62.74,-96.6,-69.47,83.44,15.29,130.0-140.0
130.0,2927.0,24.52,31.81,41.53,-52.78,-45.53,29.99,15.28,130.0-140.0
130.0,0.0,9.68,17.9,16.23,16.92,3.41,-43.75,15.27,130.0-140.0
130.0,0.0,-15.2,11.39,-16.7,147.71,160.94,-115.5,15.27,130.0-140.0
130.0,2509.0,27.95,7.95,52.6,-140.59,-56.68,99.85,15.27,130.0-140.0
130.0,2926.0,-8.83,36.17,44.38,-72.8,6.45,38.15,15.27,130.0-140.0
130.0,2928.0,8.76,16.53,36.77,-32.21,-70.17,-30.54,15.29,130.0-140.0
130.0,2719.0,3.53,23.7,-3.91,137.47,143.42,-80.16,15.26,130.0-140.0
130.0,315.0,39.5,-13.98,45.07,-161.27,-95.33,102.75,15.29,130.0-140.0
130.0,0.0,28.09,22.01,50.42,-98.36,-88.8,77.13,15.28,130.0-140.0
130.0,2928.0,5.31,28.06,47.07,-41.78,-0.74,11.24,15.29,130.0-140.0
130.0,0.0,8.08,40.71,-11.48,92.65,159.34,-35.07,15.29,130.0-140.0
130.0,2927.0,42.28,-18.67,48.2,-165.04,-126.49,115.67,15.28,130.0-140.0
130.0,2928.0,31.95,5.82,51.96,-130.72,-90.48,104.9,15.27,130.0-140.0
130.0,0.0,-4.67,28.72,47.13,-85.2,21.45,44.12,15.27,130.0-140.0
130.0,0.0,-6.26,33.82,35.78,-18.58,-4.02,-3.76,15.28,130.0-140.0
130.0,0.0,7.34,-12.06,48.8,-169.16,-79.43,125.77,15.27,130.0-140.0
130.0,0.0,38.83,-11.33,62.18,-199.84,-210.52,126.98,15.3,130.0-140.0
130.0,2928.0,20.68,7.76,38.37,-103.68,-18.68,65.97,15.29,130.0-140.0
130.0,0.0,-21.88,37.69,35.47,-38.48,33.21,30.66,15.27,130.0-140.0
130.0,2928.0,7.42,-14.43,52.34,-138.18,-73.34,112.04,15.27,130.0-140.0
130.0,2928.0,10.04,-13.14,45.75,-145.72,-43.89,132.59,15.27,130.0-140.0
130.0,2928.0,20.68,-1.65,51.47,-163.31,-60.6,105.57,15.29,130.0-140.0
130.0,2928.0,-11.33,-26.11,1.91,-43.33,-72.9,59.78,15.28,130.0-140.0
130.0,0.0,-17.87,-1.02,23.76,-105.44,-47.87,108.41,15.28,130.0-140.0
130.0,0.0,1.47,-6.93,44.53,-162.34,-108.56,135.92,15.28,130.0-140.0
130.0,2928.0,36.34,-10.05,40.75,-169.32,-75.4,121.77,15.29,130.0-140.0
130.0,2928.0,12.53,-34.85,-15.72,-31.86,-126.6,22.12,15.28,130.0-140.0
130.0,2928.0,-7.57,-1.37,15.87,-74.67,-91.84,73.04,15.27,130.0-140.0
130.0,2928.0,-28.34,-8.16,36.33,-121.58,-43.95,101.43,15.29,130.0-140.0
130.0,2928.0,5.15,-1.56,25.72,-113.68,23.78,123.65,15.27,130.0-140.0
130.0,331.0,-4.04,-36.59,-26.35,70.73,49.02,-29.35,15.27,130.0-140.0
130.0,0.0,-36.27,-19.41,-4.1,-12.16,9.42,38.22,15.27,130.0-140.0
130.0,0.0,-25.23,-3.61,24.95,-98.14,-10.17,97.66,15.29,130.0-140.0
130.0,0.0,39.48,-8.85,36.76,-183.18,-200.65,144.92,15.27,130.0-140.0
130.0,2928.0,-8.56,-22.1,-10.88,65.2,-12.63,-47.05,15.25,130.0-140.0
130.0,2928.0,10.52,-36.99,-10.17,-14.49,-140.89,9.65,15.28,130.0-140.0
130.0,2928.0,8.27,-16.41,14.28,-52.95,-68.58,63.19,15.26,130.0-140.0
130.0,0.0,-5.01,-9.22,24.42,-101.88,-53.67,92.96,15.27,130.0-140.0
130.0,2928.0,29.34,-16.72,-16.54,116.15,-42.63,-82.68,15.25,130.0-140.0
130.0,2928.0,-2.64,-23.59,-38.06,97.69,39.62,-47.43,15.26,130.0-140.0
130.0,1606.0,-12.13,-16.97,-20.72,7.84,15.07,18.73,15.27,130.0-140.0
130.0,2928.0,-24.63,-20.06,12.43,-87.86,-69.94,79.41,15.27,130.0-140.0
130.0,2928.0,-45.85,3.48,-30.15,193.19,127.88,-126.21,15.28,130.0-140.0
130.0,2927.0,-25.91,-11.66,-33.78,105.44,58.14,-66.35,15.26,130.0-140.0
130.0,2928.0,-11.72,-29.68,-22.45,25.38,-22.48,-6.87,15.3,130.0-140.0
130.0,2928.0,-1.0,-22.55,1.73,-61.63,-97.4,58.63,15.27,130.0-140.0
130.0,0.0,-12.86,-7.05,-25.22,158.05,141.21,-138.42,15.28,130.0-140.0
130.0,2928.0,-1.86,-7.91,-11.54,117.94,-22.88,-87.24,15.29,130.0-140.0
130.0,2928.0,23.66,-19.99,-36.28,77.81,-100.62,-53.15,15.27,130.0-140.0
130.0,2959.0,-1.72,-23.57,-17.21,27.85,-0.73,7.44,15.28,130.0-140.0
130.0,2928.0,-2.27,-5.38,-28.6,162.89,86.77,-127.98,15.27,130.0-140.0
130.0,2928.0,25.36,-1.88,-31.44,174.43,66.08,-113.9,15.29,130.0-140.0
130.0,2928.0,3.0,-9.14,-52.69,141.02,61.13,-87.44,15.26,130.0-140.0
130.0,1554.0,2.86,-27.32,-35.63,70.85,23.14,-28.77,15.26,130.0-140.0
130.0,0.0,-14.96,-1.93,-15.62,163.68,173.1,-110.6,15.26,130.0-140.0
130.0,0.0,-32.51,4.33,-22.02,186.36,156.93,-136.19,15.26,130.0-140.0
130.0,0.0,-31.41,6.21,-37.32,162.26,100.39,-110.12,15.25,130.0-140.0
130.0,2929.0,13.38,-14.59,-35.68,83.73,-28.42,-62.36,15.24,130.0-140.0
130.0,0.0,6.55,15.93,-14.02,110.05,79.34,-87.32,15.26,130.0-140.0
130.0,2928.0,7.43,-3.42,-21.58,153.29,122.96,-128.96,15.27,130.0-140.0
130.0,2928.0,2.07,-1.3,-25.96,178.88,81.93,-113.84,15.25,130.0-140.0
130.0,2928.0,-3.52,-8.96,-39.6,145.19,30.42,-104.19,15.26,130.0-140.0
130.0,2928.0,22.97,24.31,25.24,28.9,-20.91,-44.43,15.27,130.0-140.0
130.0,2928.0,13.63,2.66,-27.22,173.8,194.48,-99.94,15.26,130.0-140.0
130.0,2928.0,-11.0,4.69,-38.3,206.97,194.57,-123.74,15.24,130.0-140.0
130.0,2928.0,-32.83,0.94,-32.34,171.53,163.02,-128.18,15.28,130.0-140.0
130.0,0.0,-11.98,29.6,31.16,21.7,95.01,-22.85,15.26,130.0-140.0
130.0,2927.0,-30.86,13.51,1.35,95.2,179.42,-66.8,15.27,130.0-140.0
130.0,0.0,20.06,0.19,-14.87,123.58,64.22,-118.26,15.26,130.0-140.0
130.0,2928.0,24.62,3.53,-11.83,177.58,55.49,-111.96,15.25,130.0-140.0
130.0,1328.0,-8.38,22.15,37.46,-97.04,3.65,20.47,15.27,130.0-140.0
130.0,2928.0,19.99,31.25,34.26,-19.22,-80.77,-15.92,15.25,130.0-140.0
130.0,2928.0,7.53,12.92,-18.45,138.78,198.8,-92.16,15.25,130.0-140.0
130.0,2927.0,-2.35,6.12,-30.25,178.32,153.01,-115.15,15.24,130.0-140.0
130.0,2928.0,5.79,23.03,46.33,-107.4,-50.55,73.92,15.27,130.0-140.0
130.0,2926.0,-6.4,32.55,42.61,-33.63,47.26,11.16,15.27,130.0-140.0
130.0,0.0,-21.55,25.0,-3.4,59.02,149.91,-39.44,15.27,130.0-140.0
130.0,2927.0,2.45,1.07,0.99,76.13,9.59,-92.03,15.27,130.0-140.0
130.0,2928.0,1.98,14.58,60.03,-152.94,-65.07,106.32,15.24,130.0-140.0
130.0,1222.0,5.92,20.26,42.45,-129.55,-59.81,46.44,15.29,130.0-140.0
130.0,0.0,23.06,28.85,46.28,-51.02,-92.98,6.36,15.27,130.0-140.0
130.0,0.0,19.57,19.46,-3.73,95.46,138.88,-70.0,15.27,130.0-140.0
130.0,0.0,42.21,-14.01,55.84,-170.01,-103.71,122.64,15.27,130.0-140.0
130.0,2928.0,15.41,15.75,37.55,-113.13,1.81,81.73,15.28,130.0-140.0
130.0,0.0,-24.86,33.72,43.96,-70.25,40.93,44.06,15.28,130.0-140.0
130.0,2928.0,-26.81,34.49,11.21,10.29,112.71,-21.34,15.26,130.0-140.0
130.0,2928.0,-4.07,-8.38,39.67,-126.08,6.57,111.84,15.26,130.0-140.0
130.0,2928.0,11.2,-3.85,52.39,-173.51,-80.74,115.47,15.3,130.0-140.0
130.0,0.0,22.7,11.85,50.63,-180.31,-143.62,85.2,15.26,130.0-140.0
130.0,2927.0,-5.42,28.18,41.47,-59.49,-30.31,19.52,15.27,130.0-140.0
130.0,0.0,17.71,-0.95,35.9,-158.41,-170.6,125.08,15.26,130.0-140.0
130.0,0.0,20.43,-33.12,35.61,-217.83,-204.98,127.94,15.29,130.0-140.0
130.0,0.0,40.56,-10.06,57.1,-169.83,-165.86,107.67,15.25,130.0-140.0
