Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
130.0,1305.0,-0.01,0.02,9.83,-0.12,0.13,1.14,28.22,130.0-140.0
130.0,1535.0,0.02,-0.05,9.82,-0.18,-0.15,1.21,28.22,130.0-140.0
130.0,1344.0,-0.0,-0.01,9.85,-0.07,-0.15,0.83,28.2,130.0-140.0
130.0,1252.0,0.02,-0.03,9.8,-0.03,-0.1,0.01,28.22,130.0-140.0
130.0,1507.0,-0.0,-0.01,9.77,0.14,0.13,-0.71,28.21,130.0-140.0
130.0,1407.0,-0.0,0.04,9.84,0.14,0.19,-0.83,28.24,130.0-140.0
130.0,1406.0,0.02,0.02,9.9,0.09,-0.01,-0.88,28.22,130.0-140.0
130.0,1218.0,0.02,-0.07,9.82,0.0,-0.16,-0.43,28.22,130.0-140.0
130.0,1219.0,0.04,-0.09,9.88,-0.15,-0.27,0.27,28.21,130.0-140.0
130.0,1346.0,0.02,0.01,9.79,0.03,0.05,0.69,28.23,130.0-140.0
130.0,1563.0,-0.05,0.06,9.71,0.0,0.19,1.0,28.22,130.0-140.0
130.0,1470.0,-0.02,0.07,9.79,-0.06,0.18,0.79,28.22,130.0-140.0
130.0,1341.0,-0.01,0.09,9.85,0.02,0.21,0.24,28.22,130.0-140.0
130.0,1221.0,0.0,-0.03,9.88,-0.04,-0.25,-0.16,28.23,130.0-140.0
130.0,1311.0,0.04,-0.03,9.84,0.05,-0.24,-0.63,28.21,130.0-140.0
130.0,1535.0,-0.0,-0.04,9.82,0.09,-0.1,-0.85,28.24,130.0-140.0
130.0,1569.0,-0.0,-0.09,9.8,-0.01,-0.02,-0.53,28.21,130.0-140.0
130.0,1619.0,-0.01,0.03,9.78,0.12,0.18,0.04,28.22,130.0-140.0
130.0,1533.0,-0.0,0.07,9.79,0.05,0.04,0.4,28.2,130.0-140.0
130.0,1163.0,0.02,0.02,9.87,-0.06,-0.05,0.6,28.21,130.0-140.0
130.0,1419.0,0.02,-0.0,9.86,-0.15,-0.18,0.53,28.21,130.0-140.0
130.0,1327.0,-0.01,0.01,9.76,-0.01,0.07,0.28,28.22,130.0-140.0
130.0,1478.0,-0.0,0.04,9.76,0.09,0.07,-0.02,28.22,130.0-140.0
130.0,1428.0,-0.02,0.06,9.75,0.05,0.18,-0.24,28.22,130.0-140.0
130.0,1456.0,-0.02,0.06,9.77,0.09,0.22,-0.28,28.24,130.0-140.0
130.0,1123.0,0.01,-0.04,9.82,-0.04,-0.22,-0.31,28.23,130.0-140.0
130.0,1378.0,0.04,-0.05,9.88,-0.01,-0.3,-0.34,28.23,130.0-140.0
130.0,1530.0,0.01,-0.08,9.88,-0.09,-0.24,-0.08,28.22,130.0-140.0
130.0,1613.0,-0.03,-0.09,9.78,-0.07,-0.15,0.3,28.22,130.0-140.0
130.0,1488.0,-0.03,0.06,9.78,0.05,0.19,0.56,28.22,130.0-140.0
130.0,1467.0,0.0,0.06,9.83,0.0,0.13,0.71,28.25,130.0-140.0
130.0,1381.0,0.01,0.05,9.86,-0.09,0.01,0.43,28.23,130.0-140.0
130.0,1043.0,0.05,0.01,9.91,-0.06,-0.16,0.1,28.23,130.0-140.0
130.0,1283.0,0.0,-0.01,9.83,0.02,0.01,-0.19,28.22,130.0-140.0
130.0,1535.0,-0.03,0.03,9.79,0.12,0.08,-0.56,28.19,130.0-140.0
130.0,1470.0,-0.0,0.04,9.81,0.12,0.13,-0.59,28.24,130.0-140.0
130.0,1396.0,-0.06,0.02,9.79,0.09,0.14,-0.34,28.22,130.0-140.0
130.0,1524.0,0.02,-0.07,9.88,-0.07,-0.02,-0.11,28.24,130.0-140.0
130.0,1314.0,0.02,-0.07,9.87,-0.03,-0.11,0.42,28.22,130.0-140.0
130.0,1312.0,0.01,-0.03,9.85,-0.06,-0.1,0.65,28.22,130.0-140.0
130.0,1013.0,0.02,-0.04,9.84,-0.07,-0.07,0.62,28.21,130.0-140.0
130.0,1735.0,-0.01,0.04,9.81,-0.09,0.07,0.59,28.21,130.0-140.0
130.0,1390.0,0.0,0.11,9.79,0.08,0.05,0.3,28.23,130.0-140.0
130.0,1593.0,0.06,0.06,9.82,0.06,0.04,-0.34,28.22,130.0-140.0
130.0,1150.0,-0.0,-0.03,9.89,0.05,-0.07,-0.8,28.25,130.0-140.0
130.0,1606.0,-0.0,-0.08,9.76,0.12,0.02,-0.92,28.24,130.0-140.0
130.0,1261.0,-0.02,-0.02,9.77,0.11,0.07,-0.65,28.23,130.0-140.0
130.0,1482.0,-0.07,0.02,9.8,0.08,0.08,-0.01,28.22,130.0-140.0
130.0,1436.0,-0.02,0.07,9.75,0.03,0.1,0.59,28.21,130.0-140.0
130.0,1309.0,0.02,-0.1,9.85,-0.2,-0.18,0.72,28.22,130.0-140.0
130.0,1207.0,-0.01,-0.11,9.86,-0.26,-0.21,0.97,28.23,130.0-140.0
130.0,1353.0,0.02,-0.04,9.79,-0.09,-0.15,0.8,28.21,130.0-140.0
130.0,1455.0,0.02,0.03,9.79,0.0,0.02,0.18,28.21,130.0-140.0
130.0,1534.0,0.02,0.12,9.78,0.0,0.14,-0.22,28.19,130.0-140.0
130.0,1469.0,0.05,0.03,9.86,0.05,-0.01,-0.77,28.21,130.0-140.0
130.0,1165.0,0.0,-0.06,9.85,0.02,-0.08,-1.03,28.23,130.0-140.0
130.0,1517.0,0.0,-0.12,9.88,-0.01,-0.15,-0.82,28.22,130.0-140.0
130.0,1921.0,-0.03,0.0,9.81,0.05,0.11,-0.21,28.22,130.0-140.0
130.0,1321.0,-0.03,0.07,9.81,0.12,0.22,0.74,28.22,130.0-140.0
130.0,1799.0,0.04,0.07,9.87,0.0,0.11,1.11,28.21,130.0-140.0
130.0,1238.0,-0.02,0.07,9.88,-0.06,0.01,0.94,28.22,130.0-140.0
130.0,1819.0,0.03,-0.02,9.79,-0.07,-0.1,0.54,28.22,130.0-140.0
130.0,1269.0,0.01,0.05,9.79,0.08,0.04,-0.16,28.22,130.0-140.0
130.0,1446.0,0.01,0.07,9.77,0.12,-0.01,-0.77,28.22,130.0-140.0
130.0,1392.0,0.01,0.11,9.76,0.25,0.1,-0.98,28.21,130.0-140.0
130.0,1255.0,0.0,-0.12,9.88,0.0,-0.18,-0.91,28.21,130.0-140.0
130.0,1273.0,0.0,-0.14,9.85,-0.12,-0.19,-0.33,28.2,130.0-140.0
130.0,1382.0,0.03,-0.16,9.82,-0.15,-0.1,0.51,28.21,130.0-140.0
130.0,1646.0,-0.01,-0.06,9.8,-0.13,-0.02,1.12,28.21,130.0-140.0
130.0,1482.0,-0.0,0.08,9.82,-0.06,0.14,1.3,28.21,130.0-140.0
130.0,1327.0,0.02,0.04,9.83,-0.15,0.05,0.92,28.22,130.0-140.0
130.0,1279.0,0.03,0.01,9.87,-0.03,-0.18,-0.04,28.22,130.0-140.0
130.0,1488.0,0.01,-0.05,9.86,0.06,-0.1,-0.86,28.22,130.0-140.0
130.0,1833.0,-0.03,0.01,9.84,0.12,0.07,-1.03,28.21,130.0-140.0
130.0,1200.0,0.02,0.06,9.77,0.25,0.13,-0.88,28.24,130.0-140.0
130.0,2032.0,-0.02,0.06,9.81,0.14,0.13,-0.42,28.2,130.0-140.0
130.0,1088.0,-0.01,0.01,9.83,0.02,0.05,0.18,28.21,130.0-140.0
130.0,1690.0,0.01,-0.11,9.78,-0.15,-0.15,0.48,28.22,130.0-140.0
130.0,1431.0,-0.02,-0.02,9.79,-0.12,-0.04,0.86,28.21,130.0-140.0
130.0,1571.0,0.01,0.03,9.79,-0.07,-0.1,0.86,28.24,130.0-140.0
130.0,1430.0,0.03,0.14,9.72,0.11,0.22,0.42,28.22,130.0-140.0
130.0,1445.0,0.02,-0.02,9.9,-0.15,-0.15,-0.05,28.21,130.0-140.0
130.0,1345.0,-0.01,-0.1,9.87,-0.07,-0.24,-0.54,28.22,130.0-140.0
130.0,1380.0,0.02,-0.12,9.83,-0.07,-0.22,-0.72,28.23,130.0-140.0
130.0,1301.0,-0.02,-0.09,9.81,0.0,-0.1,-0.43,28.22,130.0-140.0
130.0,1672.0,-0.02,0.08,9.79,0.12,0.11,-0.07,28.22,130.0-140.0
130.0,1687.0,-0.01,0.02,9.86,0.02,0.07,0.36,28.22,130.0-140.0
130.0,1082.0,0.01,-0.07,9.86,-0.06,0.01,0.57,28.22,130.0-140.0
130.0,954.0,0.01,-0.02,9.82,-0.09,-0.08,0.54,28.23,130.0-140.0
130.0,1855.0,-0.03,0.03,9.74,0.02,-0.02,0.5,28.23,130.0-140.0
130.0,1236.0,0.05,0.09,9.75,0.09,0.1,0.31,28.24,130.0-140.0
130.0,1914.0,0.01,0.14,9.8,0.19,0.11,-0.13,28.24,130.0-140.0
130.0,1237.0,-0.03,0.06,9.85,0.17,0.08,-0.54,28.23,130.0-140.0
130.0,1738.0,-0.0,-0.12,9.83,-0.01,-0.1,-0.76,28.22,130.0-140.0
130.0,1147.0,-0.02,-0.1,9.82,-0.03,-0.02,-0.62,28.22,130.0-140.0
130.0,1637.0,-0.01,-0.04,9.78,0.03,0.05,-0.22,28.21,130.0-140.0
130.0,1678.0,-0.02,0.08,9.72,0.09,0.21,0.33,28.23,130.0-140.0
130.0,1469.0,-0.0,-0.06,9.89,-0.13,-0.07,0.59,28.23,130.0-140.0
130.0,1280.0,0.04,-0.08,9.89,-0.2,-0.22,0.77,28.21,130.0-140.0
130.0,1419.0,0.01,-0.11,9.85,-0.21,-0.19,0.77,28.22,130.0-140.0
130.0,1590.0,-0.01,0.11,9.78,0.08,0.13,0.65,28.21,130.0-140.0
130.0,1490.0,-0.02,0.15,9.77,0.11,0.11,0.02,28.24,130.0-140.0
130.0,1449.0,-0.0,0.1,9.81,0.12,0.1,-0.56,28.24,130.0-140.0
130.0,1281.0,-0.02,-0.01,9.81,0.11,0.02,-0.89,28.22,130.0-140.0
130.0,1323.0,-0.0,-0.11,9.81,0.09,-0.11,-0.97,28.22,130.0-140.0
130.0,2000.0,-0.06,-0.05,9.79,0.02,0.02,-0.34,28.23,130.0-140.0
130.0,1258.0,-0.02,0.04,9.78,0.06,0.1,0.37,28.22,130.0-140.0
130.0,1977.0,-0.02,0.09,9.81,0.09,0.18,0.91,28.2,130.0-140.0
130.0,1329.0,0.01,-0.08,9.88,-0.17,-0.24,0.82,28.21,130.0-140.0
130.0,1519.0,0.01,-0.09,9.84,-0.17,-0.15,0.53,28.24,130.0-140.0
130.0,1283.0,-0.0,-0.03,9.84,0.05,-0.16,-0.04,28.22,130.0-140.0
130.0,1671.0,-0.01,-0.04,9.84,0.03,-0.04,-0.66,28.21,130.0-140.0
130.0,1754.0,-0.02,0.08,9.82,0.17,0.01,-0.76,28.23,130.0-140.0
130.0,1483.0,0.0,-0.0,9.87,0.03,-0.08,-0.76,28.22,130.0-140.0
130.0,1259.0,-0.05,-0.09,9.91,-0.12,-0.21,-0.3,28.21,130.0-140.0
130.0,1408.0,-0.0,-0.14,9.82,-0.2,-0.21,0.3,28.21,130.0-140.0
130.0,1392.0,-0.03,0.04,9.78,-0.04,0.1,0.85,28.22,130.0-140.0
130.0,1525.0,-0.02,0.12,9.75,-0.06,0.21,1.17,28.22,130.0-140.0
130.0,1584.0,0.01,0.11,9.79,-0.04,0.11,0.86,28.24,130.0-140.0
130.0,1442.0,0.0,0.07,9.88,-0.07,0.02,0.19,28.22,130.0-140.0
130.0,1219.0,0.03,-0.09,9.86,0.0,-0.21,-0.51,28.22,130.0-140.0
130.0,1490.0,-0.04,-0.05,9.77,0.03,-0.01,-0.89,28.22,130.0-140.0
130.0,1299.0,-0.02,-0.02,9.77,0.26,0.01,-0.79,28.22,130.0-140.0
