Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
130.0,671.0,0.01,0.02,9.79,-0.02,-0.0,-0.4,28.68,130.0-140.0
130.0,1615.0,0.01,-0.01,9.86,-0.01,-0.02,-0.49,28.69,130.0-140.0
130.0,1743.0,-0.03,-0.07,9.81,-0.01,-0.08,-0.34,28.7,130.0-140.0
130.0,1168.0,0.0,-0.05,9.83,-0.05,-0.0,-0.0,28.68,130.0-140.0
130.0,1215.0,0.0,-0.05,9.83,-0.04,-0.0,0.14,28.69,130.0-140.0
130.0,1292.0,-0.01,-0.03,9.81,-0.13,0.03,0.38,28.71,130.0-140.0
130.0,1785.0,-0.01,-0.0,9.82,-0.1,-0.05,0.47,28.69,130.0-140.0
130.0,988.0,-0.02,0.05,9.83,0.01,-0.08,0.23,28.7,130.0-140.0
130.0,1584.0,0.03,0.01,9.84,-0.04,-0.06,0.02,28.71,130.0-140.0
130.0,1535.0,0.02,0.0,9.79,-0.01,-0.05,-0.34,28.7,130.0-140.0
130.0,769.0,-0.01,-0.02,9.83,0.04,-0.0,-0.46,28.69,130.0-140.0
130.0,1813.0,-0.01,-0.0,9.85,0.01,-0.0,-0.43,28.68,130.0-140.0
130.0,1567.0,0.01,-0.03,9.81,-0.05,0.06,-0.26,28.66,130.0-140.0
130.0,1337.0,0.0,-0.03,9.81,-0.01,-0.08,0.11,28.67,130.0-140.0
130.0,1296.0,0.02,-0.03,9.9,-0.11,-0.03,0.4,28.67,130.0-140.0
130.0,1585.0,0.01,-0.02,9.84,-0.11,-0.03,0.47,28.71,130.0-140.0
130.0,1425.0,-0.02,-0.03,9.83,-0.1,-0.02,0.4,28.71,130.0-140.0
130.0,1424.0,0.02,-0.01,9.83,-0.07,0.01,0.12,28.69,130.0-140.0
130.0,1237.0,0.01,0.02,9.8,-0.05,-0.0,-0.15,28.67,130.0-140.0
130.0,1510.0,-0.0,0.02,9.83,-0.04,-0.03,-0.44,28.7,130.0-140.0
130.0,1200.0,0.03,-0.01,9.8,-0.04,0.01,-0.44,28.69,130.0-140.0
130.0,1472.0,-0.02,-0.03,9.83,-0.02,-0.06,-0.32,28.68,130.0-140.0
130.0,1775.0,-0.01,-0.01,9.83,-0.01,-0.11,-0.03,28.67,130.0-140.0
130.0,1282.0,0.02,-0.04,9.8,-0.05,-0.02,0.26,28.69,130.0-140.0
130.0,1351.0,-0.0,-0.03,9.78,-0.14,-0.03,0.38,28.71,130.0-140.0
130.0,1347.0,0.02,-0.03,9.84,-0.05,-0.03,0.46,28.71,130.0-140.0
130.0,1482.0,-0.01,-0.02,9.8,-0.1,-0.02,0.31,28.69,130.0-140.0
130.0,1023.0,0.02,-0.01,9.8,-0.08,-0.05,0.08,28.68,130.0-140.0
130.0,1647.0,-0.01,0.02,9.82,0.04,0.01,-0.21,28.68,130.0-140.0
130.0,1921.0,-0.0,-0.02,9.86,0.07,-0.06,-0.44,28.71,130.0-140.0
130.0,945.0,0.01,-0.02,9.79,0.09,-0.02,-0.4,28.69,130.0-140.0
130.0,1517.0,0.01,-0.03,9.8,-0.02,-0.02,-0.26,28.69,130.0-140.0
130.0,1634.0,0.01,-0.03,9.84,-0.07,-0.12,-0.03,28.71,130.0-140.0
130.0,1566.0,-0.0,-0.06,9.81,-0.17,-0.06,0.24,28.71,130.0-140.0
130.0,967.0,-0.02,-0.0,9.81,-0.14,-0.02,0.35,28.67,130.0-140.0
130.0,1535.0,0.0,-0.02,9.89,-0.05,-0.03,0.34,28.69,130.0-140.0
130.0,1709.0,0.02,0.02,9.81,-0.07,0.05,0.34,28.68,130.0-140.0
130.0,1079.0,0.0,0.0,9.86,-0.13,-0.12,0.15,28.69,130.0-140.0
130.0,1125.0,0.0,-0.01,9.88,-0.08,-0.18,-0.06,28.69,130.0-140.0
130.0,1998.0,-0.02,-0.05,9.82,-0.04,-0.11,-0.24,28.69,130.0-140.0
130.0,1319.0,-0.01,-0.01,9.84,-0.02,-0.0,-0.29,28.69,130.0-140.0
130.0,1091.0,-0.01,-0.02,9.85,-0.01,0.01,-0.32,28.69,130.0-140.0
130.0,1781.0,0.01,-0.06,9.77,-0.02,0.08,-0.12,28.69,130.0-140.0
130.0,1611.0,0.0,-0.02,9.82,-0.04,0.01,0.03,28.69,130.0-140.0
130.0,910.0,0.0,-0.03,9.83,-0.04,-0.11,0.23,28.69,130.0-140.0
