Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
130.0,0.0,-3.29,3.51,6.13,10.98,16.36,-3.83,17.62,130.0-140.0
130.0,0.0,-0.04,2.84,5.97,8.71,12.86,-2.85,17.62,130.0-140.0
130.0,710.0,4.27,1.51,4.27,5.78,8.16,-1.39,17.63,130.0-140.0
130.0,2096.0,7.69,-0.18,5.64,2.37,-0.68,-0.24,17.6,130.0-140.0
130.0,2187.0,-4.81,3.18,9.69,4.79,2.22,-5.63,17.62,130.0-140.0
130.0,1092.0,-5.76,4.01,6.08,9.0,12.34,-5.17,17.62,130.0-140.0
130.0,134.0,-0.91,3.04,5.04,10.57,15.39,-2.93,17.6,130.0-140.0
130.0,0.0,6.56,1.61,2.84,7.53,6.03,0.93,17.6,130.0-140.0
130.0,0.0,-5.69,3.58,11.75,6.25,0.89,-3.02,17.62,130.0-140.0
130.0,0.0,-8.51,6.55,4.75,12.55,14.47,-2.56,17.58,130.0-140.0
130.0,0.0,7.01,4.34,-1.92,15.45,22.97,-0.46,17.6,130.0-140.0
130.0,0.0,9.46,-2.87,11.69,4.01,-7.68,3.17,17.6,130.0-140.0
130.0,331.0,-13.69,8.51,3.62,14.7,17.36,-5.58,17.63,130.0-140.0
130.0,1073.0,6.92,5.09,-3.16,21.49,29.4,-2.88,17.59,130.0-140.0
130.0,1136.0,8.26,-2.19,11.65,7.03,-8.55,2.99,17.6,130.0-140.0
130.0,2928.0,-1.17,-5.74,18.4,-14.14,-35.15,7.48,17.6,130.0-140.0
130.0,2928.0,5.48,7.13,-4.69,24.24,28.79,-1.39,17.61,130.0-140.0
130.0,2928.0,8.04,-2.86,12.44,8.69,-5.39,5.0,17.6,130.0-140.0
130.0,1953.0,-1.3,-5.4,19.38,-16.96,-40.61,10.36,17.61,130.0-140.0
130.0,1535.0,-13.2,-2.53,12.1,-19.87,-4.92,7.77,17.62,130.0-140.0
130.0,0.0,7.21,-4.41,15.77,4.25,-15.65,7.51,17.59,130.0-140.0
130.0,79.0,-2.97,-3.64,16.48,-18.03,-38.06,10.67,17.6,130.0-140.0
130.0,507.0,-10.79,-4.76,12.95,-18.97,4.07,4.96,17.61,130.0-140.0
130.0,1574.0,14.09,-3.17,5.54,-11.31,10.26,-4.06,17.58,130.0-140.0
130.0,2928.0,-4.75,-4.12,15.55,-17.86,-27.7,9.7,17.59,130.0-140.0
130.0,2928.0,-8.03,-4.79,12.92,-19.19,7.18,4.15,17.61,130.0-140.0
130.0,2928.0,15.6,-2.29,4.76,-8.96,8.48,-4.29,17.62,130.0-140.0
130.0,2928.0,0.2,-1.94,16.35,-1.84,-5.03,-8.64,17.62,130.0-140.0
130.0,2927.0,-4.98,-3.63,11.18,-17.31,10.32,3.48,17.6,130.0-140.0
130.0,2927.0,16.99,-2.07,5.63,-7.21,8.03,-6.07,17.59,130.0-140.0
130.0,2928.0,-6.11,0.4,16.04,1.9,-4.4,-9.51,17.6,130.0-140.0
130.0,2927.0,-7.9,8.74,2.76,19.56,13.39,-6.38,17.61,130.0-140.0
130.0,2518.0,11.51,-1.73,7.6,-5.12,5.82,-8.5,17.62,130.0-140.0
130.0,1469.0,-7.92,2.57,15.04,7.21,-1.26,-10.38,17.59,130.0-140.0
130.0,0.0,-4.93,8.81,-0.84,20.91,13.68,-5.48,17.58,130.0-140.0
130.0,0.0,-0.26,3.91,4.65,21.07,21.54,2.21,17.59,130.0-140.0
130.0,962.0,-9.49,5.02,10.74,10.25,-2.66,-8.97,17.57,130.0-140.0
130.0,103.0,-4.51,8.29,-2.01,23.23,22.64,-1.92,17.59,130.0-140.0
130.0,2928.0,4.77,0.53,7.97,15.33,10.57,6.3,17.57,130.0-140.0
130.0,2928.0,7.33,-6.48,16.44,-13.59,-33.99,10.45,17.6,130.0-140.0
130.0,2928.0,-2.88,6.99,-0.99,24.5,28.65,0.72,17.6,130.0-140.0
130.0,1691.0,10.28,-3.75,13.25,4.6,-9.93,7.22,17.59,130.0-140.0
130.0,944.0,-2.2,-5.41,16.61,-18.82,-32.19,9.19,17.59,130.0-140.0
130.0,0.0,-10.95,-3.64,15.42,-19.92,-3.24,3.36,17.59,130.0-140.0
130.0,1351.0,11.72,-5.38,12.92,-4.58,-20.5,9.52,17.58,130.0-140.0
130.0,2928.0,-7.34,-5.61,20.35,-22.04,-29.87,9.05,17.58,130.0-140.0
130.0,2928.0,-4.18,-1.56,7.84,-16.39,9.41,-0.23,17.6,130.0-140.0
130.0,2928.0,10.61,-1.1,7.23,-1.91,15.43,-8.16,17.61,130.0-140.0
130.0,2928.0,-11.65,-4.9,18.04,-21.9,-14.32,5.69,17.6,130.0-140.0
130.0,2928.0,8.57,-0.95,3.1,-10.7,12.17,-2.85,17.58,130.0-140.0
130.0,2928.0,5.09,-1.79,13.87,0.15,5.93,-8.76,17.59,130.0-140.0
130.0,2928.0,-9.12,6.44,9.54,12.75,-2.51,-6.52,17.6,130.0-140.0
130.0,2929.0,14.37,-1.47,3.93,-5.96,15.63,-6.21,17.62,130.0-140.0
130.0,2475.0,-4.69,-0.38,17.42,2.33,-4.19,-9.7,17.6,130.0-140.0
130.0,2928.0,-8.82,8.84,2.05,18.09,8.2,-6.09,17.61,130.0-140.0
130.0,0.0,1.01,6.25,-0.3,24.88,27.12,1.13,17.6,130.0-140.0
130.0,0.0,-9.77,2.8,15.38,6.22,-5.84,-9.38,17.61,130.0-140.0
130.0,0.0,-6.82,9.85,-2.68,22.23,19.94,-3.34,17.59,130.0-140.0
130.0,592.0,3.63,3.42,3.52,21.86,23.12,4.12,17.59,130.0-140.0
130.0,2929.0,11.02,-6.38,15.38,-7.65,-30.46,9.55,17.57,130.0-140.0
130.0,2928.0,-4.39,8.95,-3.81,23.83,26.69,-1.92,17.61,130.0-140.0
130.0,2928.0,7.58,-0.62,8.98,14.26,9.67,5.28,17.6,130.0-140.0
130.0,1886.0,5.73,-6.3,16.19,-15.04,-35.36,9.29,17.58,130.0-140.0
130.0,507.0,-14.2,-3.92,16.91,-22.05,-10.78,5.0,17.59,130.0-140.0
130.0,0.0,9.65,-3.76,12.59,3.43,-11.48,8.44,17.6,130.0-140.0
130.0,809.0,-1.67,-5.69,16.85,-18.24,-30.6,9.9,17.59,130.0-140.0
130.0,2697.0,-9.36,-3.59,13.82,-19.38,0.31,3.4,17.59,130.0-140.0
130.0,2927.0,12.87,-0.96,3.99,-5.19,14.06,-4.87,17.58,130.0-140.0
130.0,2928.0,-8.23,-5.0,18.28,-20.51,-20.76,8.03,17.61,130.0-140.0
130.0,2928.0,1.87,-2.34,7.05,-14.79,10.02,-1.27,17.61,130.0-140.0
130.0,2669.0,9.3,-2.27,11.55,-4.06,2.56,-8.85,17.6,130.0-140.0
130.0,2931.0,-11.34,5.5,11.95,9.01,0.68,-9.45,17.62,130.0-140.0
130.0,2928.0,13.27,-3.35,6.53,-11.91,9.44,-5.29,17.62,130.0-140.0
130.0,2929.0,-0.59,-1.25,16.11,-3.5,-8.54,-9.37,17.59,130.0-140.0
130.0,2928.0,-11.64,7.89,4.48,15.3,11.34,-7.31,17.61,130.0-140.0
130.0,1518.0,4.38,7.74,-4.22,27.19,30.88,-0.12,17.59,130.0-140.0
130.0,0.0,-10.5,1.24,18.13,0.28,-11.35,-8.58,17.62,130.0-140.0
130.0,0.0,-7.86,9.87,-4.49,21.78,28.69,-6.23,17.59,130.0-140.0
130.0,1367.0,7.28,4.55,1.95,25.9,25.81,1.08,17.58,130.0-140.0
130.0,0.0,5.63,-5.59,18.11,-2.23,-29.38,8.65,17.59,130.0-140.0
130.0,2928.0,-1.65,9.69,-7.41,25.61,31.68,-4.26,17.59,130.0-140.0
130.0,2928.0,7.51,0.63,9.6,19.51,13.08,3.81,17.6,130.0-140.0
130.0,2928.0,3.21,-5.13,16.44,-11.46,-38.63,10.64,17.58,130.0-140.0
130.0,1808.0,-12.58,-2.77,15.08,-19.67,-9.9,8.54,17.58,130.0-140.0
130.0,0.0,6.41,-3.06,13.65,7.94,-8.03,7.98,17.58,130.0-140.0
130.0,0.0,-0.81,-4.64,16.87,-16.74,-35.0,11.83,17.59,130.0-140.0
130.0,0.0,-12.88,-2.87,14.3,-18.7,0.91,6.16,17.59,130.0-140.0
130.0,2059.0,15.78,-1.64,1.34,-7.71,17.34,-4.3,17.58,130.0-140.0
130.0,2928.0,-7.66,-3.99,17.67,-19.84,-31.36,9.54,17.59,130.0-140.0
130.0,2928.0,-6.49,-2.24,9.73,-16.15,11.63,1.16,17.59,130.0-140.0
130.0,2928.0,18.01,-2.06,5.06,-5.53,9.21,-7.51,17.57,130.0-140.0
130.0,2928.0,-7.65,-0.44,18.71,0.96,-8.63,-9.45,17.57,130.0-140.0
130.0,2931.0,5.0,-1.91,4.62,-13.07,16.23,-1.21,17.58,130.0-140.0
130.0,2384.0,11.84,-2.66,10.72,-3.94,3.12,-7.72,17.59,130.0-140.0
130.0,2928.0,-10.54,3.56,13.94,5.84,-7.53,-7.61,17.59,130.0-140.0
130.0,1839.0,-4.65,8.2,-2.33,21.17,21.89,-2.91,17.59,130.0-140.0
130.0,0.0,3.52,-1.99,15.63,-1.03,-2.94,-7.92,17.58,130.0-140.0
130.0,0.0,-9.94,6.47,7.96,11.99,0.36,-7.06,17.57,130.0-140.0
130.0,0.0,-2.58,7.09,-1.83,23.29,26.48,-1.71,17.59,130.0-140.0
130.0,0.0,6.61,-1.6,10.61,9.7,-0.25,5.55,17.59,130.0-140.0
130.0,169.0,-7.48,7.96,2.83,17.42,8.72,-5.8,17.58,130.0-140.0
130.0,2695.0,-0.99,5.24,1.48,21.13,22.39,1.92,17.57,130.0-140.0
130.0,2928.0,9.99,-4.57,13.22,1.43,-11.85,8.54,17.57,130.0-140.0
130.0,2928.0,-5.45,-4.68,18.4,-20.82,-33.76,9.92,17.59,130.0-140.0
130.0,2395.0,4.38,1.27,6.63,17.71,17.74,4.15,17.58,130.0-140.0
130.0,0.0,7.34,-5.87,15.99,-10.55,-35.1,9.72,17.58,130.0-140.0
130.0,0.0,-12.71,-3.88,16.53,-21.05,-15.97,7.13,17.6,130.0-140.0
130.0,0.0,5.73,-2.19,5.65,-12.43,15.28,-2.04,17.59,130.0-140.0
130.0,2559.0,0.75,-5.75,16.77,-16.47,-33.59,9.4,17.57,130.0-140.0
130.0,2928.0,-13.54,-3.47,14.78,-20.1,-2.27,4.55,17.57,130.0-140.0
130.0,2928.0,15.29,-1.69,1.84,-7.45,17.69,-4.36,17.58,130.0-140.0
130.0,2928.0,2.69,-2.97,17.8,-2.32,-10.28,-8.47,17.59,130.0-140.0
130.0,2928.0,-6.68,-2.44,9.3,-15.22,13.92,2.49,17.58,130.0-140.0
130.0,1807.0,18.19,-1.73,4.6,-4.06,10.25,-5.28,17.58,130.0-140.0
130.0,2928.0,-4.63,-0.8,18.13,1.0,-8.81,-8.53,17.61,130.0-140.0
130.0,2928.0,-9.1,8.58,2.39,16.49,6.6,-4.76,17.59,130.0-140.0
130.0,656.0,11.76,-1.31,8.42,-0.71,8.38,-8.22,17.59,130.0-140.0
130.0,2511.0,-7.25,2.46,14.69,7.2,-7.45,-8.36,17.57,130.0-140.0
130.0,0.0,-6.04,8.84,-0.54,19.59,15.33,-3.4,17.6,130.0-140.0
130.0,0.0,3.38,2.25,3.77,17.02,17.86,3.63,17.58,130.0-140.0
130.0,0.0,-9.47,5.85,11.09,10.78,-7.59,-7.37,17.6,130.0-140.0
130.0,0.0,-6.29,7.65,-2.23,21.66,25.32,-0.92,17.57,130.0-140.0
130.0,2928.0,9.15,-1.41,8.36,10.25,3.9,6.16,17.57,130.0-140.0
130.0,2928.0,5.55,-6.96,17.27,-16.65,-34.58,9.51,17.56,130.0-140.0
130.0,2928.0,-2.79,4.49,2.75,20.49,25.57,1.98,17.56,130.0-140.0
130.0,822.0,9.71,-4.59,12.79,-0.83,-15.59,8.51,17.59,130.0-140.0
130.0,162.0,-4.9,-5.41,17.42,-19.98,-28.6,9.49,17.58,130.0-140.0
130.0,0.0,-4.63,-2.5,9.34,-16.24,8.29,1.92,17.56,130.0-140.0
130.0,193.0,6.66,-5.81,16.18,-10.44,-32.54,10.24,17.57,130.0-140.0
130.0,2651.0,-12.94,-3.8,15.92,-21.17,-13.19,6.85,17.57,130.0-140.0
130.0,2928.0,7.59,-2.14,5.17,-10.82,16.4,-2.72,17.59,130.0-140.0
130.0,2928.0,8.51,-2.5,12.86,-3.94,-2.97,-9.14,17.57,130.0-140.0
130.0,2928.0,-10.53,-3.58,13.61,-18.65,2.63,3.74,17.56,130.0-140.0
130.0,2731.0,16.32,-1.66,2.87,-7.41,11.95,-4.87,17.57,130.0-140.0
130.0,2928.0,-1.0,-2.79,19.16,-3.62,-9.62,-9.22,17.57,130.0-140.0
130.0,2927.0,-11.33,8.18,4.42,13.53,4.46,-6.13,17.55,130.0-140.0
