Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
40.0,1638.0,-0.08,0.02,9.82,-0.11,-0.02,0.24,27.9,40.0-50.0
40.0,1690.0,-0.06,0.02,9.8,-0.05,-0.07,0.11,27.9,40.0-50.0
40.0,774.0,-0.07,0.04,9.77,-0.13,-0.01,-0.03,27.94,40.0-50.0
40.0,1490.0,-0.06,0.0,9.76,-0.08,0.01,-0.15,27.93,40.0-50.0
40.0,1307.0,-0.07,0.01,9.8,-0.07,-0.02,-0.14,27.9,40.0-50.0
40.0,1243.0,-0.06,0.02,9.8,-0.14,-0.04,-0.03,27.92,40.0-50.0
40.0,1399.0,-0.06,0.01,9.8,-0.1,-0.02,0.06,27.92,40.0-50.0
40.0,1414.0,-0.06,-0.0,9.78,-0.1,0.04,0.17,27.92,40.0-50.0
40.0,1088.0,-0.06,-0.02,9.8,-0.13,0.01,0.2,27.91,40.0-50.0
40.0,1504.0,-0.07,-0.0,9.8,-0.13,-0.02,0.23,27.92,40.0-50.0
40.0,1131.0,-0.05,-0.01,9.83,-0.14,0.01,0.17,27.93,40.0-50.0
40.0,1201.0,-0.06,0.02,9.77,-0.08,0.01,0.05,27.91,40.0-50.0
40.0,1777.0,-0.08,0.02,9.8,-0.07,0.02,-0.06,27.93,40.0-50.0
40.0,1155.0,-0.05,-0.01,9.83,-0.1,-0.02,-0.14,27.91,40.0-50.0
40.0,1778.0,-0.1,-0.01,9.8,-0.02,-0.01,-0.09,27.9,40.0-50.0
40.0,1889.0,-0.08,0.01,9.79,-0.04,0.02,-0.05,27.93,40.0-50.0
40.0,1635.0,-0.07,0.0,9.78,-0.14,0.05,0.11,27.91,40.0-50.0
40.0,1082.0,-0.09,0.01,9.78,-0.1,-0.05,0.15,27.9,40.0-50.0
40.0,1807.0,-0.08,0.02,9.79,-0.16,-0.02,0.23,27.92,40.0-50.0
40.0,1522.0,-0.09,0.0,9.8,-0.1,0.02,0.21,27.9,40.0-50.0
40.0,1293.0,-0.06,0.0,9.81,-0.13,-0.05,0.08,27.92,40.0-50.0
40.0,1467.0,-0.07,0.04,9.79,-0.11,-0.04,0.02,27.91,40.0-50.0
40.0,1776.0,-0.06,0.03,9.8,-0.08,0.04,-0.12,27.9,40.0-50.0
40.0,1085.0,-0.07,0.04,9.79,-0.07,-0.07,-0.11,27.91,40.0-50.0
40.0,1375.0,-0.08,-0.0,9.79,-0.1,0.02,-0.11,27.9,40.0-50.0
40.0,1907.0,-0.07,0.0,9.83,0.03,0.07,-0.03,27.94,40.0-50.0
40.0,1356.0,-0.06,-0.01,9.77,-0.11,0.05,0.06,27.91,40.0-50.0
40.0,1298.0,-0.08,-0.02,9.77,-0.08,0.07,0.15,27.93,40.0-50.0
40.0,1127.0,-0.06,-0.0,9.84,-0.08,0.01,0.26,27.92,40.0-50.0
40.0,1360.0,-0.07,-0.02,9.75,-0.13,0.05,0.15,27.92,40.0-50.0
40.0,1137.0,-0.07,0.01,9.8,-0.04,0.04,0.11,27.93,40.0-50.0
40.0,1718.0,-0.08,0.01,9.8,-0.11,-0.02,0.09,27.92,40.0-50.0
40.0,1398.0,-0.06,0.02,9.77,-0.11,-0.01,-0.08,27.89,40.0-50.0
40.0,1077.0,-0.1,0.02,9.81,-0.14,0.02,-0.11,27.9,40.0-50.0
40.0,1647.0,-0.04,-0.01,9.8,-0.1,-0.04,-0.09,27.92,40.0-50.0
40.0,1434.0,-0.06,-0.01,9.81,-0.14,-0.02,-0.0,27.92,40.0-50.0
40.0,1087.0,-0.07,-0.02,9.81,-0.14,-0.01,0.12,27.92,40.0-50.0
40.0,1426.0,-0.08,-0.01,9.8,-0.08,-0.02,0.2,27.91,40.0-50.0
40.0,1360.0,-0.07,0.0,9.79,-0.13,-0.04,0.23,27.93,40.0-50.0
40.0,1621.0,-0.06,0.03,9.79,-0.08,0.02,0.15,27.91,40.0-50.0
40.0,1648.0,-0.1,0.02,9.81,-0.1,0.01,0.11,27.93,40.0-50.0
40.0,1306.0,-0.06,0.03,9.84,-0.11,0.04,-0.0,27.91,40.0-50.0
40.0,961.0,-0.1,0.02,9.83,-0.1,0.01,-0.08,27.9,40.0-50.0
40.0,1466.0,-0.08,0.01,9.8,-0.11,-0.04,-0.06,27.92,40.0-50.0
40.0,1597.0,-0.05,0.01,9.81,-0.07,-0.02,-0.08,27.91,40.0-50.0
40.0,881.0,-0.09,-0.0,9.79,-0.11,0.04,0.08,27.89,40.0-50.0
40.0,1268.0,-0.07,0.0,9.8,-0.14,0.01,0.17,27.92,40.0-50.0
40.0,1883.0,-0.06,-0.0,9.81,-0.14,0.01,0.2,27.91,40.0-50.0
40.0,1646.0,-0.04,0.02,9.8,-0.08,0.02,0.29,27.92,40.0-50.0
40.0,982.0,-0.1,0.02,9.82,-0.11,-0.05,0.18,27.92,40.0-50.0
40.0,1227.0,-0.08,0.01,9.8,-0.08,0.01,0.14,27.91,40.0-50.0
40.0,1102.0,-0.08,0.02,9.8,-0.08,0.02,-0.08,27.91,40.0-50.0
40.0,1251.0,-0.08,-0.01,9.83,-0.05,0.02,-0.14,27.94,40.0-50.0
40.0,1521.0,-0.07,-0.01,9.83,-0.14,0.05,-0.08,27.93,40.0-50.0
40.0,1377.0,-0.09,-0.01,9.79,-0.11,-0.04,-0.03,27.9,40.0-50.0
40.0,1458.0,-0.07,-0.0,9.79,-0.1,-0.01,0.03,27.92,40.0-50.0
40.0,1325.0,-0.06,0.02,9.79,-0.11,0.02,0.18,27.94,40.0-50.0
40.0,895.0,-0.06,0.01,9.79,-0.16,-0.04,0.21,27.9,40.0-50.0
40.0,2023.0,-0.06,0.03,9.81,-0.11,-0.02,0.23,27.92,40.0-50.0
40.0,1107.0,-0.07,0.03,9.78,-0.11,-0.02,0.15,27.9,40.0-50.0
40.0,1305.0,-0.06,0.0,9.82,-0.11,0.01,-0.0,27.91,40.0-50.0
40.0,1883.0,-0.08,0.03,9.8,-0.11,0.05,-0.09,27.92,40.0-50.0
40.0,1335.0,-0.08,0.02,9.81,-0.08,-0.02,-0.15,27.92,40.0-50.0
40.0,1392.0,-0.07,0.01,9.8,-0.1,0.07,-0.15,27.92,40.0-50.0
40.0,1058.0,-0.07,-0.01,9.79,-0.07,0.01,-0.0,27.92,40.0-50.0
40.0,1716.0,-0.08,0.01,9.8,-0.05,-0.04,0.05,27.92,40.0-50.0
40.0,1121.0,-0.07,-0.0,9.81,-0.05,0.01,0.18,27.92,40.0-50.0
40.0,1411.0,-0.06,0.01,9.8,-0.13,-0.04,0.2,27.93,40.0-50.0
40.0,1128.0,-0.06,0.01,9.81,-0.08,-0.04,0.2,27.94,40.0-50.0
40.0,1139.0,-0.07,0.02,9.82,-0.04,-0.01,0.12,27.93,40.0-50.0
40.0,1535.0,-0.08,-0.0,9.79,-0.1,-0.02,0.06,27.92,40.0-50.0
40.0,1507.0,-0.11,0.01,9.8,-0.08,-0.05,-0.06,27.9,40.0-50.0
40.0,1239.0,-0.07,0.02,9.78,-0.04,0.01,-0.06,27.92,40.0-50.0
40.0,1279.0,-0.07,0.05,9.8,-0.07,0.01,-0.03,27.9,40.0-50.0
40.0,1290.0,-0.07,-0.01,9.78,-0.07,-0.01,0.02,27.92,40.0-50.0
40.0,1472.0,-0.09,0.02,9.85,-0.11,-0.05,0.15,27.91,40.0-50.0
40.0,1491.0,-0.07,0.0,9.81,-0.13,-0.07,0.2,27.92,40.0-50.0
40.0,1327.0,-0.07,0.03,9.82,-0.11,-0.02,0.21,27.92,40.0-50.0
40.0,1126.0,-0.08,0.01,9.77,-0.16,-0.01,0.12,27.92,40.0-50.0
