Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
40.0,884.0,-0.4,0.03,9.8,0.01,0.04,0.09,27.79,40.0-50.0
40.0,1353.0,-0.4,0.03,9.76,-0.07,0.01,0.05,27.79,40.0-50.0
40.0,1231.0,-0.39,0.01,9.76,-0.11,-0.05,0.09,27.81,40.0-50.0
40.0,1023.0,-0.38,0.03,9.75,-0.1,0.04,0.06,27.81,40.0-50.0
40.0,1158.0,-0.39,0.02,9.74,-0.08,0.05,0.06,27.8,40.0-50.0
40.0,1115.0,-0.39,0.06,9.78,-0.1,-0.07,0.02,27.76,40.0-50.0
40.0,1691.0,-0.4,0.04,9.79,-0.07,-0.05,0.06,27.78,40.0-50.0
40.0,1725.0,-0.39,0.02,9.71,-0.07,0.01,0.03,27.79,40.0-50.0
40.0,1367.0,-0.38,0.01,9.75,-0.11,-0.01,0.05,27.78,40.0-50.0
40.0,1625.0,-0.4,0.03,9.77,-0.11,0.04,0.08,27.79,40.0-50.0
40.0,1248.0,-0.39,0.03,9.8,-0.14,-0.02,0.09,27.79,40.0-50.0
40.0,615.0,-0.4,0.02,9.77,-0.11,-0.04,0.05,27.78,40.0-50.0
40.0,982.0,-0.39,0.03,9.75,-0.07,-0.1,0.09,27.77,40.0-50.0
40.0,1385.0,-0.37,0.05,9.8,-0.08,0.02,0.11,27.79,40.0-50.0
40.0,1050.0,-0.4,0.06,9.76,-0.11,0.04,0.02,27.79,40.0-50.0
40.0,1530.0,-0.39,0.0,9.79,-0.16,-0.01,0.03,27.77,40.0-50.0
40.0,1825.0,-0.4,0.04,9.76,-0.13,0.02,0.09,27.79,40.0-50.0
40.0,694.0,-0.4,0.04,9.76,-0.11,0.07,0.09,27.79,40.0-50.0
40.0,1007.0,-0.41,0.03,9.78,-0.14,0.08,0.08,27.79,40.0-50.0
40.0,1207.0,-0.42,0.07,9.76,-0.1,0.04,0.05,27.81,40.0-50.0
40.0,1120.0,-0.4,0.04,9.74,-0.11,0.02,0.17,27.78,40.0-50.0
40.0,1630.0,-0.39,0.01,9.77,-0.1,-0.02,0.06,27.79,40.0-50.0
40.0,903.0,-0.39,0.04,9.76,-0.14,-0.04,0.05,27.79,40.0-50.0
40.0,997.0,-0.39,0.03,9.76,-0.16,-0.04,0.09,27.79,40.0-50.0
