Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
40.0,1648.0,0.02,0.0,9.83,0.01,0.01,-0.05,18.24,40.0-50.0
40.0,1904.0,0.02,0.02,9.83,-0.07,0.12,-0.01,18.22,40.0-50.0
40.0,1050.0,0.01,-0.0,9.85,-0.1,-0.06,0.01,18.22,40.0-50.0
40.0,860.0,0.03,0.01,9.8,-0.01,-0.02,0.02,18.22,40.0-50.0
40.0,1294.0,0.02,-0.01,9.85,0.01,0.06,-0.01,18.22,40.0-50.0
40.0,1614.0,0.01,-0.01,9.82,0.02,-0.05,-0.04,18.22,40.0-50.0
40.0,1589.0,0.0,0.01,9.88,-0.02,0.06,-0.01,18.22,40.0-50.0
40.0,1568.0,0.02,-0.0,9.84,0.02,0.01,-0.05,18.22,40.0-50.0
40.0,1355.0,0.01,-0.0,9.82,0.02,-0.06,-0.02,18.22,40.0-50.0
40.0,1255.0,0.01,-0.02,9.81,0.01,0.01,-0.07,18.26,40.0-50.0
40.0,1430.0,0.02,-0.01,9.83,-0.01,-0.08,-0.01,18.22,40.0-50.0
40.0,1584.0,0.0,-0.01,9.82,-0.04,0.03,-0.02,18.24,40.0-50.0
40.0,1872.0,-0.0,-0.02,9.85,-0.07,0.01,-0.01,18.22,40.0-50.0
40.0,691.0,0.01,0.01,9.79,0.01,-0.02,-0.02,18.24,40.0-50.0
40.0,535.0,0.02,-0.02,9.83,-0.05,0.06,-0.01,18.22,40.0-50.0
40.0,1426.0,0.01,-0.0,9.84,0.01,0.11,0.01,18.22,40.0-50.0
40.0,1497.0,-0.02,0.01,9.79,-0.04,0.05,0.01,18.25,40.0-50.0
40.0,1584.0,0.0,0.02,9.8,-0.01,0.05,-0.08,18.25,40.0-50.0
40.0,1155.0,-0.02,-0.02,9.8,-0.04,-0.03,0.05,18.2,40.0-50.0
40.0,1729.0,0.01,0.0,9.82,-0.08,-0.03,-0.02,18.22,40.0-50.0
40.0,1424.0,0.01,-0.04,9.81,0.01,-0.02,-0.02,18.22,40.0-50.0
40.0,1009.0,0.0,-0.04,9.82,-0.01,-0.03,-0.05,18.22,40.0-50.0
40.0,784.0,0.0,0.01,9.83,-0.02,0.03,-0.07,18.22,40.0-50.0
40.0,1847.0,0.01,0.01,9.84,-0.04,-0.08,-0.04,18.22,40.0-50.0
40.0,1554.0,-0.01,0.01,9.81,-0.02,0.03,0.01,18.22,40.0-50.0
40.0,1063.0,0.0,-0.02,9.83,-0.05,-0.11,0.02,18.24,40.0-50.0
40.0,958.0,0.02,-0.0,9.88,0.04,0.01,-0.05,18.22,40.0-50.0
40.0,1813.0,0.02,-0.0,9.81,-0.07,0.03,-0.02,18.22,40.0-50.0
40.0,1319.0,0.01,-0.0,9.82,0.01,0.01,-0.14,18.21,40.0-50.0
40.0,909.0,0.01,-0.01,9.81,-0.04,0.03,-0.05,18.23,40.0-50.0
