Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
40.0,1111.0,0.14,-0.0,9.83,-0.02,-0.04,-0.05,28.09,40.0-50.0
40.0,1216.0,0.15,-0.01,9.86,0.03,-0.05,-0.01,28.08,40.0-50.0
40.0,1297.0,0.15,-0.05,9.86,0.04,-0.01,-0.08,28.08,40.0-50.0
40.0,1418.0,0.15,0.01,9.8,0.04,-0.04,-0.02,28.08,40.0-50.0
40.0,1111.0,0.18,0.01,9.84,-0.01,0.08,-0.02,28.09,40.0-50.0
40.0,814.0,0.16,-0.02,9.85,0.03,0.01,-0.04,28.09,40.0-50.0
40.0,1872.0,0.15,-0.0,9.87,-0.01,-0.02,-0.01,28.09,40.0-50.0
40.0,1183.0,0.14,0.01,9.85,-0.05,0.01,0.08,28.12,40.0-50.0
40.0,602.0,0.17,0.0,9.83,0.01,0.01,0.02,28.09,40.0-50.0
40.0,1594.0,0.16,-0.02,9.85,0.01,0.02,-0.1,28.09,40.0-50.0
40.0,1559.0,0.14,0.01,9.85,0.09,-0.04,-0.05,28.05,40.0-50.0
40.0,425.0,0.16,-0.0,9.8,0.03,0.02,-0.07,28.08,40.0-50.0
40.0,193.0,0.12,-0.01,9.85,-0.02,0.05,-0.01,28.07,40.0-50.0
40.0,1119.0,0.15,0.01,9.85,-0.05,0.01,-0.04,28.09,40.0-50.0
40.0,975.0,0.17,-0.02,9.83,-0.01,-0.01,-0.02,28.08,40.0-50.0
40.0,1602.0,0.17,-0.02,9.85,-0.01,0.02,-0.01,28.08,40.0-50.0
40.0,1641.0,0.13,0.0,9.9,0.01,0.04,-0.04,28.07,40.0-50.0
40.0,990.0,0.13,-0.01,9.86,0.01,0.02,-0.04,28.07,40.0-50.0
40.0,1638.0,0.13,0.0,9.84,0.01,-0.02,0.04,28.08,40.0-50.0
40.0,1826.0,0.15,-0.0,9.9,-0.02,0.02,-0.04,28.08,40.0-50.0
40.0,1510.0,0.12,-0.01,9.86,-0.02,-0.02,-0.05,28.09,40.0-50.0
40.0,1404.0,0.16,0.0,9.86,0.03,-0.02,-0.02,28.09,40.0-50.0
40.0,1670.0,0.15,0.01,9.87,0.04,-0.01,-0.04,28.1,40.0-50.0
40.0,1520.0,0.14,0.0,9.84,-0.01,-0.05,-0.02,28.08,40.0-50.0
40.0,576.0,0.17,-0.02,9.87,0.03,-0.04,-0.01,28.08,40.0-50.0
40.0,1127.0,0.13,0.0,9.88,-0.02,-0.01,0.01,28.09,40.0-50.0
40.0,1361.0,0.15,0.0,9.84,-0.02,-0.07,-0.07,28.09,40.0-50.0
40.0,486.0,0.17,-0.01,9.85,-0.01,-0.04,-0.02,28.08,40.0-50.0
40.0,1914.0,0.16,-0.01,9.87,-0.01,-0.04,-0.04,28.07,40.0-50.0
40.0,1395.0,0.15,0.0,9.83,-0.02,-0.07,-0.02,28.09,40.0-50.0
40.0,2035.0,0.15,-0.01,9.85,-0.05,-0.05,-0.07,28.09,40.0-50.0
40.0,1311.0,0.16,-0.01,9.86,-0.05,-0.04,-0.05,28.07,40.0-50.0
40.0,1583.0,0.17,-0.0,9.87,-0.02,-0.04,-0.05,28.06,40.0-50.0
40.0,1764.0,0.17,-0.02,9.86,0.06,-0.07,-0.04,28.08,40.0-50.0
40.0,287.0,0.16,0.01,9.84,0.01,0.04,0.04,28.05,40.0-50.0
40.0,1502.0,0.15,-0.0,9.89,-0.02,0.02,-0.04,28.08,40.0-50.0
40.0,1417.0,0.13,0.01,9.87,0.04,0.01,0.01,28.07,40.0-50.0
40.0,846.0,0.17,0.0,9.89,0.04,0.05,-0.04,28.09,40.0-50.0
40.0,859.0,0.18,0.01,9.85,-0.02,0.02,-0.01,28.08,40.0-50.0
40.0,1963.0,0.15,0.0,9.87,0.03,-0.02,-0.05,28.1,40.0-50.0
40.0,2032.0,0.16,-0.01,9.86,0.01,0.02,-0.07,28.08,40.0-50.0
40.0,2188.0,0.16,-0.03,9.89,-0.02,0.02,-0.08,28.1,40.0-50.0
40.0,1858.0,0.18,-0.0,9.91,-0.04,-0.07,-0.02,28.09,40.0-50.0
40.0,1681.0,0.15,-0.02,9.86,0.03,-0.05,0.01,28.07,40.0-50.0
40.0,1381.0,0.15,-0.0,9.85,-0.01,0.01,0.02,28.05,40.0-50.0
40.0,1799.0,0.16,-0.04,9.86,-0.01,-0.02,0.05,28.07,40.0-50.0
40.0,1558.0,0.14,0.0,9.86,-0.01,-0.01,-0.05,28.06,40.0-50.0
40.0,2385.0,0.16,-0.01,9.85,0.03,-0.1,-0.04,28.08,40.0-50.0
40.0,1442.0,0.16,0.0,9.85,0.01,-0.04,-0.1,28.07,40.0-50.0
40.0,1535.0,0.14,0.02,9.86,0.01,0.05,-0.1,28.08,40.0-50.0
40.0,1961.0,0.14,-0.0,9.9,0.04,-0.05,-0.13,28.08,40.0-50.0
40.0,961.0,0.15,-0.02,9.86,-0.02,-0.01,-0.05,28.09,40.0-50.0
40.0,2118.0,0.16,0.0,9.86,-0.01,-0.04,-0.05,28.11,40.0-50.0
40.0,1796.0,0.16,0.02,9.87,-0.01,-0.02,-0.01,28.07,40.0-50.0
40.0,1776.0,0.17,0.01,9.83,-0.01,0.02,0.02,28.07,40.0-50.0
40.0,832.0,0.16,0.0,9.87,0.06,-0.02,-0.01,28.07,40.0-50.0
40.0,1066.0,0.15,-0.03,9.89,0.03,0.01,0.02,28.08,40.0-50.0
40.0,975.0,0.13,-0.01,9.87,0.01,0.04,0.01,28.09,40.0-50.0
40.0,1838.0,0.16,-0.01,9.83,0.03,-0.04,-0.02,28.07,40.0-50.0
40.0,994.0,0.15,0.0,9.78,-0.04,-0.07,0.02,28.1,40.0-50.0
40.0,1485.0,0.15,-0.01,9.86,-0.02,-0.01,0.01,28.08,40.0-50.0
40.0,1342.0,0.17,0.01,9.85,0.03,0.08,-0.01,28.07,40.0-50.0
40.0,1179.0,0.18,-0.01,9.86,0.01,0.02,0.02,28.1,40.0-50.0
40.0,1395.0,0.13,0.01,9.87,-0.07,0.01,0.04,28.09,40.0-50.0
40.0,1411.0,0.18,0.01,9.85,-0.04,0.04,-0.04,28.09,40.0-50.0
40.0,1675.0,0.14,0.0,9.84,-0.05,-0.1,-0.01,28.1,40.0-50.0
40.0,1945.0,0.14,-0.01,9.83,-0.02,-0.02,0.02,28.09,40.0-50.0
40.0,1008.0,0.14,0.01,9.87,-0.04,-0.01,-0.02,28.07,40.0-50.0
40.0,1065.0,0.16,0.0,9.86,-0.04,0.02,-0.04,28.11,40.0-50.0
40.0,1187.0,0.15,0.01,9.86,0.06,-0.02,-0.04,28.07,40.0-50.0
40.0,2093.0,0.16,-0.05,9.87,0.03,-0.01,-0.04,28.08,40.0-50.0
40.0,1798.0,0.16,-0.03,9.87,-0.02,-0.05,-0.07,28.08,40.0-50.0
