Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
40.0,964.0,-0.02,-0.02,9.8,-0.1,0.04,-0.08,17.64,40.0-50.0
40.0,1491.0,-0.0,-0.0,9.82,-0.01,0.07,-0.04,17.67,40.0-50.0
40.0,1374.0,-0.01,0.0,9.81,-0.05,0.01,-0.1,17.68,40.0-50.0
40.0,1230.0,-0.04,-0.01,9.82,-0.04,0.02,-0.11,17.67,40.0-50.0
40.0,1701.0,-0.03,-0.03,9.81,-0.02,-0.07,-0.01,17.66,40.0-50.0
40.0,1247.0,-0.03,-0.02,9.8,-0.07,0.07,-0.05,17.68,40.0-50.0
40.0,1217.0,-0.03,-0.0,9.79,-0.07,0.07,-0.02,17.68,40.0-50.0
40.0,1877.0,-0.0,0.01,9.81,-0.04,-0.01,-0.05,17.68,40.0-50.0
40.0,1535.0,-0.01,-0.03,9.84,-0.01,0.01,-0.13,17.68,40.0-50.0
40.0,1074.0,-0.01,-0.01,9.84,-0.08,0.02,-0.08,17.69,40.0-50.0
40.0,1887.0,0.02,-0.02,9.83,-0.07,-0.07,-0.05,17.67,40.0-50.0
40.0,1421.0,-0.02,0.0,9.84,-0.07,0.02,-0.05,17.67,40.0-50.0
40.0,1039.0,-0.03,0.0,9.77,-0.05,0.08,-0.02,17.67,40.0-50.0
40.0,1590.0,-0.01,0.02,9.85,-0.01,0.11,-0.07,17.67,40.0-50.0
40.0,1197.0,-0.04,0.0,9.8,-0.07,0.05,-0.01,17.68,40.0-50.0
40.0,1360.0,-0.01,-0.0,9.82,-0.08,0.01,-0.01,17.68,40.0-50.0
40.0,1796.0,-0.01,-0.01,9.82,0.04,0.07,-0.01,17.69,40.0-50.0
40.0,1216.0,-0.01,-0.03,9.84,-0.02,-0.04,-0.02,17.66,40.0-50.0
40.0,1476.0,-0.01,0.0,9.8,-0.02,0.01,-0.07,17.66,40.0-50.0
40.0,1884.0,-0.02,-0.01,9.8,-0.01,0.02,-0.1,17.67,40.0-50.0
40.0,1055.0,-0.01,-0.0,9.83,0.01,-0.04,0.01,17.67,40.0-50.0
40.0,1220.0,-0.03,0.01,9.81,-0.05,-0.07,-0.04,17.67,40.0-50.0
40.0,2085.0,0.01,0.0,9.82,-0.02,0.01,0.05,17.67,40.0-50.0
40.0,1356.0,0.0,0.0,9.81,-0.01,-0.08,-0.02,17.69,40.0-50.0
40.0,1158.0,-0.03,-0.03,9.79,-0.02,-0.02,0.04,17.68,40.0-50.0
40.0,1616.0,-0.01,-0.01,9.85,-0.02,0.07,-0.11,17.69,40.0-50.0
40.0,1670.0,-0.01,0.0,9.81,-0.04,0.02,-0.02,17.68,40.0-50.0
40.0,1679.0,-0.01,0.02,9.8,-0.07,0.04,-0.1,17.69,40.0-50.0
40.0,1533.0,0.0,-0.0,9.81,-0.07,0.08,-0.1,17.67,40.0-50.0
40.0,1187.0,0.02,0.03,9.86,-0.05,0.1,-0.05,17.69,40.0-50.0
40.0,1211.0,-0.01,-0.01,9.8,-0.01,0.05,-0.01,17.66,40.0-50.0
40.0,1665.0,0.01,-0.01,9.79,-0.04,-0.01,-0.07,17.66,40.0-50.0
40.0,1057.0,-0.01,0.01,9.81,-0.04,0.05,-0.02,17.67,40.0-50.0
40.0,1311.0,-0.03,-0.0,9.82,-0.02,-0.04,-0.05,17.67,40.0-50.0
40.0,1532.0,-0.01,0.01,9.82,-0.1,0.05,0.02,17.66,40.0-50.0
40.0,1535.0,-0.01,0.02,9.81,-0.1,0.1,0.01,17.64,40.0-50.0
40.0,2379.0,-0.02,0.02,9.83,0.01,-0.01,-0.02,17.68,40.0-50.0
40.0,1287.0,-0.03,0.0,9.85,-0.1,-0.04,-0.02,17.67,40.0-50.0
40.0,1758.0,-0.03,-0.01,9.81,0.06,0.02,-0.02,17.67,40.0-50.0
40.0,1711.0,-0.02,-0.01,9.81,-0.04,0.02,-0.11,17.68,40.0-50.0
40.0,1870.0,-0.01,-0.0,9.8,-0.01,-0.02,-0.05,17.67,40.0-50.0
40.0,1680.0,-0.04,-0.0,9.87,-0.01,-0.02,-0.01,17.66,40.0-50.0
40.0,1377.0,0.01,-0.01,9.82,-0.04,-0.08,-0.05,17.67,40.0-50.0
