Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
50.0,1529.0,-0.4,0.0,9.74,-0.05,0.02,-0.29,27.93,50.0-60.0
50.0,2246.0,-0.39,0.01,9.77,-0.05,-0.02,-0.26,27.89,50.0-60.0
50.0,1707.0,-0.36,0.03,9.79,-0.05,0.05,-0.03,27.93,50.0-60.0
50.0,1599.0,-0.37,0.0,9.78,-0.17,0.02,0.18,27.9,50.0-60.0
50.0,1818.0,-0.36,0.06,9.76,-0.11,0.01,0.4,27.91,50.0-60.0
50.0,1647.0,-0.4,0.06,9.72,-0.08,0.02,0.47,27.91,50.0-60.0
50.0,1907.0,-0.37,0.06,9.81,-0.16,0.1,0.34,27.92,50.0-60.0
50.0,1022.0,-0.38,0.05,9.77,-0.19,0.04,0.18,27.91,50.0-60.0
50.0,1477.0,-0.41,0.03,9.8,-0.13,0.05,-0.03,27.9,50.0-60.0
50.0,960.0,-0.37,0.03,9.79,-0.08,-0.07,-0.23,27.9,50.0-60.0
50.0,1085.0,-0.37,0.02,9.74,-0.04,-0.04,-0.34,27.89,50.0-60.0
50.0,2106.0,-0.36,0.02,9.71,-0.07,-0.05,-0.18,27.9,50.0-60.0
50.0,937.0,-0.38,0.01,9.77,-0.08,-0.04,0.02,27.9,50.0-60.0
50.0,1439.0,-0.4,0.03,9.76,-0.1,0.05,0.2,27.89,50.0-60.0
50.0,1535.0,-0.41,0.04,9.76,-0.13,0.02,0.37,27.89,50.0-60.0
50.0,1343.0,-0.38,0.05,9.76,-0.22,0.01,0.47,27.92,50.0-60.0
50.0,1232.0,-0.35,0.03,9.75,-0.14,-0.01,0.26,27.9,50.0-60.0
50.0,1189.0,-0.38,0.05,9.77,-0.13,-0.01,0.15,27.92,50.0-60.0
50.0,1152.0,-0.37,0.02,9.75,-0.13,0.01,-0.12,27.91,50.0-60.0
50.0,2384.0,-0.37,0.04,9.75,-0.1,0.04,-0.31,27.91,50.0-60.0
50.0,1935.0,-0.41,-0.0,9.73,-0.11,0.01,-0.31,27.92,50.0-60.0
50.0,1821.0,-0.38,0.04,9.74,-0.05,0.01,-0.18,27.9,50.0-60.0
50.0,1582.0,-0.39,0.02,9.77,-0.08,-0.04,0.05,27.9,50.0-60.0
50.0,888.0,-0.36,0.01,9.72,-0.08,-0.04,0.29,27.89,50.0-60.0
50.0,1127.0,-0.38,0.01,9.76,-0.11,-0.04,0.37,27.92,50.0-60.0
50.0,1923.0,-0.38,0.04,9.77,-0.11,0.04,0.41,27.91,50.0-60.0
50.0,734.0,-0.37,0.04,9.77,-0.16,-0.04,0.21,27.9,50.0-60.0
50.0,1431.0,-0.37,0.04,9.77,-0.1,-0.02,0.05,27.88,50.0-60.0
50.0,2141.0,-0.37,0.05,9.77,-0.05,0.04,-0.18,27.9,50.0-60.0
50.0,1114.0,-0.38,0.01,9.76,-0.11,0.02,-0.31,27.9,50.0-60.0
50.0,933.0,-0.39,0.03,9.77,-0.07,-0.04,-0.24,27.9,50.0-60.0
50.0,1862.0,-0.37,0.03,9.74,-0.08,-0.01,-0.08,27.9,50.0-60.0
50.0,1189.0,-0.38,0.01,9.77,-0.14,-0.05,0.12,27.9,50.0-60.0
50.0,1498.0,-0.38,0.03,9.75,-0.17,0.01,0.32,27.92,50.0-60.0
50.0,1307.0,-0.4,0.06,9.77,-0.16,-0.02,0.49,27.92,50.0-60.0
50.0,496.0,-0.37,0.07,9.79,-0.04,-0.04,0.32,27.9,50.0-60.0
50.0,1728.0,-0.34,0.04,9.74,-0.1,-0.02,0.14,27.91,50.0-60.0
50.0,1861.0,-0.37,0.05,9.78,-0.14,-0.04,0.02,27.92,50.0-60.0
50.0,1394.0,-0.39,0.03,9.74,-0.01,-0.04,-0.2,27.91,50.0-60.0
50.0,2162.0,-0.39,0.02,9.75,-0.08,0.01,-0.21,27.92,50.0-60.0
50.0,1250.0,-0.4,0.02,9.77,-0.07,0.01,-0.23,27.89,50.0-60.0
50.0,1578.0,-0.38,0.01,9.77,-0.11,0.02,-0.08,27.91,50.0-60.0
50.0,1742.0,-0.4,0.03,9.74,-0.16,0.04,0.17,27.91,50.0-60.0
50.0,1596.0,-0.39,0.02,9.77,-0.11,0.04,0.35,27.91,50.0-60.0
50.0,950.0,-0.4,-0.01,9.77,-0.16,0.01,0.37,27.92,50.0-60.0
50.0,1707.0,-0.35,0.03,9.82,-0.2,-0.1,0.38,27.91,50.0-60.0
50.0,1415.0,-0.29,0.23,9.8,0.25,-0.02,0.02,27.91,50.0-60.0
50.0,1891.0,-0.4,0.02,9.77,-0.02,0.08,-0.46,27.9,50.0-60.0
50.0,1174.0,-0.46,-0.17,9.81,-0.48,-0.01,-0.82,27.91,50.0-60.0
50.0,1403.0,-0.31,0.16,9.74,0.36,-0.1,-0.11,27.92,50.0-60.0
50.0,1365.0,-0.4,0.04,9.77,-0.07,-0.07,0.52,27.91,50.0-60.0
50.0,1371.0,-0.47,-0.21,9.8,-0.81,-0.11,0.92,27.88,50.0-60.0
50.0,1931.0,-0.37,0.04,9.67,-0.39,0.28,1.4,27.89,50.0-60.0
50.0,1353.0,-0.34,0.01,9.85,-0.26,-0.3,1.28,27.89,50.0-60.0
50.0,1729.0,-0.43,-0.13,9.71,-0.71,-0.01,0.31,27.91,50.0-60.0
50.0,1406.0,-0.3,0.2,9.7,0.12,0.21,-0.4,27.9,50.0-60.0
50.0,1969.0,-0.25,0.33,9.72,0.82,0.07,-0.67,27.91,50.0-60.0
50.0,1308.0,-0.48,-0.12,9.74,-0.55,0.08,-1.33,27.89,50.0-60.0
50.0,1168.0,-0.31,-0.11,9.8,0.01,-0.07,-0.89,27.9,50.0-60.0
50.0,678.0,-0.37,0.03,9.68,0.24,0.36,-0.03,27.92,50.0-60.0
50.0,1239.0,-0.49,-0.18,9.72,-0.54,-0.04,0.46,27.92,50.0-60.0
50.0,1297.0,-0.3,0.14,9.69,0.13,0.24,1.14,27.92,50.0-60.0
50.0,1241.0,-0.4,-0.05,9.85,-0.26,0.07,0.92,27.92,50.0-60.0
50.0,1463.0,-0.44,-0.25,9.65,-0.65,0.43,0.29,27.94,50.0-60.0
50.0,1065.0,-0.56,0.02,9.68,-0.3,0.14,-0.17,27.92,50.0-60.0
50.0,1119.0,-0.36,0.02,9.9,-0.19,-0.27,-0.37,27.92,50.0-60.0
50.0,1099.0,-0.41,-0.14,9.8,-0.63,0.11,-1.13,27.92,50.0-60.0
50.0,178.0,-0.48,-0.2,9.84,-0.6,-0.25,-0.96,27.9,50.0-60.0
50.0,1715.0,-0.42,0.12,9.65,0.33,0.01,-0.18,27.93,50.0-60.0
50.0,1377.0,-0.46,-0.15,9.82,-0.63,0.13,-0.08,27.92,50.0-60.0
50.0,1311.0,-0.42,0.11,9.63,-0.13,0.42,0.9,27.92,50.0-60.0
50.0,1456.0,-0.32,0.12,9.69,0.21,0.11,0.98,27.91,50.0-60.0
50.0,1599.0,-0.29,-0.04,9.86,-0.08,-0.19,0.47,27.91,50.0-60.0
50.0,1337.0,-0.4,0.14,9.63,0.27,0.3,0.18,27.91,50.0-60.0
50.0,883.0,-0.38,0.18,9.71,0.47,0.11,-0.23,27.92,50.0-60.0
50.0,1648.0,-0.37,0.05,9.9,-0.05,-0.13,-0.87,27.91,50.0-60.0
