Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
50.0,1969.0,-0.12,-0.04,9.78,0.15,-0.0,0.11,17.7,50.0-60.0
50.0,1307.0,-0.11,-0.02,9.82,0.21,0.01,-0.07,17.68,50.0-60.0
50.0,896.0,-0.1,0.02,9.79,0.25,-0.02,-0.21,17.65,50.0-60.0
50.0,895.0,-0.13,0.02,9.82,0.21,0.05,-0.28,17.66,50.0-60.0
50.0,835.0,-0.1,-0.0,9.8,0.24,-0.02,-0.13,17.65,50.0-60.0
50.0,678.0,-0.1,-0.02,9.79,0.15,-0.03,0.02,17.69,50.0-60.0
50.0,843.0,-0.11,-0.07,9.81,0.07,0.01,0.1,17.68,50.0-60.0
50.0,865.0,-0.11,-0.05,9.77,0.06,-0.0,0.16,17.66,50.0-60.0
50.0,1162.0,-0.09,-0.03,9.81,0.16,-0.06,0.13,17.66,50.0-60.0
50.0,1491.0,-0.1,-0.03,9.81,0.12,-0.02,0.04,17.67,50.0-60.0
50.0,1535.0,-0.13,-0.02,9.79,0.27,0.01,-0.14,17.69,50.0-60.0
50.0,1979.0,-0.13,-0.03,9.82,0.21,-0.03,-0.18,17.68,50.0-60.0
50.0,1922.0,-0.12,-0.01,9.83,0.18,-0.02,-0.11,17.67,50.0-60.0
50.0,2185.0,-0.12,0.01,9.82,0.12,-0.03,-0.07,17.68,50.0-60.0
50.0,1990.0,-0.12,-0.03,9.78,0.15,0.03,-0.01,17.69,50.0-60.0
50.0,2032.0,-0.13,-0.01,9.78,0.07,-0.02,0.13,17.67,50.0-60.0
50.0,1621.0,-0.11,-0.03,9.84,0.1,-0.02,0.05,17.64,50.0-60.0
50.0,1200.0,-0.1,-0.01,9.79,0.13,-0.03,0.04,17.69,50.0-60.0
50.0,1462.0,-0.17,-0.02,9.8,0.09,0.03,-0.11,17.69,50.0-60.0
50.0,1450.0,-0.11,-0.02,9.78,0.15,-0.03,-0.04,17.67,50.0-60.0
50.0,1438.0,-0.11,-0.0,9.81,0.1,0.11,-0.01,17.67,50.0-60.0
50.0,1435.0,-0.09,-0.01,9.79,0.16,-0.0,0.13,17.68,50.0-60.0
50.0,1369.0,-0.1,-0.01,9.83,0.21,-0.0,0.01,17.66,50.0-60.0
50.0,1239.0,-0.12,-0.02,9.79,0.12,-0.0,-0.07,17.68,50.0-60.0
50.0,1459.0,-0.1,-0.02,9.78,0.16,-0.0,-0.16,17.7,50.0-60.0
50.0,1404.0,-0.12,-0.02,9.77,0.16,-0.11,-0.13,17.66,50.0-60.0
50.0,1475.0,-0.13,0.02,9.82,0.09,-0.02,-0.07,17.65,50.0-60.0
50.0,1515.0,-0.12,-0.03,9.77,0.12,-0.05,0.01,17.68,50.0-60.0
50.0,1309.0,-0.11,-0.03,9.77,0.06,0.01,0.1,17.68,50.0-60.0
50.0,1357.0,-0.12,-0.02,9.79,0.1,-0.0,0.05,17.68,50.0-60.0
50.0,1454.0,-0.11,-0.01,9.82,0.16,0.03,0.02,17.68,50.0-60.0
50.0,1527.0,-0.12,-0.0,9.83,0.21,-0.0,-0.07,17.7,50.0-60.0
50.0,1483.0,-0.13,-0.02,9.81,0.13,-0.02,-0.04,17.67,50.0-60.0
50.0,1211.0,-0.14,-0.0,9.8,0.1,0.09,-0.02,17.66,50.0-60.0
50.0,1342.0,-0.1,-0.03,9.81,0.12,-0.02,-0.05,17.66,50.0-60.0
50.0,1632.0,-0.13,-0.03,9.81,0.09,0.01,-0.07,17.67,50.0-60.0
50.0,1630.0,-0.12,-0.02,9.8,0.13,0.05,-0.08,17.67,50.0-60.0
50.0,1565.0,-0.18,0.04,9.77,0.18,0.06,-0.08,17.64,50.0-60.0
50.0,1303.0,-0.19,0.07,9.86,0.09,-0.05,0.24,17.67,50.0-60.0
50.0,1899.0,-0.1,-0.02,9.8,0.15,-0.46,0.8,17.68,50.0-60.0
50.0,1665.0,-0.04,0.05,9.71,0.12,0.32,0.74,17.65,50.0-60.0
50.0,1479.0,-0.15,-0.02,9.89,-0.04,-0.15,0.57,17.67,50.0-60.0
50.0,1104.0,-0.09,0.05,9.87,0.47,-0.26,-0.22,17.69,50.0-60.0
50.0,985.0,-0.13,-0.08,9.74,0.5,0.14,-1.41,17.68,50.0-60.0
50.0,999.0,-0.16,0.19,9.77,0.67,0.26,-1.9,17.67,50.0-60.0
50.0,1763.0,-0.16,0.12,9.95,0.54,-0.17,-1.93,17.68,50.0-60.0
50.0,1651.0,-0.23,-0.02,9.76,0.18,0.01,-0.39,17.68,50.0-60.0
50.0,1653.0,-0.07,-0.19,9.61,-0.46,-0.2,1.93,17.66,50.0-60.0
50.0,1856.0,-0.12,0.15,9.87,-0.4,-0.14,3.11,17.67,50.0-60.0
50.0,1074.0,-0.22,-0.0,9.95,-0.34,-0.5,3.27,17.68,50.0-60.0
50.0,1139.0,0.12,-0.34,9.86,0.04,-0.4,0.45,17.69,50.0-60.0
50.0,1315.0,-0.09,-0.34,9.53,0.65,1.02,-2.71,17.68,50.0-60.0
50.0,1490.0,-0.13,0.3,10.16,1.31,-0.93,-3.4,17.67,50.0-60.0
50.0,1065.0,-0.15,-0.06,9.84,1.11,-0.49,-3.88,17.68,50.0-60.0
50.0,910.0,-0.14,-0.13,9.56,0.36,0.52,-2.37,17.69,50.0-60.0
50.0,1879.0,-0.12,-0.07,9.72,-0.49,0.64,0.43,17.69,50.0-60.0
50.0,1396.0,-0.26,0.07,9.81,-0.71,-0.29,2.39,17.66,50.0-60.0
50.0,1062.0,-0.1,-0.15,9.82,-0.83,-0.34,3.65,17.68,50.0-60.0
50.0,1377.0,0.08,-0.45,9.85,-0.75,-0.35,2.91,17.67,50.0-60.0
50.0,1399.0,-0.12,-0.11,9.59,0.35,0.69,0.79,17.69,50.0-60.0
