Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
50.0,2395.0,-0.02,0.03,9.78,-0.17,-0.11,0.25,27.29,50.0-60.0
50.0,990.0,-0.05,-0.0,9.75,-0.27,-0.07,0.16,27.29,50.0-60.0
50.0,2223.0,0.01,0.07,9.82,-0.26,-0.07,-0.02,27.29,50.0-60.0
50.0,2195.0,-0.03,0.06,9.82,-0.21,-0.22,-0.16,27.29,50.0-60.0
50.0,1189.0,-0.05,0.02,9.76,-0.18,-0.11,-0.27,27.29,50.0-60.0
50.0,1903.0,-0.03,-0.01,9.75,-0.29,-0.04,-0.16,27.3,50.0-60.0
50.0,1516.0,-0.03,0.02,9.8,-0.24,-0.05,-0.05,27.29,50.0-60.0
50.0,1216.0,0.0,-0.01,9.78,-0.27,-0.21,0.07,27.28,50.0-60.0
50.0,1191.0,0.01,-0.02,9.76,-0.32,-0.08,0.25,27.31,50.0-60.0
50.0,1189.0,-0.02,0.01,9.78,-0.33,0.01,0.25,27.28,50.0-60.0
50.0,1879.0,-0.03,0.02,9.8,-0.26,-0.13,0.21,27.27,50.0-60.0
50.0,1251.0,-0.01,0.01,9.73,-0.29,-0.11,0.02,27.29,50.0-60.0
50.0,1787.0,-0.01,0.02,9.75,-0.23,-0.08,-0.16,27.29,50.0-60.0
50.0,589.0,-0.05,0.01,9.74,-0.26,0.01,-0.24,27.29,50.0-60.0
50.0,1232.0,-0.06,0.01,9.73,-0.24,-0.13,-0.24,27.27,50.0-60.0
50.0,1573.0,-0.02,0.01,9.77,-0.26,-0.22,-0.13,27.27,50.0-60.0
50.0,1706.0,-0.01,0.03,9.82,-0.24,-0.05,0.05,27.28,50.0-60.0
50.0,1820.0,-0.02,0.02,9.8,-0.3,0.01,0.28,27.27,50.0-60.0
50.0,780.0,-0.03,-0.02,9.75,-0.33,-0.04,0.25,27.29,50.0-60.0
50.0,85.0,0.0,0.04,9.8,-0.33,-0.19,0.27,27.28,50.0-60.0
50.0,1562.0,0.0,0.02,9.85,-0.29,-0.18,0.11,27.28,50.0-60.0
50.0,1842.0,-0.01,0.01,9.81,-0.23,-0.01,-0.1,27.3,50.0-60.0
50.0,1742.0,0.01,0.01,9.73,-0.26,-0.11,-0.22,27.29,50.0-60.0
50.0,1343.0,-0.04,0.01,9.77,-0.2,-0.16,-0.25,27.29,50.0-60.0
50.0,2377.0,-0.02,-0.01,9.77,-0.24,-0.16,-0.21,27.26,50.0-60.0
50.0,1168.0,-0.04,0.01,9.82,-0.3,-0.05,-0.07,27.31,50.0-60.0
50.0,817.0,0.01,0.02,9.68,-0.23,-0.07,0.07,27.3,50.0-60.0
50.0,2142.0,-0.02,-0.04,9.74,-0.29,-0.01,0.21,27.29,50.0-60.0
50.0,1776.0,-0.08,0.01,9.85,-0.38,-0.24,0.27,27.27,50.0-60.0
50.0,756.0,-0.01,0.03,9.79,-0.29,-0.19,0.19,27.31,50.0-60.0
50.0,1087.0,0.02,-0.0,9.76,-0.32,-0.05,0.04,27.31,50.0-60.0
50.0,1521.0,-0.01,0.01,9.82,-0.27,-0.13,-0.13,27.29,50.0-60.0
50.0,1072.0,-0.03,0.05,9.78,-0.12,-0.08,-0.24,27.3,50.0-60.0
50.0,1139.0,-0.04,0.0,9.75,-0.21,-0.1,-0.25,27.28,50.0-60.0
50.0,1430.0,-0.07,0.0,9.82,-0.29,-0.04,-0.19,27.3,50.0-60.0
50.0,1966.0,-0.0,0.02,9.79,-0.21,-0.15,0.04,27.29,50.0-60.0
50.0,2076.0,-0.03,0.01,9.79,-0.29,-0.07,0.19,27.29,50.0-60.0
50.0,1598.0,-0.02,0.01,9.74,-0.33,0.01,0.31,27.29,50.0-60.0
50.0,1792.0,-0.02,0.04,9.79,-0.23,-0.08,0.24,27.29,50.0-60.0
50.0,1379.0,-0.01,0.03,9.75,-0.3,-0.15,0.22,27.27,50.0-60.0
50.0,561.0,0.07,0.01,9.78,-0.26,-0.21,-0.14,27.27,50.0-60.0
50.0,991.0,-0.02,0.01,9.74,-0.2,0.05,-0.27,27.26,50.0-60.0
50.0,1670.0,-0.04,-0.0,9.75,-0.2,-0.04,-0.37,27.26,50.0-60.0
50.0,1296.0,-0.02,0.0,9.81,-0.24,-0.05,-0.27,27.27,50.0-60.0
50.0,1149.0,-0.05,-0.02,9.8,-0.29,-0.16,-0.05,27.29,50.0-60.0
50.0,1453.0,-0.01,0.01,9.77,-0.3,-0.04,0.19,27.28,50.0-60.0
50.0,2755.0,0.02,0.01,9.79,-0.33,0.02,0.27,27.29,50.0-60.0
50.0,823.0,-0.03,0.03,9.74,-0.32,-0.08,0.34,27.27,50.0-60.0
