Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
50.0,1446.0,-0.01,-0.01,9.82,0.03,-0.02,0.02,27.38,50.0-60.0
50.0,1085.0,-0.01,-0.01,9.78,0.01,-0.0,-0.03,27.37,50.0-60.0
50.0,1318.0,-0.02,0.01,9.83,0.03,-0.03,-0.0,27.36,50.0-60.0
50.0,1742.0,-0.01,0.0,9.84,-0.05,-0.0,0.03,27.36,50.0-60.0
50.0,1750.0,-0.01,0.01,9.81,0.04,-0.03,0.06,27.37,50.0-60.0
50.0,1437.0,0.0,-0.01,9.81,-0.08,-0.0,-0.0,27.37,50.0-60.0
50.0,1215.0,-0.02,-0.02,9.79,-0.04,-0.02,0.05,27.37,50.0-60.0
50.0,1728.0,-0.02,-0.01,9.82,-0.08,-0.03,0.05,27.37,50.0-60.0
50.0,1535.0,-0.0,-0.03,9.8,-0.05,0.01,-0.08,27.36,50.0-60.0
50.0,1233.0,-0.0,-0.05,9.77,-0.07,-0.08,-0.02,27.34,50.0-60.0
50.0,1159.0,-0.02,-0.06,9.87,-0.02,0.03,0.06,27.38,50.0-60.0
50.0,1649.0,-0.01,-0.01,9.84,-0.05,-0.03,0.03,27.37,50.0-60.0
50.0,1018.0,-0.01,-0.01,9.79,0.04,0.03,0.03,27.37,50.0-60.0
50.0,1387.0,-0.01,-0.02,9.79,0.03,0.01,0.06,27.37,50.0-60.0
50.0,1459.0,-0.0,-0.01,9.78,0.03,-0.0,0.03,27.36,50.0-60.0
50.0,1230.0,-0.04,-0.01,9.79,-0.01,-0.03,0.02,27.36,50.0-60.0
50.0,975.0,-0.02,-0.0,9.81,-0.02,-0.03,-0.02,27.35,50.0-60.0
50.0,1190.0,-0.01,0.02,9.81,-0.13,0.05,0.02,27.34,50.0-60.0
50.0,1424.0,-0.03,0.0,9.8,-0.1,-0.02,-0.0,27.38,50.0-60.0
50.0,1377.0,-0.01,-0.02,9.8,-0.14,-0.0,-0.0,27.36,50.0-60.0
50.0,1470.0,0.01,-0.03,9.82,-0.04,-0.05,-0.03,27.37,50.0-60.0
50.0,1338.0,-0.0,-0.01,9.82,-0.07,0.03,-0.02,27.38,50.0-60.0
50.0,1655.0,0.0,-0.04,9.78,-0.01,-0.05,-0.0,27.38,50.0-60.0
50.0,1007.0,-0.01,-0.0,9.81,0.06,-0.0,0.06,27.37,50.0-60.0
50.0,1799.0,0.0,-0.03,9.75,0.07,-0.0,-0.02,27.36,50.0-60.0
50.0,1141.0,-0.0,-0.01,9.82,0.04,-0.02,0.03,27.37,50.0-60.0
50.0,1854.0,-0.01,-0.02,9.81,-0.01,-0.0,-0.02,27.38,50.0-60.0
50.0,896.0,-0.02,0.01,9.79,0.01,-0.03,0.02,27.4,50.0-60.0
50.0,1685.0,-0.01,-0.0,9.8,-0.08,-0.03,-0.02,27.35,50.0-60.0
50.0,1693.0,0.01,0.0,9.81,-0.02,-0.0,0.06,27.36,50.0-60.0
50.0,1390.0,-0.01,-0.03,9.81,-0.16,0.01,-0.02,27.37,50.0-60.0
50.0,1603.0,-0.01,-0.03,9.82,-0.08,-0.06,0.02,27.39,50.0-60.0
50.0,1888.0,0.01,-0.06,9.8,0.01,0.06,0.08,27.37,50.0-60.0
50.0,1114.0,-0.01,-0.04,9.84,0.01,0.01,0.02,27.37,50.0-60.0
