Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
50.0,1119.0,0.0,-0.01,9.83,-0.01,-0.01,0.02,28.53,50.0-60.0
50.0,1297.0,-0.02,-0.03,9.87,-0.04,-0.01,-0.02,28.51,50.0-60.0
50.0,1254.0,0.02,0.0,9.82,-0.02,-0.05,-0.11,28.52,50.0-60.0
50.0,1776.0,-0.02,0.01,9.81,0.01,-0.02,-0.07,28.5,50.0-60.0
50.0,1285.0,-0.01,-0.0,9.81,0.06,0.07,-0.07,28.49,50.0-60.0
50.0,1488.0,-0.02,-0.02,9.82,0.01,-0.01,-0.04,28.5,50.0-60.0
50.0,1239.0,-0.0,0.02,9.85,-0.04,-0.04,-0.01,28.51,50.0-60.0
50.0,1531.0,-0.01,0.03,9.83,-0.1,0.02,0.07,28.5,50.0-60.0
50.0,672.0,-0.04,0.15,9.79,-0.02,0.08,0.07,28.52,50.0-60.0
50.0,1120.0,0.02,0.02,9.86,-0.01,-0.19,-0.19,28.5,50.0-60.0
50.0,913.0,-0.12,-0.13,9.81,-0.23,0.04,-0.39,28.52,50.0-60.0
50.0,1669.0,-0.02,-0.01,9.83,-0.02,-0.05,-0.3,28.51,50.0-60.0
50.0,1101.0,-0.02,-0.03,9.9,0.01,-0.11,0.02,28.49,50.0-60.0
50.0,1617.0,0.01,-0.23,9.9,-0.42,-0.11,0.54,28.51,50.0-60.0
50.0,1636.0,-0.03,-0.26,9.75,-0.46,-0.11,1.08,28.5,50.0-60.0
50.0,1746.0,-0.01,0.28,9.73,0.28,0.24,1.21,28.51,50.0-60.0
50.0,1293.0,-0.01,-0.36,9.91,-0.57,-0.18,0.5,28.51,50.0-60.0
50.0,1328.0,-0.05,-0.21,9.77,-0.63,-0.13,0.24,28.49,50.0-60.0
50.0,1821.0,0.07,0.35,9.71,0.65,0.18,-0.54,28.49,50.0-60.0
50.0,1397.0,-0.01,0.24,9.87,0.65,-0.04,-0.89,28.49,50.0-60.0
50.0,1648.0,0.01,-0.4,9.99,-0.46,-0.47,-1.3,28.51,50.0-60.0
50.0,1809.0,0.02,-0.01,9.86,0.12,0.16,-0.4,28.5,50.0-60.0
50.0,1811.0,-0.0,0.28,9.71,0.33,0.4,0.47,28.52,50.0-60.0
50.0,1814.0,-0.08,-0.09,9.82,-0.36,0.37,1.0,28.49,50.0-60.0
50.0,1712.0,0.03,-0.15,9.71,-0.33,0.27,1.11,28.5,50.0-60.0
50.0,1591.0,-0.13,0.26,9.63,0.28,0.5,1.0,28.5,50.0-60.0
50.0,1488.0,0.22,0.05,10.0,0.24,-0.27,-0.08,28.5,50.0-60.0
50.0,1989.0,-0.0,0.18,9.83,0.56,-0.37,-1.05,28.51,50.0-60.0
50.0,1535.0,-0.3,-0.46,9.68,0.1,-0.21,-2.07,28.52,50.0-60.0
50.0,1506.0,-0.01,-0.13,9.69,0.57,0.14,-2.02,28.5,50.0-60.0
50.0,2038.0,-0.07,0.17,9.71,0.79,-0.1,-1.14,28.52,50.0-60.0
50.0,1733.0,0.04,0.06,9.83,0.36,0.1,0.34,28.52,50.0-60.0
50.0,1533.0,0.07,0.22,9.93,-0.07,-0.25,1.73,28.49,50.0-60.0
50.0,1677.0,0.09,0.34,10.01,-0.42,-0.25,3.11,28.53,50.0-60.0
50.0,1535.0,0.04,0.13,9.95,-1.3,0.07,3.21,28.5,50.0-60.0
50.0,1473.0,-0.0,0.11,9.86,-1.21,-0.02,1.91,28.51,50.0-60.0
50.0,1520.0,-0.01,-0.11,9.53,-0.89,0.48,0.05,28.51,50.0-60.0
50.0,1948.0,0.05,-0.38,9.92,-0.26,-0.18,-3.18,28.51,50.0-60.0
50.0,1630.0,0.01,-0.53,9.86,1.09,0.51,-5.33,28.49,50.0-60.0
50.0,1594.0,-0.24,-0.3,9.51,1.69,0.1,-5.24,28.49,50.0-60.0
