Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
60.0,1298.0,0.77,-0.15,10.26,0.22,-1.99,0.15,27.75,60.0-70.0
60.0,1713.0,-0.43,-0.18,9.82,-0.45,-1.23,-0.64,27.73,60.0-70.0
60.0,1267.0,-0.27,0.04,9.66,-0.46,0.85,-0.08,27.71,60.0-70.0
60.0,1919.0,0.13,-0.17,9.6,-0.01,0.62,0.84,27.72,60.0-70.0
60.0,2025.0,-0.11,-0.2,9.74,-0.89,0.8,1.07,27.74,60.0-70.0
60.0,1040.0,-0.34,-0.21,9.62,-0.63,-0.34,1.6,27.75,60.0-70.0
60.0,2078.0,0.6,-0.07,9.96,-0.2,0.42,1.53,27.75,60.0-70.0
60.0,1968.0,-0.11,-0.1,9.55,-0.81,1.46,0.31,27.73,60.0-70.0
60.0,1062.0,-0.27,-0.25,9.88,-0.89,0.05,-0.05,27.74,60.0-70.0
60.0,1565.0,1.4,-0.4,10.19,-0.33,0.91,-1.11,27.72,60.0-70.0
60.0,1406.0,-0.34,-0.23,10.07,-0.66,-0.69,-1.37,27.72,60.0-70.0
60.0,1432.0,-0.19,0.2,9.93,-0.54,-2.33,-0.09,27.73,60.0-70.0
60.0,961.0,1.27,-0.14,10.69,-0.55,-1.75,-0.32,27.72,60.0-70.0
60.0,1065.0,-0.45,-0.4,10.13,-1.36,-1.12,0.78,27.73,60.0-70.0
60.0,1066.0,0.38,0.71,9.27,1.38,1.0,1.36,27.73,60.0-70.0
60.0,1759.0,-0.68,-0.16,9.35,0.15,3.12,0.49,27.73,60.0-70.0
60.0,1456.0,0.75,0.09,10.65,-0.25,-1.63,1.53,27.74,60.0-70.0
60.0,1070.0,1.14,0.11,10.27,-0.26,-0.77,-0.46,27.74,60.0-70.0
60.0,751.0,-2.14,-0.22,9.17,0.32,1.87,-0.76,27.72,60.0-70.0
60.0,1707.0,1.71,0.1,10.44,1.09,-0.34,-0.96,27.71,60.0-70.0
60.0,1942.0,-0.43,-0.76,10.45,-1.58,-1.53,-1.4,27.75,60.0-70.0
60.0,1841.0,-0.34,1.35,8.77,2.16,-2.6,0.29,27.74,60.0-70.0
60.0,1968.0,3.71,0.45,11.83,0.62,-1.49,0.08,27.73,60.0-70.0
60.0,1563.0,-3.3,-0.61,9.01,-1.55,-2.08,0.81,27.73,60.0-70.0
60.0,1187.0,1.25,0.27,8.92,-0.74,-0.08,1.17,27.73,60.0-70.0
60.0,471.0,-0.87,-0.3,11.0,0.9,3.14,0.84,27.74,60.0-70.0
60.0,1776.0,-1.55,1.74,7.62,2.76,-1.4,1.25,27.74,60.0-70.0
60.0,2063.0,1.6,-1.41,11.46,-2.31,3.04,-0.73,27.72,60.0-70.0
60.0,1764.0,-1.07,1.45,8.73,1.7,-4.49,-0.17,27.76,60.0-70.0
60.0,1805.0,1.67,-1.05,11.13,-1.26,3.04,-1.5,27.74,60.0-70.0
60.0,2121.0,-4.28,-0.33,7.6,-0.77,0.34,-0.99,27.74,60.0-70.0
60.0,1243.0,3.3,0.66,11.13,1.0,-0.07,-0.38,27.73,60.0-70.0
60.0,1359.0,-3.96,-0.06,7.99,-1.03,0.01,0.52,27.73,60.0-70.0
60.0,1867.0,3.09,0.23,11.25,0.25,-1.3,0.93,27.75,60.0-70.0
60.0,212.0,-3.22,0.41,8.64,0.57,4.4,0.79,27.75,60.0-70.0
60.0,1805.0,2.34,-0.48,10.13,-0.37,-1.34,0.96,27.72,60.0-70.0
60.0,0.0,-1.86,0.35,9.68,1.22,4.04,0.02,27.74,60.0-70.0
60.0,764.0,1.6,-0.71,9.83,-1.32,-3.36,-0.5,27.73,60.0-70.0
60.0,35.0,1.98,-0.62,11.35,-1.71,0.13,-0.52,27.73,60.0-70.0
60.0,1182.0,-1.08,0.6,8.7,1.49,0.13,-1.05,27.73,60.0-70.0
60.0,1495.0,0.19,-0.5,9.97,-1.9,-1.27,-0.11,27.73,60.0-70.0
60.0,1278.0,0.92,-0.15,9.93,0.7,1.21,-0.17,27.74,60.0-70.0
60.0,1567.0,-0.35,0.1,9.0,0.19,2.85,0.61,27.74,60.0-70.0
60.0,1585.0,-0.44,0.55,9.87,0.59,-2.01,0.92,27.74,60.0-70.0
60.0,1918.0,1.88,-0.41,10.94,-1.41,1.85,1.21,27.77,60.0-70.0
60.0,1422.0,-2.01,0.34,9.16,-0.02,0.27,0.09,27.73,60.0-70.0
60.0,1581.0,0.54,0.56,8.94,1.61,0.85,-0.03,27.73,60.0-70.0
60.0,1129.0,1.04,0.23,11.97,0.25,-1.49,-0.72,27.73,60.0-70.0
60.0,1535.0,0.09,0.05,9.68,-0.17,0.77,-0.52,27.73,60.0-70.0
60.0,1282.0,-2.38,0.3,8.89,-0.11,-1.32,-1.16,27.71,60.0-70.0
60.0,1409.0,1.06,0.06,9.85,1.63,1.17,-0.6,27.74,60.0-70.0
60.0,1579.0,0.68,0.26,10.88,0.5,-0.18,-0.31,27.73,60.0-70.0
60.0,1699.0,-0.26,0.06,9.74,-0.04,-0.1,0.81,27.74,60.0-70.0
60.0,1589.0,-1.72,0.19,8.78,-0.71,-1.73,0.84,27.73,60.0-70.0
60.0,1778.0,1.27,0.09,9.5,1.49,2.27,0.61,27.73,60.0-70.0
60.0,1709.0,0.06,0.15,10.76,0.36,0.28,-0.21,27.73,60.0-70.0
60.0,2096.0,0.09,-0.12,10.23,-0.13,-0.85,0.03,27.74,60.0-70.0
60.0,1744.0,-2.18,0.13,8.43,-0.89,-0.89,-0.43,27.75,60.0-70.0
60.0,1888.0,1.44,-0.03,9.51,1.32,2.81,-0.61,27.74,60.0-70.0
60.0,1438.0,0.29,0.22,10.9,0.44,-0.01,-1.13,27.75,60.0-70.0
60.0,2041.0,-0.02,-0.18,10.18,-0.23,0.08,0.09,27.72,60.0-70.0
60.0,1603.0,-2.17,0.12,9.14,-1.32,-1.66,0.05,27.72,60.0-70.0
60.0,1443.0,0.92,-0.1,9.38,0.62,2.34,0.75,27.75,60.0-70.0
60.0,1567.0,0.87,0.11,10.94,0.25,-1.15,0.24,27.75,60.0-70.0
60.0,1343.0,1.25,-0.19,11.05,-1.38,-2.14,1.01,27.74,60.0-70.0
60.0,1076.0,-1.28,0.11,9.72,-0.57,0.3,-0.09,27.73,60.0-70.0
60.0,646.0,-0.08,-0.19,9.47,0.07,0.94,0.12,27.74,60.0-70.0
60.0,429.0,-0.33,0.11,9.41,0.82,-0.68,-1.17,27.72,60.0-70.0
60.0,63.0,0.63,0.11,10.26,-0.89,-0.83,-0.05,27.74,60.0-70.0
60.0,574.0,0.21,0.22,10.31,0.39,0.25,-0.84,27.74,60.0-70.0
60.0,0.0,0.44,-0.24,10.54,-0.84,-0.33,0.47,27.73,60.0-70.0
60.0,621.0,-0.86,-0.18,9.15,0.1,-0.19,-0.18,27.73,60.0-70.0
60.0,269.0,-2.37,0.67,8.64,0.5,2.57,1.21,27.73,60.0-70.0
60.0,1286.0,-0.46,0.14,9.11,0.33,-0.68,0.26,27.73,60.0-70.0
60.0,430.0,0.24,0.25,9.81,-0.3,1.41,0.99,27.74,60.0-70.0
60.0,1776.0,2.6,-0.75,10.99,-0.97,-1.55,-0.47,27.73,60.0-70.0
60.0,1090.0,-1.6,0.9,9.54,1.47,3.3,-0.0,27.72,60.0-70.0
60.0,1682.0,-0.85,-0.05,9.1,0.39,0.19,-1.05,27.75,60.0-70.0
60.0,1145.0,-2.28,0.71,8.61,1.03,3.06,-0.03,27.73,60.0-70.0
60.0,2080.0,2.05,-0.91,10.91,-1.7,-4.23,-0.38,27.73,60.0-70.0
60.0,1808.0,-0.01,0.4,9.82,0.04,-0.1,0.31,27.75,60.0-70.0
60.0,1584.0,2.92,-0.71,11.08,-0.91,-2.21,-0.11,27.73,60.0-70.0
60.0,2033.0,-1.23,0.69,9.68,1.25,2.69,0.67,27.73,60.0-70.0
60.0,1731.0,-0.13,-0.23,9.52,-0.4,-0.88,0.49,27.72,60.0-70.0
60.0,2277.0,-1.03,0.15,9.62,-1.07,-1.59,0.18,27.75,60.0-70.0
60.0,1845.0,1.05,-0.74,10.37,-1.59,-3.78,-0.15,27.73,60.0-70.0
60.0,1885.0,0.04,0.09,9.86,-0.52,-1.26,-0.2,27.72,60.0-70.0
60.0,2176.0,1.14,-0.05,9.63,1.0,2.14,-0.23,27.75,60.0-70.0
60.0,2245.0,-0.18,0.24,10.28,0.06,-0.66,-0.78,27.72,60.0-70.0
60.0,2087.0,-0.05,-0.29,9.55,0.12,1.03,-0.09,27.73,60.0-70.0
60.0,1705.0,-1.16,0.04,9.65,-1.03,-1.67,-0.03,27.75,60.0-70.0
