Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
60.0,1600.0,-0.52,-0.19,9.73,-0.42,1.06,-0.18,27.97,60.0-70.0
60.0,1984.0,-0.86,0.12,9.63,0.56,-0.02,-0.34,27.97,60.0-70.0
60.0,1611.0,-0.41,0.27,9.74,0.3,-1.05,0.79,27.99,60.0-70.0
60.0,1983.0,0.16,-0.17,9.97,-1.15,-0.65,2.64,27.98,60.0-70.0
60.0,1178.0,-0.55,-0.33,9.75,-0.91,0.69,1.86,27.97,60.0-70.0
60.0,1309.0,-0.69,0.35,9.62,0.73,-0.34,0.87,27.96,60.0-70.0
60.0,1782.0,-0.14,0.37,10.02,0.04,-1.46,0.73,27.98,60.0-70.0
60.0,817.0,-0.08,-0.31,9.95,-1.1,-0.01,-0.79,27.99,60.0-70.0
60.0,1015.0,-0.91,0.02,9.72,0.38,0.16,-3.04,27.98,60.0-70.0
60.0,1328.0,-0.03,0.36,9.86,0.57,-1.24,-1.62,27.98,60.0-70.0
60.0,1427.0,-0.04,-0.42,9.69,-0.92,0.83,-0.9,28.0,60.0-70.0
60.0,1571.0,-0.9,-0.39,9.47,-0.31,1.49,-1.04,27.98,60.0-70.0
60.0,1535.0,-0.22,0.25,9.49,0.27,-0.07,1.39,27.99,60.0-70.0
60.0,1392.0,-0.29,-0.37,9.8,-1.13,1.46,2.59,27.97,60.0-70.0
60.0,1469.0,-0.48,-0.2,9.84,-0.05,0.63,1.37,27.98,60.0-70.0
60.0,1041.0,-0.57,0.52,9.68,0.3,-1.09,1.25,27.98,60.0-70.0
60.0,1798.0,-0.19,-0.34,9.93,-0.77,0.91,0.12,27.97,60.0-70.0
60.0,1514.0,-0.96,0.5,9.33,0.77,1.12,-2.46,27.97,60.0-70.0
60.0,1282.0,-0.44,0.45,9.51,0.22,-0.57,-1.71,27.99,60.0-70.0
60.0,425.0,-0.37,-0.46,9.75,-0.4,1.58,-1.74,27.99,60.0-70.0
60.0,1021.0,-0.51,0.65,9.32,1.43,0.68,-1.24,27.99,60.0-70.0
60.0,1216.0,0.03,-0.14,9.85,-0.45,-0.04,1.68,27.98,60.0-70.0
60.0,1758.0,-0.37,-0.62,9.8,-0.58,0.45,1.25,27.98,60.0-70.0
60.0,503.0,-0.22,0.4,9.88,0.09,-2.14,2.0,27.97,60.0-70.0
60.0,769.0,-0.41,-0.69,10.18,-1.78,-0.6,1.88,27.96,60.0-70.0
60.0,1477.0,-0.8,0.87,9.59,1.14,0.05,0.23,27.97,60.0-70.0
60.0,1699.0,0.05,0.44,9.77,-0.37,-0.56,-0.08,27.98,60.0-70.0
60.0,624.0,-0.63,-0.51,9.44,-0.31,2.02,-1.92,27.97,60.0-70.0
60.0,1200.0,0.24,0.58,9.76,0.79,-1.4,-1.69,27.97,60.0-70.0
60.0,309.0,-0.87,-1.0,10.09,-1.67,0.11,-1.77,27.98,60.0-70.0
60.0,1227.0,-0.7,-0.3,9.74,0.68,-0.62,-1.56,27.98,60.0-70.0
60.0,1406.0,0.3,0.35,10.15,-0.46,-0.89,1.5,27.98,60.0-70.0
60.0,1502.0,-1.21,-0.56,9.63,-0.25,0.65,1.04,27.95,60.0-70.0
60.0,710.0,0.5,0.56,10.06,-0.19,-2.43,2.62,27.98,60.0-70.0
60.0,1034.0,-0.17,-0.76,9.8,-1.78,1.3,1.85,27.95,60.0-70.0
60.0,1081.0,-0.64,0.66,10.01,1.41,-1.96,0.15,27.98,60.0-70.0
60.0,667.0,0.13,0.1,9.62,-0.83,1.46,0.09,27.96,60.0-70.0
60.0,935.0,-0.95,-0.11,9.61,0.97,-0.45,-2.75,27.97,60.0-70.0
60.0,1168.0,0.41,0.64,10.02,0.21,-2.98,-1.05,27.97,60.0-70.0
60.0,1454.0,-1.42,-0.69,9.43,-0.8,3.14,-2.32,27.97,60.0-70.0
60.0,1493.0,0.48,0.74,9.74,1.14,-2.33,0.61,27.98,60.0-70.0
60.0,469.0,-1.09,-0.99,10.25,-2.14,1.43,0.47,28.01,60.0-70.0
60.0,1085.0,-1.15,-0.02,9.75,0.64,-0.65,0.67,27.97,60.0-70.0
60.0,1428.0,0.52,0.42,9.99,-0.87,-0.74,3.27,27.99,60.0-70.0
60.0,1413.0,-1.85,-0.29,9.42,0.3,0.68,-0.03,27.95,60.0-70.0
60.0,1487.0,1.14,0.44,10.37,-0.77,-2.22,1.3,27.97,60.0-70.0
60.0,1328.0,-1.04,-0.62,9.71,-1.0,2.89,-1.6,27.97,60.0-70.0
60.0,1642.0,0.14,1.0,9.33,1.67,-1.2,-0.92,27.96,60.0-70.0
60.0,1497.0,-0.7,-0.98,10.34,-1.88,0.89,-2.17,27.96,60.0-70.0
60.0,908.0,-0.47,1.04,9.14,1.9,-0.53,-0.6,27.98,60.0-70.0
60.0,827.0,0.16,0.15,9.76,-1.09,-0.45,1.1,27.98,60.0-70.0
60.0,1350.0,-1.23,-0.2,9.62,0.54,0.34,-0.15,27.95,60.0-70.0
60.0,933.0,0.26,0.24,10.07,-1.36,-1.2,2.99,27.97,60.0-70.0
60.0,1377.0,-1.4,-0.22,9.37,0.5,1.12,0.56,27.97,60.0-70.0
60.0,1431.0,0.04,0.82,9.76,0.57,-2.04,2.01,27.99,60.0-70.0
60.0,1274.0,-1.11,-0.78,9.8,-1.13,2.39,-1.01,27.97,60.0-70.0
60.0,1751.0,0.17,0.99,9.57,1.37,-1.73,-0.34,27.98,60.0-70.0
60.0,909.0,-1.14,-0.88,10.02,-1.38,1.72,-2.44,27.98,60.0-70.0
60.0,813.0,-1.04,0.58,9.99,1.44,-1.3,-2.35,27.99,60.0-70.0
60.0,1089.0,0.02,-0.3,9.4,-1.18,1.67,-0.09,27.98,60.0-70.0
60.0,1152.0,-0.95,0.4,9.88,1.25,-0.94,-0.32,27.97,60.0-70.0
60.0,1375.0,-0.01,-0.14,9.49,-1.5,0.94,2.35,27.98,60.0-70.0
60.0,2288.0,-1.32,-0.41,9.4,-0.02,2.31,0.47,27.98,60.0-70.0
60.0,1465.0,0.39,0.5,9.84,-0.45,-1.99,2.75,27.98,60.0-70.0
60.0,1195.0,-1.05,-0.48,9.41,-0.1,2.68,-0.63,27.99,60.0-70.0
60.0,2355.0,0.22,0.6,9.73,-0.05,-2.16,0.67,27.99,60.0-70.0
60.0,1246.0,-0.24,-1.04,10.32,-2.08,0.57,-1.43,27.97,60.0-70.0
60.0,1664.0,-0.46,1.08,9.18,2.18,-0.59,-1.33,27.98,60.0-70.0
60.0,1360.0,0.0,-1.12,10.3,-2.07,0.71,-1.59,28.0,60.0-70.0
60.0,1158.0,-0.74,1.02,9.17,2.1,-0.69,-0.09,27.96,60.0-70.0
60.0,1535.0,0.21,0.08,10.03,-1.53,-1.17,1.63,27.97,60.0-70.0
60.0,2037.0,-1.11,-0.07,9.5,1.0,0.53,0.24,27.94,60.0-70.0
60.0,738.0,0.37,0.17,10.15,-1.67,-1.29,2.93,27.97,60.0-70.0
60.0,1731.0,-1.23,0.04,9.44,1.08,0.62,0.2,27.97,60.0-70.0
60.0,1798.0,-0.11,0.85,9.72,0.22,-2.24,1.75,27.96,60.0-70.0
60.0,1662.0,-0.89,-0.66,9.65,-0.6,2.88,-1.79,27.97,60.0-70.0
60.0,2384.0,-0.11,0.8,9.72,0.44,-2.16,-0.26,27.96,60.0-70.0
60.0,2234.0,-1.01,-0.79,9.57,-0.58,3.1,-2.85,27.98,60.0-70.0
60.0,1968.0,-0.9,1.08,9.37,2.09,-1.02,-1.13,27.97,60.0-70.0
60.0,1680.0,0.41,-1.14,10.14,-1.93,1.12,-0.4,27.98,60.0-70.0
60.0,1140.0,-0.97,1.1,9.24,2.1,-0.73,0.93,27.96,60.0-70.0
60.0,1591.0,0.4,-1.1,10.19,-2.05,0.97,1.36,27.99,60.0-70.0
60.0,1094.0,-1.23,-0.05,9.4,1.09,0.95,0.44,27.97,60.0-70.0
60.0,1797.0,0.52,0.16,10.25,-1.67,-1.66,2.38,27.97,60.0-70.0
60.0,1968.0,-1.23,0.03,9.45,1.17,0.71,-0.89,27.97,60.0-70.0
60.0,2027.0,0.52,0.17,10.21,-1.62,-1.44,0.34,27.95,60.0-70.0
60.0,1957.0,-0.94,-0.72,9.66,-0.52,3.29,-2.64,27.97,60.0-70.0
60.0,2649.0,-0.22,0.79,9.69,0.41,-2.13,-0.21,27.97,60.0-70.0
60.0,2288.0,-0.94,-0.83,9.65,-0.6,2.98,-2.24,27.99,60.0-70.0
60.0,1661.0,-0.21,0.7,9.69,0.18,-2.27,1.22,27.98,60.0-70.0
60.0,1889.0,0.32,-1.17,10.31,-2.2,0.8,0.47,27.98,60.0-70.0
60.0,1584.0,-0.79,1.11,9.19,2.01,-0.65,1.68,27.98,60.0-70.0
60.0,495.0,0.19,-1.1,10.32,-2.26,0.65,1.22,27.96,60.0-70.0
