Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
60.0,1071.0,-1.21,-0.17,9.46,-0.34,1.11,-0.38,27.8,60.0-70.0
60.0,1825.0,-0.97,0.03,9.52,0.59,-0.22,-1.25,27.78,60.0-70.0
60.0,2241.0,-0.02,0.33,9.7,0.61,-1.23,-1.02,27.81,60.0-70.0
60.0,1133.0,0.05,-0.18,9.8,-1.0,0.79,0.27,27.77,60.0-70.0
60.0,1344.0,-1.0,-0.29,9.49,-0.74,2.27,0.29,27.79,60.0-70.0
60.0,2026.0,-1.31,0.07,9.54,0.36,0.45,0.58,27.8,60.0-70.0
60.0,1253.0,-0.23,0.33,9.75,-0.26,-1.82,1.77,27.8,60.0-70.0
60.0,1095.0,0.18,-0.16,9.8,-1.01,0.31,1.51,27.79,60.0-70.0
60.0,1392.0,-0.83,0.0,9.55,0.18,1.61,-0.82,27.81,60.0-70.0
60.0,1523.0,-0.79,0.15,9.44,0.24,0.54,-1.34,27.78,60.0-70.0
60.0,1836.0,-0.31,-0.12,9.61,-0.45,0.19,-0.58,27.78,60.0-70.0
60.0,2030.0,-0.7,-0.26,9.66,0.3,0.72,-1.77,27.8,60.0-70.0
60.0,320.0,-0.23,0.35,9.7,0.91,-0.74,-0.92,27.79,60.0-70.0
60.0,877.0,0.2,0.3,10.15,0.03,-0.94,0.93,27.79,60.0-70.0
60.0,1619.0,-0.93,-0.23,9.88,-0.31,0.79,0.7,27.82,60.0-70.0
60.0,1382.0,-0.68,0.39,9.8,0.68,-2.08,1.08,27.77,60.0-70.0
60.0,1745.0,0.34,-0.23,10.18,-0.69,-1.85,2.38,27.79,60.0-70.0
60.0,1006.0,-0.18,-0.19,10.05,-0.51,0.3,0.96,27.79,60.0-70.0
60.0,972.0,-0.43,0.48,9.74,0.3,-0.71,-0.37,27.79,60.0-70.0
60.0,1255.0,-0.11,-0.52,10.31,-1.24,-0.95,-0.2,27.79,60.0-70.0
60.0,945.0,-0.68,-0.25,9.74,0.51,0.11,-2.44,27.8,60.0-70.0
60.0,1475.0,-0.35,0.32,9.91,0.15,-2.19,-1.62,27.82,60.0-70.0
60.0,148.0,-0.27,-0.95,10.12,-1.97,-0.45,-0.58,27.77,60.0-70.0
60.0,2027.0,-0.92,0.1,9.45,0.13,0.88,-0.81,27.79,60.0-70.0
60.0,1159.0,-0.69,0.57,9.79,-0.52,0.05,2.4,27.79,60.0-70.0
60.0,957.0,-0.67,-0.52,9.79,-0.91,1.41,1.42,27.79,60.0-70.0
60.0,928.0,-0.25,0.67,9.2,1.11,-0.22,1.05,27.79,60.0-70.0
60.0,1517.0,0.29,-0.58,9.88,-1.04,-0.18,1.05,27.79,60.0-70.0
60.0,782.0,-0.44,-0.09,10.0,1.34,0.16,-1.33,27.78,60.0-70.0
60.0,1303.0,-0.32,0.52,10.13,-0.22,-2.24,-0.76,27.79,60.0-70.0
60.0,493.0,-1.19,-0.7,9.87,-1.27,0.65,-1.82,27.79,60.0-70.0
60.0,544.0,-0.04,0.91,9.21,1.49,-0.34,-0.93,27.8,60.0-70.0
60.0,2003.0,-0.07,-0.89,9.74,-1.58,0.98,-0.23,27.78,60.0-70.0
60.0,1370.0,-1.27,-0.29,9.47,0.12,1.3,-0.35,27.79,60.0-70.0
60.0,488.0,0.41,0.52,10.0,-0.3,-2.01,1.68,27.8,60.0-70.0
60.0,1116.0,-1.33,-0.7,9.59,-0.57,1.47,0.53,27.8,60.0-70.0
60.0,1202.0,0.64,0.58,10.09,0.45,-3.06,1.51,27.79,60.0-70.0
60.0,1586.0,0.23,-0.08,9.4,-0.89,2.4,1.43,27.82,60.0-70.0
60.0,939.0,-1.06,0.09,9.38,1.25,0.56,-1.17,27.79,60.0-70.0
60.0,592.0,0.32,0.6,10.02,-0.3,-0.31,0.43,27.79,60.0-70.0
60.0,965.0,-1.69,-0.22,9.46,0.56,0.8,-2.04,27.79,60.0-70.0
60.0,1456.0,0.38,0.65,9.79,1.03,-2.89,-0.56,27.8,60.0-70.0
60.0,599.0,-1.03,-1.02,9.91,-1.99,1.43,-1.02,27.79,60.0-70.0
60.0,610.0,-0.75,0.87,8.92,1.51,-0.07,0.53,27.79,60.0-70.0
60.0,1631.0,0.27,-1.1,9.66,-1.96,1.73,1.13,27.83,60.0-70.0
60.0,2400.0,-1.69,-0.15,9.71,0.39,-0.04,0.29,27.8,60.0-70.0
60.0,2437.0,1.43,0.52,10.47,-0.25,-3.15,2.2,27.8,60.0-70.0
60.0,1381.0,-1.51,-0.34,9.61,0.56,1.06,-0.63,27.8,60.0-70.0
60.0,1339.0,0.02,0.55,10.12,0.01,-3.44,0.49,27.79,60.0-70.0
60.0,1232.0,-0.25,-1.1,9.88,-1.93,1.24,-1.21,27.82,60.0-70.0
60.0,682.0,-1.02,0.97,9.17,1.9,-0.16,-1.16,27.78,60.0-70.0
60.0,891.0,0.63,-0.94,9.91,-1.56,1.52,-0.55,27.78,60.0-70.0
60.0,570.0,-1.56,0.83,9.72,1.41,-0.66,-0.47,27.8,60.0-70.0
60.0,1103.0,0.91,0.53,10.22,-0.45,-2.37,1.75,27.81,60.0-70.0
60.0,1265.0,-1.65,-0.19,9.45,0.54,0.94,0.08,27.81,60.0-70.0
60.0,1826.0,0.65,0.52,10.18,-0.52,-2.79,2.24,27.8,60.0-70.0
60.0,1999.0,-1.37,-0.3,9.41,0.01,1.53,-0.32,27.77,60.0-70.0
60.0,1233.0,-0.34,0.97,9.02,1.69,0.08,0.46,27.79,60.0-70.0
60.0,436.0,-0.42,-1.13,10.01,-2.05,1.23,-0.82,27.78,60.0-70.0
60.0,475.0,-0.82,1.05,9.24,1.92,-0.37,-0.89,27.8,60.0-70.0
60.0,953.0,0.28,-1.13,9.89,-1.56,1.4,-1.04,27.82,60.0-70.0
60.0,1504.0,-1.24,-0.03,9.57,1.35,0.33,-1.69,27.79,60.0-70.0
60.0,2530.0,0.8,0.44,10.4,-0.54,-2.19,1.31,27.81,60.0-70.0
60.0,2016.0,-1.68,-0.02,9.34,1.17,1.06,-0.41,27.78,60.0-70.0
60.0,1677.0,1.03,0.5,10.48,-0.62,-2.8,2.41,27.81,60.0-70.0
60.0,1863.0,-1.14,-1.06,9.66,-1.62,2.6,-0.21,27.79,60.0-70.0
60.0,1601.0,0.5,0.71,9.38,0.67,-1.79,1.17,27.78,60.0-70.0
60.0,258.0,-1.28,-1.09,9.72,-1.82,2.51,-1.05,27.79,60.0-70.0
60.0,1232.0,0.42,0.75,9.17,1.19,-1.02,-0.18,27.79,60.0-70.0
60.0,783.0,0.24,-0.3,9.69,-0.78,1.09,0.21,27.8,60.0-70.0
60.0,691.0,-0.84,0.45,10.22,1.43,-2.05,-1.31,27.8,60.0-70.0
60.0,1266.0,0.03,-0.18,9.79,-0.65,0.68,0.66,27.79,60.0-70.0
60.0,1677.0,-1.54,-0.38,9.39,0.12,1.32,-1.34,27.8,60.0-70.0
60.0,1714.0,0.17,0.56,10.15,-0.43,-2.92,1.72,27.82,60.0-70.0
60.0,1465.0,-1.17,-0.42,9.5,-0.13,1.35,-0.31,27.81,60.0-70.0
60.0,1645.0,0.2,0.57,10.16,-0.52,-2.68,2.01,27.79,60.0-70.0
60.0,1664.0,-0.74,-1.13,9.9,-2.17,1.55,0.08,27.79,60.0-70.0
60.0,2016.0,-0.37,1.04,9.08,1.86,0.3,0.34,27.78,60.0-70.0
60.0,1717.0,-0.44,-1.14,10.07,-2.07,1.41,-1.01,27.79,60.0-70.0
60.0,1415.0,-0.65,1.02,9.07,1.8,-0.07,-0.61,27.8,60.0-70.0
60.0,1478.0,0.32,0.18,10.1,-0.92,-1.4,0.67,27.8,60.0-70.0
60.0,769.0,-0.91,0.16,9.58,1.54,0.08,-1.4,27.79,60.0-70.0
60.0,2171.0,0.21,0.22,9.99,-0.89,-1.21,1.63,27.8,60.0-70.0
60.0,2022.0,-0.86,0.17,9.65,1.54,0.11,-0.26,27.79,60.0-70.0
60.0,2235.0,-0.23,0.56,9.88,-0.23,-2.83,1.88,27.81,60.0-70.0
60.0,2417.0,-0.74,-0.73,9.59,-0.69,2.36,-0.52,27.82,60.0-70.0
60.0,2172.0,-0.19,0.67,9.89,-0.08,-2.8,1.6,27.82,60.0-70.0
60.0,1727.0,-0.77,-0.7,9.5,-0.63,2.68,-1.51,27.8,60.0-70.0
60.0,2419.0,-1.04,1.04,9.15,1.78,-0.25,-0.41,27.79,60.0-70.0
60.0,1867.0,0.14,-1.12,10.03,-1.97,1.79,-1.13,27.77,60.0-70.0
60.0,1037.0,-1.25,1.06,9.33,1.84,-0.57,-0.61,27.79,60.0-70.0
60.0,1775.0,0.29,-1.28,10.0,-2.2,1.52,-0.72,27.79,60.0-70.0
60.0,934.0,-1.24,0.27,9.53,1.66,0.36,-0.81,27.78,60.0-70.0
60.0,2202.0,0.48,0.35,10.15,-0.94,-1.7,2.11,27.79,60.0-70.0
60.0,1694.0,-1.22,0.23,9.68,1.51,0.19,-0.03,27.8,60.0-70.0
60.0,1913.0,0.54,0.39,10.34,-0.81,-2.19,2.32,27.79,60.0-70.0
60.0,915.0,-0.61,-0.78,9.55,-0.72,3.14,-1.01,27.81,60.0-70.0
60.0,2319.0,-0.25,0.65,9.87,-0.13,-2.86,0.99,27.79,60.0-70.0
60.0,2157.0,-0.58,-0.85,9.57,-0.65,2.86,-1.94,27.79,60.0-70.0
60.0,2549.0,-0.13,0.66,9.91,0.07,-3.01,0.38,27.79,60.0-70.0
60.0,1751.0,0.2,-1.21,10.07,-2.1,1.29,-0.96,27.81,60.0-70.0
60.0,1660.0,-1.13,0.99,9.33,1.69,-0.63,-0.11,27.79,60.0-70.0
60.0,1241.0,0.08,-1.27,10.16,-2.4,1.29,-0.14,27.81,60.0-70.0
60.0,945.0,-1.2,1.01,9.22,1.61,-0.22,0.72,27.79,60.0-70.0
60.0,875.0,0.35,0.35,10.21,-1.0,-1.92,2.29,27.78,60.0-70.0
60.0,790.0,-1.11,0.32,9.5,1.66,0.36,-0.15,27.79,60.0-70.0
60.0,1751.0,0.32,0.34,10.15,-0.92,-1.61,1.86,27.79,60.0-70.0
60.0,1755.0,-0.98,0.3,9.5,1.89,0.42,-1.07,27.81,60.0-70.0
60.0,1425.0,-0.31,0.68,9.92,-0.14,-2.88,0.75,27.81,60.0-70.0
60.0,2610.0,-0.62,-0.68,9.64,-0.36,2.37,-2.09,27.82,60.0-70.0
60.0,1943.0,-0.12,0.74,9.88,0.03,-2.75,0.73,27.82,60.0-70.0
60.0,1141.0,-0.76,-0.61,9.64,-0.42,2.07,-1.56,27.79,60.0-70.0
60.0,2070.0,-0.82,1.04,8.98,1.75,0.31,0.21,27.79,60.0-70.0
60.0,1991.0,-0.27,-1.26,10.13,-2.68,1.38,-0.11,27.79,60.0-70.0
60.0,1754.0,-0.81,1.01,9.05,1.57,0.1,0.9,27.79,60.0-70.0
60.0,462.0,-0.31,-1.23,9.98,-2.57,1.29,-0.17,27.79,60.0-70.0
60.0,1139.0,-0.63,0.32,9.87,1.7,-0.1,-0.47,27.81,60.0-70.0
60.0,1796.0,-0.05,0.03,9.73,-1.07,-0.34,1.16,27.82,60.0-70.0
60.0,2039.0,-0.59,0.41,9.95,1.86,-0.21,-1.16,27.81,60.0-70.0
60.0,1296.0,-0.04,-0.11,9.76,-1.03,0.02,0.64,27.79,60.0-70.0
60.0,1494.0,-1.13,-0.42,9.63,-0.11,1.53,-1.79,27.82,60.0-70.0
60.0,2690.0,0.04,0.59,10.19,-0.25,-2.95,1.34,27.79,60.0-70.0
60.0,1988.0,-1.03,-0.44,9.63,-0.19,1.3,-1.01,27.8,60.0-70.0
60.0,2162.0,0.12,0.62,10.17,-0.42,-2.57,2.09,27.77,60.0-70.0
60.0,2105.0,-1.13,-1.09,9.79,-2.19,1.79,-0.23,27.79,60.0-70.0
60.0,2398.0,0.37,0.91,9.3,1.57,-0.63,0.89,27.81,60.0-70.0
60.0,1015.0,-1.39,-1.04,9.69,-2.11,1.81,-0.78,27.82,60.0-70.0
60.0,1924.0,0.51,0.86,9.15,1.47,-0.28,0.23,27.8,60.0-70.0
60.0,935.0,0.12,-0.48,9.53,-1.24,1.37,0.35,27.82,60.0-70.0
60.0,1697.0,-0.65,0.5,10.09,1.54,-1.72,-1.07,27.82,60.0-70.0
60.0,1581.0,-0.01,-0.64,9.65,-1.44,1.23,0.23,27.79,60.0-70.0
60.0,1500.0,-0.63,0.61,10.05,1.69,-1.95,-0.38,27.78,60.0-70.0
60.0,1569.0,0.58,0.58,10.37,-0.49,-1.72,1.71,27.8,60.0-70.0
60.0,2021.0,-1.93,-0.06,9.26,0.48,0.89,-0.63,27.8,60.0-70.0
60.0,1885.0,0.92,0.54,10.33,-0.46,-1.69,2.14,27.79,60.0-70.0
60.0,1897.0,-2.09,0.07,9.25,0.77,0.65,-0.76,27.8,60.0-70.0
60.0,2928.0,0.73,0.76,9.46,0.96,-1.55,0.89,27.82,60.0-70.0
60.0,1089.0,-1.37,-1.01,9.51,-1.44,3.35,-1.46,27.79,60.0-70.0
60.0,1569.0,0.67,0.81,9.58,0.9,-1.96,0.35,27.8,60.0-70.0
60.0,631.0,-1.41,-0.98,9.42,-1.3,3.55,-1.91,27.79,60.0-70.0
60.0,1343.0,-1.28,0.9,9.82,1.51,-2.3,-0.41,27.79,60.0-70.0
60.0,1925.0,0.52,-1.17,9.96,-2.02,1.76,-0.02,27.83,60.0-70.0
60.0,741.0,-1.57,0.97,9.74,1.49,-1.72,0.32,27.8,60.0-70.0
60.0,1393.0,0.61,-1.17,9.85,-1.93,2.24,0.52,27.79,60.0-70.0
60.0,918.0,-1.96,0.2,9.3,1.31,1.12,-0.44,27.81,60.0-70.0
60.0,1168.0,0.96,0.39,10.43,-0.95,-2.16,1.98,27.79,60.0-70.0
60.0,1712.0,-1.65,0.29,9.37,1.63,0.77,-0.95,27.79,60.0-70.0
60.0,1415.0,0.89,0.38,10.48,-0.8,-2.34,1.28,27.79,60.0-70.0
60.0,1581.0,-0.68,-0.85,9.48,-0.74,3.5,-1.94,27.8,60.0-70.0
60.0,1837.0,-0.08,0.8,9.81,0.16,-3.06,0.82,27.81,60.0-70.0
60.0,826.0,-0.57,-0.74,9.55,-0.58,3.07,-1.66,27.8,60.0-70.0
