Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
60.0,2098.0,-0.32,0.74,9.58,1.95,-1.39,-2.23,26.86,60.0-70.0
60.0,1138.0,1.04,0.48,10.3,1.02,-3.11,1.25,26.85,60.0-70.0
60.0,657.0,0.31,-0.79,10.03,-1.53,1.33,1.92,26.84,60.0-70.0
60.0,717.0,-1.34,-0.33,9.44,-0.34,0.67,-0.43,26.87,60.0-70.0
60.0,1136.0,0.41,0.63,9.79,0.71,-2.72,3.4,26.84,60.0-70.0
60.0,1411.0,1.27,0.27,10.18,-0.65,0.12,5.46,26.84,60.0-70.0
60.0,881.0,-0.73,-0.29,9.65,-1.04,2.53,-0.44,26.82,60.0-70.0
60.0,1170.0,0.09,1.65,10.02,1.81,-3.02,-1.46,26.85,60.0-70.0
60.0,1040.0,1.06,0.04,10.68,-0.26,-0.78,0.69,26.88,60.0-70.0
60.0,444.0,-0.79,-0.98,9.46,-0.42,2.15,-3.56,26.84,60.0-70.0
60.0,755.0,-0.56,1.36,9.44,1.67,-3.86,-3.17,26.88,60.0-70.0
60.0,1388.0,1.39,-0.17,10.37,-0.57,-1.07,2.88,26.89,60.0-70.0
60.0,445.0,-1.27,-1.46,8.87,-0.6,6.23,-0.44,26.87,60.0-70.0
60.0,624.0,-0.61,1.58,9.05,1.64,-2.12,1.56,26.85,60.0-70.0
60.0,981.0,1.26,-0.74,10.09,-1.82,0.58,5.54,26.84,60.0-70.0
60.0,1226.0,-0.89,-0.33,9.62,0.71,-0.58,-1.02,26.84,60.0-70.0
60.0,1249.0,-0.36,2.71,9.35,2.56,-2.84,1.82,26.86,60.0-70.0
60.0,1016.0,-0.48,-1.69,10.24,-2.9,1.69,-0.27,26.84,60.0-70.0
60.0,1331.0,-0.43,0.44,9.8,1.43,-1.91,-5.75,26.84,60.0-70.0
60.0,1648.0,0.31,0.34,9.76,-0.83,1.86,0.26,26.84,60.0-70.0
60.0,918.0,-0.9,-2.65,9.76,-2.25,3.91,-4.07,26.83,60.0-70.0
60.0,1147.0,1.93,2.17,10.07,2.41,-4.52,0.18,26.85,60.0-70.0
60.0,1007.0,-0.85,-2.35,9.78,-3.51,4.24,2.11,26.84,60.0-70.0
60.0,1872.0,0.26,0.42,10.15,0.5,-6.09,-0.08,26.83,60.0-70.0
60.0,1825.0,3.25,0.95,10.82,0.18,-2.67,5.43,26.85,60.0-70.0
60.0,1155.0,-2.84,-2.22,9.42,-2.11,4.15,-1.53,26.87,60.0-70.0
60.0,1383.0,3.08,3.52,10.67,3.43,-7.77,3.94,26.83,60.0-70.0
60.0,994.0,-3.19,-3.38,8.82,-3.24,8.79,-4.41,26.84,60.0-70.0
60.0,1479.0,-1.56,0.39,9.15,1.43,-4.06,-4.62,26.85,60.0-70.0
60.0,1455.0,2.57,0.19,11.23,-1.06,0.63,0.56,26.83,60.0-70.0
60.0,1904.0,-3.84,0.5,7.86,2.22,3.98,-4.53,26.84,60.0-70.0
60.0,2071.0,5.42,0.39,12.39,-1.35,-7.89,4.75,26.84,60.0-70.0
60.0,1374.0,-2.99,-3.4,8.55,-2.93,11.35,-2.32,26.84,60.0-70.0
60.0,1530.0,1.73,2.33,10.21,0.82,-10.33,4.04,26.84,60.0-70.0
60.0,1082.0,-0.84,-3.19,9.24,-2.64,9.7,0.08,26.84,60.0-70.0
60.0,1616.0,-0.08,1.53,8.94,0.1,-6.23,0.4,26.84,60.0-70.0
60.0,1744.0,3.33,-0.37,12.22,-2.61,-4.85,4.24,26.84,60.0-70.0
60.0,2138.0,-3.32,1.18,7.91,3.14,5.31,-4.68,26.86,60.0-70.0
60.0,2198.0,3.43,-0.51,12.58,-2.68,-7.57,2.3,26.86,60.0-70.0
60.0,1963.0,-2.8,1.49,8.35,3.66,3.36,-4.52,26.85,60.0-70.0
60.0,2192.0,0.96,2.79,9.94,1.58,-8.59,2.32,26.84,60.0-70.0
60.0,1535.0,-1.77,-2.93,8.98,-1.58,6.93,-3.1,26.84,60.0-70.0
60.0,1712.0,1.21,3.05,10.08,1.12,-7.9,4.76,26.84,60.0-70.0
60.0,1136.0,-2.27,-3.17,8.59,-2.07,8.03,-1.36,26.84,60.0-70.0
60.0,1973.0,-1.04,1.75,9.03,1.06,-3.56,-0.06,26.84,60.0-70.0
60.0,614.0,0.57,-2.52,9.91,-1.88,9.41,1.19,26.84,60.0-70.0
60.0,1712.0,-1.14,2.02,9.0,1.44,-4.24,-2.01,26.86,60.0-70.0
60.0,1409.0,0.64,-2.64,10.11,-1.64,9.49,-1.5,26.84,60.0-70.0
60.0,2209.0,-3.37,1.14,8.34,2.68,1.48,-4.5,26.86,60.0-70.0
60.0,2094.0,4.42,-0.37,12.57,-2.1,-7.57,2.99,26.84,60.0-70.0
60.0,1584.0,-3.01,1.29,8.37,2.96,1.42,-3.22,26.86,60.0-70.0
60.0,2140.0,3.69,-0.67,12.7,-2.83,-7.08,5.02,26.86,60.0-70.0
60.0,1637.0,-2.69,-2.28,8.55,0.01,10.19,-2.76,26.87,60.0-70.0
60.0,1600.0,1.76,2.14,9.79,-0.19,-8.18,6.04,26.85,60.0-70.0
60.0,1343.0,-2.94,-1.17,8.9,0.86,8.47,-2.3,26.85,60.0-70.0
60.0,1905.0,2.53,1.59,9.88,-0.16,-6.78,4.84,26.87,60.0-70.0
60.0,1113.0,-0.89,-3.57,8.89,-1.61,10.97,-2.76,26.83,60.0-70.0
60.0,1582.0,1.77,2.92,10.19,1.15,-7.25,0.23,26.85,60.0-70.0
60.0,1254.0,-2.08,-3.52,8.25,-1.16,11.69,-4.97,26.85,60.0-70.0
60.0,1616.0,2.62,2.78,10.53,0.24,-9.2,1.51,26.85,60.0-70.0
