Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
60.0,1513.0,0.02,-0.21,9.81,-0.17,0.01,-0.11,25.17,60.0-70.0
60.0,919.0,-0.01,-0.12,9.74,-0.13,-0.21,0.43,25.15,60.0-70.0
60.0,1641.0,0.14,0.04,9.74,-0.41,-0.22,1.69,25.16,60.0-70.0
60.0,1374.0,0.16,-0.2,9.98,-0.59,-0.19,1.93,25.14,60.0-70.0
60.0,1218.0,-0.02,-0.07,10.0,-0.35,-0.28,1.58,25.16,60.0-70.0
60.0,1297.0,-0.05,0.28,9.8,0.0,-0.1,0.88,25.15,60.0-70.0
60.0,1467.0,0.28,-0.07,10.16,-0.53,-0.94,0.05,25.14,60.0-70.0
60.0,1911.0,0.04,0.05,9.95,-0.01,0.19,-1.3,25.14,60.0-70.0
60.0,1291.0,-0.18,0.2,9.74,0.61,0.65,-2.2,25.14,60.0-70.0
60.0,1342.0,-0.15,-0.1,9.46,-0.07,0.43,-1.47,25.15,60.0-70.0
60.0,1205.0,0.05,-0.04,9.89,0.0,0.14,-0.71,25.15,60.0-70.0
60.0,1232.0,-0.11,-0.11,9.8,0.2,0.18,0.13,25.15,60.0-70.0
60.0,1515.0,-0.15,0.11,9.69,-0.1,0.11,1.66,25.16,60.0-70.0
60.0,1617.0,0.02,-0.07,9.69,-0.41,0.59,2.11,25.18,60.0-70.0
60.0,1296.0,0.08,0.05,10.02,-0.09,0.04,1.3,25.17,60.0-70.0
60.0,1443.0,0.0,0.06,9.8,-0.18,-0.13,0.39,25.15,60.0-70.0
60.0,1645.0,0.07,0.06,9.81,-0.26,0.07,-0.47,25.17,60.0-70.0
60.0,998.0,0.01,0.24,9.51,0.44,0.54,-2.01,25.15,60.0-70.0
60.0,1715.0,-0.05,-0.21,9.66,0.0,-0.24,-2.14,25.16,60.0-70.0
60.0,2076.0,-0.06,-0.1,9.73,-0.04,0.01,-1.0,25.15,60.0-70.0
60.0,1219.0,-0.0,0.15,9.72,0.43,0.3,-0.34,25.14,60.0-70.0
60.0,1375.0,-0.18,0.1,9.7,-0.21,-0.21,1.32,25.15,60.0-70.0
60.0,1367.0,-0.17,0.02,9.55,-0.07,0.45,1.98,25.17,60.0-70.0
60.0,1899.0,-0.19,0.34,9.51,0.35,0.98,1.55,25.16,60.0-70.0
60.0,858.0,-0.47,0.08,9.19,-0.39,0.8,1.14,25.16,60.0-70.0
60.0,1206.0,-0.22,-0.23,9.32,-0.26,-0.21,-0.54,25.15,60.0-70.0
60.0,1363.0,-0.08,0.37,9.61,0.6,1.27,-1.34,25.17,60.0-70.0
60.0,1375.0,-0.21,-0.34,9.62,-0.32,1.04,-1.75,25.17,60.0-70.0
60.0,747.0,0.4,-0.36,10.31,-0.03,-0.34,-2.04,25.16,60.0-70.0
60.0,1437.0,0.13,0.03,10.19,0.03,0.34,-0.54,25.17,60.0-70.0
60.0,1487.0,0.06,-0.04,10.21,-0.32,-1.29,0.51,25.18,60.0-70.0
60.0,1951.0,0.17,0.23,9.64,0.03,-0.19,1.15,25.19,60.0-70.0
60.0,1554.0,-0.22,-0.11,9.47,-0.39,0.69,1.84,25.17,60.0-70.0
60.0,1104.0,-0.02,-0.09,9.81,0.26,0.19,0.94,25.16,60.0-70.0
60.0,1646.0,0.41,0.19,10.0,-0.15,-0.34,0.63,25.17,60.0-70.0
60.0,1855.0,0.11,0.12,9.87,-0.17,-1.2,-0.28,25.14,60.0-70.0
60.0,2072.0,-0.03,0.39,9.44,0.35,-0.08,-1.64,25.16,60.0-70.0
60.0,1203.0,-0.33,-0.23,9.53,-0.3,0.91,-1.66,25.17,60.0-70.0
60.0,699.0,0.38,-0.23,10.49,-0.36,-0.15,-1.44,25.16,60.0-70.0
60.0,1351.0,0.16,-0.01,9.95,-0.1,-0.98,-0.39,25.16,60.0-70.0
60.0,1933.0,-0.54,-0.1,9.43,0.06,0.02,0.82,25.15,60.0-70.0
60.0,2075.0,-0.1,0.09,9.26,0.09,1.27,1.23,25.15,60.0-70.0
60.0,1610.0,-0.57,-0.05,9.57,-0.44,0.75,1.84,25.16,60.0-70.0
60.0,1392.0,-0.24,-0.14,9.28,-0.23,-0.5,0.79,25.17,60.0-70.0
60.0,1036.0,0.26,0.16,10.37,-0.36,-1.59,0.39,25.17,60.0-70.0
60.0,1461.0,0.52,-0.14,10.68,-0.13,-0.02,-1.09,25.15,60.0-70.0
60.0,1729.0,0.31,0.52,9.82,0.28,-0.6,-1.37,25.15,60.0-70.0
60.0,1207.0,0.1,-0.16,10.2,-0.29,-0.37,-1.56,25.17,60.0-70.0
60.0,1630.0,0.39,0.45,10.35,1.01,-0.82,-0.89,25.17,60.0-70.0
60.0,1663.0,-0.81,-0.14,9.11,0.12,2.51,0.24,25.17,60.0-70.0
60.0,1019.0,0.49,-0.33,10.62,-0.29,0.34,0.51,25.16,60.0-70.0
60.0,1328.0,0.04,-0.17,9.74,-0.3,0.92,1.3,25.16,60.0-70.0
60.0,1665.0,-0.73,-0.27,8.84,0.26,2.37,0.95,25.17,60.0-70.0
60.0,1627.0,-0.27,0.06,8.6,-0.06,1.87,0.43,25.16,60.0-70.0
60.0,1100.0,-0.44,0.02,9.48,0.29,2.02,-0.11,25.16,60.0-70.0
60.0,1651.0,-0.08,0.67,9.56,1.6,1.32,-1.23,25.17,60.0-70.0
60.0,1585.0,-0.98,0.1,8.87,0.37,2.66,-1.4,25.17,60.0-70.0
60.0,1426.0,-0.35,0.39,9.38,1.09,0.85,-1.43,25.18,60.0-70.0
60.0,1147.0,0.32,-0.05,9.92,0.22,1.12,-0.65,25.15,60.0-70.0
60.0,911.0,-0.45,-0.27,9.18,0.23,1.98,-0.07,25.17,60.0-70.0
60.0,1255.0,0.1,0.01,8.95,-0.1,1.2,1.26,25.17,60.0-70.0
60.0,1392.0,-0.97,-0.19,8.93,-0.1,1.15,1.26,25.17,60.0-70.0
