Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
60.0,1690.0,1.87,3.02,9.64,2.67,-8.46,-1.01,28.22,60.0-70.0
60.0,1749.0,3.21,-1.18,10.76,-7.45,2.65,7.99,28.24,60.0-70.0
60.0,656.0,-1.17,-2.75,10.01,-2.95,8.7,1.21,28.23,60.0-70.0
60.0,746.0,-3.59,0.56,8.97,7.72,-1.5,-9.32,28.21,60.0-70.0
60.0,1840.0,4.13,3.02,10.96,-1.23,-11.15,4.1,28.22,60.0-70.0
60.0,2096.0,1.35,-2.74,11.24,-8.28,4.05,8.74,28.21,60.0-70.0
60.0,1568.0,-4.74,-3.55,8.1,1.35,10.67,-4.34,28.2,60.0-70.0
60.0,1350.0,-0.14,3.13,8.91,8.04,-6.08,-4.57,28.2,60.0-70.0
60.0,1032.0,4.27,-0.22,11.15,-9.14,-0.4,10.14,28.22,60.0-70.0
60.0,1199.0,-5.77,-4.04,7.61,1.28,11.7,-8.06,28.21,60.0-70.0
60.0,1755.0,-3.34,3.56,8.76,14.17,-1.81,-8.43,28.22,60.0-70.0
60.0,823.0,4.81,4.54,10.01,-2.84,-5.15,10.41,28.2,60.0-70.0
60.0,195.0,-2.31,-5.88,11.86,-7.37,4.95,-4.01,28.22,60.0-70.0
60.0,1200.0,1.18,6.19,9.24,15.99,-10.19,0.1,28.23,60.0-70.0
60.0,2063.0,8.55,6.48,13.27,-1.39,-16.87,13.05,28.22,60.0-70.0
60.0,1379.0,-2.2,-8.83,12.18,-14.3,6.05,-4.52,28.2,60.0-70.0
60.0,942.0,1.54,7.82,9.41,21.02,-3.65,4.01,28.2,60.0-70.0
60.0,2171.0,2.38,3.27,8.7,-8.95,13.59,10.98,28.2,60.0-70.0
60.0,847.0,-5.59,-12.73,9.96,-16.44,7.59,-11.71,28.22,60.0-70.0
60.0,1297.0,6.18,7.85,13.26,17.89,-15.02,6.86,28.22,60.0-70.0
60.0,2926.0,2.33,-2.27,11.54,-16.16,8.72,2.31,28.22,60.0-70.0
60.0,845.0,-5.87,-10.23,11.98,2.07,-7.7,-18.3,28.22,60.0-70.0
60.0,1569.0,7.03,13.32,12.44,17.33,-23.32,12.66,28.21,60.0-70.0
60.0,2544.0,-3.03,-8.61,10.1,-30.22,1.27,-6.13,28.2,60.0-70.0
60.0,656.0,-3.2,3.3,8.26,21.88,-12.54,2.36,28.22,60.0-70.0
60.0,1535.0,3.2,11.37,5.02,-1.07,15.39,16.84,28.21,60.0-70.0
60.0,2925.0,-5.86,-18.23,8.23,-22.82,23.52,-18.82,28.22,60.0-70.0
60.0,0.0,7.63,12.9,14.02,27.05,-6.28,18.07,28.24,60.0-70.0
60.0,1949.0,-1.75,-9.14,10.73,-29.85,1.17,-7.56,28.21,60.0-70.0
60.0,1149.0,0.27,-1.76,18.66,5.96,-52.1,-4.54,28.22,60.0-70.0
60.0,967.0,7.93,26.06,13.66,30.3,8.9,27.53,28.23,60.0-70.0
60.0,2927.0,-3.08,-20.82,13.5,-32.9,-2.34,-22.39,28.22,60.0-70.0
60.0,0.0,10.46,16.89,12.69,31.02,-5.85,22.61,28.23,60.0-70.0
60.0,2925.0,-8.15,-14.45,6.99,-34.64,-2.05,-15.53,28.21,60.0-70.0
60.0,1681.0,-7.33,-18.98,8.54,-2.35,-13.41,-30.13,28.23,60.0-70.0
60.0,2928.0,13.71,24.21,16.61,21.97,12.99,32.08,28.21,60.0-70.0
60.0,2926.0,-7.36,-25.2,5.87,-33.28,-27.11,-26.37,28.21,60.0-70.0
60.0,0.0,3.78,28.01,11.01,34.27,-5.79,31.32,28.21,60.0-70.0
60.0,2928.0,0.36,-10.74,8.24,-21.69,31.94,-12.02,28.21,60.0-70.0
60.0,1362.0,2.48,-2.28,23.14,-0.19,-77.8,-3.44,28.22,60.0-70.0
60.0,2928.0,-0.69,9.76,1.47,1.19,60.4,8.37,28.21,60.0-70.0
60.0,2927.0,-7.74,-17.57,10.87,-0.52,-24.51,-27.2,28.23,60.0-70.0
60.0,0.0,6.4,23.24,8.91,29.28,-3.32,28.18,28.22,60.0-70.0
60.0,2927.0,-14.15,-16.9,-1.67,-17.09,51.28,-25.09,28.21,60.0-70.0
60.0,1175.0,10.77,13.18,18.34,20.38,-8.02,22.21,28.21,60.0-70.0
60.0,2927.0,-8.95,-13.21,1.87,-26.92,28.24,-19.2,28.21,60.0-70.0
60.0,214.0,-9.49,-18.94,9.9,-5.47,-20.35,-24.28,28.21,60.0-70.0
60.0,613.0,13.23,25.67,9.67,21.8,8.32,32.07,28.22,60.0-70.0
60.0,2925.0,-10.72,-26.87,0.72,-29.56,-23.0,-31.84,28.23,60.0-70.0
60.0,575.0,7.22,29.03,13.02,37.85,37.65,31.65,28.24,60.0-70.0
60.0,2405.0,-13.03,-9.84,0.09,-23.14,38.54,-19.29,28.22,60.0-70.0
60.0,2928.0,8.44,7.73,17.16,24.91,-43.05,18.0,28.2,60.0-70.0
60.0,1063.0,0.01,-10.88,18.91,-33.44,-2.8,-14.17,28.22,60.0-70.0
60.0,2928.0,2.86,5.56,11.41,18.02,-63.53,11.38,28.22,60.0-70.0
60.0,0.0,9.75,24.21,8.73,25.87,35.71,27.67,28.22,60.0-70.0
60.0,2925.0,-9.52,-25.32,1.17,-26.02,-15.8,-32.83,28.22,60.0-70.0
60.0,342.0,6.08,23.93,16.51,26.55,29.14,28.6,28.22,60.0-70.0
60.0,2927.0,-3.0,-21.6,2.18,-22.91,-2.72,-27.76,28.19,60.0-70.0
60.0,2926.0,9.55,5.99,15.1,21.37,-41.57,19.07,28.2,60.0-70.0
60.0,1477.0,-6.31,-7.04,11.12,-22.4,1.21,-12.55,28.21,60.0-70.0
60.0,2926.0,7.86,3.14,16.58,12.46,-50.82,13.44,28.19,60.0-70.0
60.0,0.0,-2.41,-4.02,10.19,-10.21,19.84,-10.29,28.21,60.0-70.0
60.0,2927.0,-12.3,-18.55,4.8,-11.8,-3.88,-28.63,28.2,60.0-70.0
60.0,558.0,10.04,18.03,10.98,16.03,16.75,24.57,28.24,60.0-70.0
60.0,2927.0,-10.79,-19.79,1.11,-15.81,-3.29,-29.84,28.23,60.0-70.0
60.0,0.0,10.34,18.1,15.58,16.41,15.77,25.6,28.23,60.0-70.0
60.0,1702.0,-12.0,-7.33,5.85,-14.9,27.84,-15.71,28.2,60.0-70.0
60.0,1385.0,13.7,5.56,18.61,11.15,-51.09,19.95,28.22,60.0-70.0
60.0,1435.0,-12.35,-6.65,4.37,-13.89,23.73,-14.67,28.24,60.0-70.0
60.0,2926.0,12.96,4.9,18.48,12.13,-48.33,17.91,28.22,60.0-70.0
60.0,958.0,-3.22,8.22,3.19,8.37,43.19,6.66,28.2,60.0-70.0
60.0,2927.0,-2.1,-8.65,7.96,-1.03,-18.88,-11.99,28.22,60.0-70.0
60.0,578.0,-1.18,10.19,2.54,8.36,39.83,9.21,28.23,60.0-70.0
