Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
70.0,755.0,-0.92,-3.46,10.41,-3.77,0.2,-2.74,19.57,70.0-80.0
70.0,2362.0,-1.26,-0.41,8.96,-0.71,4.5,-0.42,19.58,70.0-80.0
70.0,2928.0,-0.08,1.44,10.21,0.25,-3.05,0.54,19.56,70.0-80.0
70.0,1954.0,-0.17,2.06,10.81,3.53,-1.39,1.64,19.56,70.0-80.0
70.0,1635.0,-0.15,0.46,9.2,0.97,2.11,-0.59,19.58,70.0-80.0
70.0,942.0,0.13,-1.07,8.94,-0.4,-1.18,-2.39,19.57,70.0-80.0
70.0,1329.0,-0.7,-0.83,9.91,-2.48,2.15,-0.68,19.57,70.0-80.0
70.0,2518.0,0.81,-0.2,9.86,0.3,-0.84,-1.46,19.57,70.0-80.0
70.0,2927.0,0.92,-0.49,12.09,-2.63,-3.53,3.11,19.57,70.0-80.0
70.0,2699.0,-0.34,0.07,10.1,-0.54,-0.99,0.25,19.59,70.0-80.0
70.0,2260.0,-0.32,0.78,10.01,1.78,-3.31,1.75,19.57,70.0-80.0
70.0,1454.0,-0.9,1.57,8.27,2.76,5.8,0.43,19.57,70.0-80.0
70.0,1157.0,-0.57,0.14,9.47,1.23,-2.12,0.01,19.59,70.0-80.0
70.0,931.0,-0.78,1.11,8.54,2.1,7.54,-1.93,19.55,70.0-80.0
70.0,1715.0,-1.65,-1.92,8.91,-1.84,1.92,-2.63,19.57,70.0-80.0
70.0,1349.0,2.22,0.06,11.39,-1.13,-0.6,-0.31,19.59,70.0-80.0
70.0,1389.0,-1.55,-1.77,8.41,-2.37,2.4,-1.73,19.57,70.0-80.0
70.0,1615.0,2.82,0.45,11.52,-0.86,-1.74,0.91,19.6,70.0-80.0
70.0,1099.0,-0.23,-1.35,9.39,-0.57,3.48,-0.79,19.58,70.0-80.0
70.0,1842.0,-0.02,0.78,11.23,-1.13,-8.32,3.46,19.55,70.0-80.0
70.0,1414.0,-0.02,-1.99,10.92,-0.69,2.96,-0.89,19.57,70.0-80.0
70.0,2160.0,-1.29,1.16,9.71,-0.52,-4.01,1.9,19.54,70.0-80.0
70.0,1748.0,1.8,-0.15,10.38,-0.11,-2.73,-1.4,19.57,70.0-80.0
70.0,1561.0,0.22,0.08,9.88,1.34,0.96,0.89,19.56,70.0-80.0
70.0,1727.0,-0.04,-1.23,9.41,-1.41,-4.56,-1.73,19.57,70.0-80.0
70.0,1151.0,1.44,-0.25,11.66,-1.26,-1.62,1.7,19.57,70.0-80.0
70.0,1625.0,0.23,0.32,9.55,1.09,1.62,-0.86,19.57,70.0-80.0
70.0,1261.0,-0.15,0.58,9.59,0.64,-3.66,2.83,19.55,70.0-80.0
70.0,1808.0,0.92,-1.08,9.8,-1.29,-1.83,-0.6,19.56,70.0-80.0
70.0,1697.0,0.97,0.02,11.87,-0.07,-2.87,2.94,19.56,70.0-80.0
70.0,1521.0,-1.19,1.01,8.23,1.4,3.72,-1.0,19.55,70.0-80.0
70.0,1535.0,0.71,0.53,9.41,1.54,-4.9,1.84,19.57,70.0-80.0
70.0,1351.0,1.19,-0.75,10.09,-0.16,0.75,-1.95,19.56,70.0-80.0
70.0,1653.0,-0.17,0.44,10.91,1.09,-2.2,2.02,19.55,70.0-80.0
70.0,1264.0,-0.76,1.21,8.33,1.43,2.43,-1.55,19.57,70.0-80.0
70.0,1401.0,0.47,0.78,9.19,1.29,-2.91,2.01,19.59,70.0-80.0
70.0,2096.0,1.43,-0.5,10.1,-0.05,-1.04,-0.71,19.57,70.0-80.0
70.0,1614.0,-0.12,0.26,11.18,-0.2,-1.53,3.04,19.58,70.0-80.0
70.0,1668.0,-1.03,1.24,7.92,1.4,2.96,-0.97,19.56,70.0-80.0
70.0,1727.0,0.6,0.74,9.43,1.14,-3.83,2.11,19.57,70.0-80.0
70.0,1456.0,1.3,-1.53,9.59,-0.62,-0.69,-1.81,19.56,70.0-80.0
70.0,1445.0,0.72,-0.12,11.62,-0.69,-2.23,1.69,19.56,70.0-80.0
70.0,1609.0,-0.79,0.39,8.86,1.2,2.79,-2.17,19.57,70.0-80.0
70.0,1455.0,-0.14,0.16,9.82,0.38,-4.5,1.85,19.57,70.0-80.0
70.0,2171.0,0.98,-2.33,9.9,-1.97,-1.92,-1.43,19.55,70.0-80.0
70.0,1675.0,0.9,0.63,10.91,-0.81,-0.09,2.59,19.55,70.0-80.0
70.0,1975.0,0.23,-0.31,9.84,0.45,0.24,-0.76,19.57,70.0-80.0
70.0,1645.0,-0.28,0.23,10.8,-0.39,-2.46,2.95,19.57,70.0-80.0
70.0,1180.0,-0.69,-3.07,10.25,-2.87,-3.31,-1.08,19.55,70.0-80.0
70.0,1476.0,0.81,0.93,9.71,-0.88,1.65,1.03,19.55,70.0-80.0
70.0,1535.0,0.66,-1.85,9.69,-0.88,-1.42,-2.01,19.56,70.0-80.0
70.0,1124.0,0.79,0.19,11.36,-0.98,-1.3,1.55,19.55,70.0-80.0
70.0,975.0,-1.15,-3.41,10.87,-3.87,-1.74,-2.08,19.57,70.0-80.0
70.0,1583.0,-0.23,1.19,9.53,-0.02,3.08,-0.07,19.54,70.0-80.0
70.0,1131.0,-0.44,-3.56,10.26,-3.23,-2.23,-1.27,19.54,70.0-80.0
70.0,1361.0,0.71,1.01,9.76,-1.0,0.79,2.08,19.55,70.0-80.0
70.0,1535.0,0.62,-1.5,9.58,-1.9,0.78,-0.34,19.55,70.0-80.0
70.0,1281.0,-0.93,1.57,10.12,0.45,3.84,-0.62,19.53,70.0-80.0
70.0,1530.0,-0.57,-3.48,11.1,-3.87,-1.68,-1.35,19.53,70.0-80.0
70.0,2003.0,-0.67,1.4,9.09,0.18,4.42,-0.42,19.54,70.0-80.0
70.0,1842.0,-0.36,1.35,8.31,2.6,1.89,-0.59,19.55,70.0-80.0
70.0,1927.0,-0.05,2.23,8.2,1.51,3.37,-2.33,19.54,70.0-80.0
70.0,1438.0,0.2,-0.61,9.1,-1.06,0.64,-1.43,19.54,70.0-80.0
70.0,2131.0,-0.83,2.35,9.62,1.49,5.0,-1.12,19.54,70.0-80.0
70.0,2317.0,-0.37,2.09,9.43,4.76,0.88,2.24,19.54,70.0-80.0
70.0,1859.0,0.0,0.59,8.34,0.88,0.05,-1.05,19.55,70.0-80.0
70.0,1984.0,-0.81,1.92,8.54,3.4,2.04,0.97,19.56,70.0-80.0
70.0,2124.0,-0.01,1.7,7.99,1.28,2.59,-1.72,19.55,70.0-80.0
70.0,2173.0,1.17,0.66,10.34,2.22,-4.11,2.01,19.54,70.0-80.0
70.0,2126.0,0.26,-1.61,9.8,-0.3,-1.54,-1.85,19.53,70.0-80.0
70.0,1616.0,0.23,1.88,9.85,4.57,-0.24,1.35,19.54,70.0-80.0
70.0,2001.0,-0.11,-0.06,9.28,0.54,-0.43,-1.98,19.58,70.0-80.0
70.0,2305.0,-0.01,-0.65,11.32,-1.41,-4.64,2.27,19.56,70.0-80.0
70.0,1765.0,-0.18,-3.74,10.51,-3.29,-2.18,-1.08,19.56,70.0-80.0
70.0,1779.0,0.57,0.01,10.44,0.53,-4.44,2.83,19.55,70.0-80.0
70.0,1648.0,0.6,-2.51,10.05,-1.42,-1.74,-0.91,19.56,70.0-80.0
70.0,1040.0,0.47,-0.09,11.0,-2.37,-0.7,1.98,19.54,70.0-80.0
70.0,743.0,-0.13,-3.04,10.75,-3.39,-0.72,-1.69,19.57,70.0-80.0
70.0,529.0,0.24,-0.6,11.37,-1.73,-3.4,1.95,19.55,70.0-80.0
70.0,0.0,-0.89,-3.39,10.96,-3.15,-2.59,-1.7,19.55,70.0-80.0
70.0,591.0,0.14,1.74,8.8,0.36,4.04,0.33,19.55,70.0-80.0
70.0,194.0,0.43,-0.23,8.63,-0.14,0.61,-0.72,19.55,70.0-80.0
70.0,397.0,0.36,0.89,10.4,-1.42,1.1,1.59,19.53,70.0-80.0
70.0,955.0,0.2,-2.15,10.06,-2.8,-0.47,-1.26,19.56,70.0-80.0
70.0,880.0,-1.0,1.64,9.61,0.94,5.07,-0.45,19.55,70.0-80.0
70.0,688.0,-0.47,1.67,8.91,3.66,1.37,1.12,19.54,70.0-80.0
70.0,1078.0,-0.25,1.44,9.07,0.25,4.46,0.18,19.55,70.0-80.0
