Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
70.0,1413.0,-0.4,0.07,8.57,0.84,23.11,-4.86,17.38,70.0-80.0
70.0,1808.0,1.23,1.05,10.44,0.43,-24.33,6.11,17.4,70.0-80.0
70.0,2142.0,-0.64,-0.5,8.3,0.29,22.86,-5.58,17.38,70.0-80.0
70.0,2471.0,1.44,1.03,11.13,0.61,-24.44,5.68,17.39,70.0-80.0
70.0,1525.0,0.11,3.71,11.36,3.01,12.52,-2.11,17.39,70.0-80.0
70.0,1932.0,-0.3,-1.08,8.36,0.92,-11.62,0.69,17.41,70.0-80.0
70.0,2092.0,-0.68,2.49,9.03,2.38,18.49,-4.04,17.38,70.0-80.0
70.0,2672.0,1.62,0.54,10.25,1.13,-20.82,5.82,17.39,70.0-80.0
70.0,2136.0,0.45,4.08,13.44,2.14,6.02,1.0,17.43,70.0-80.0
70.0,2157.0,-1.39,-1.09,7.35,1.25,-8.16,3.17,17.39,70.0-80.0
70.0,2187.0,-0.16,2.06,8.73,1.65,17.74,-3.93,17.39,70.0-80.0
70.0,2689.0,2.37,1.5,11.26,2.32,-22.29,7.76,17.39,70.0-80.0
70.0,1717.0,-0.53,3.68,11.0,2.23,14.44,-3.18,17.4,70.0-80.0
70.0,2154.0,0.57,1.18,10.06,4.02,-18.59,5.5,17.41,70.0-80.0
70.0,2156.0,-1.64,-1.71,6.41,-0.33,25.57,-9.67,17.4,70.0-80.0
70.0,2317.0,1.96,3.2,15.35,0.43,-27.67,8.64,17.38,70.0-80.0
70.0,1775.0,-1.14,-0.43,6.95,-0.01,28.19,-8.67,17.41,70.0-80.0
70.0,2912.0,2.24,3.03,14.8,1.31,-32.17,10.9,17.39,70.0-80.0
70.0,1457.0,-3.01,-6.85,4.48,-4.82,22.16,-7.76,17.4,70.0-80.0
70.0,1790.0,1.58,4.88,15.9,0.09,-9.15,5.12,17.42,70.0-80.0
70.0,1664.0,-3.25,-6.73,4.46,-4.8,24.85,-8.6,17.39,70.0-80.0
70.0,1323.0,1.82,5.11,16.29,0.76,-11.65,4.98,17.39,70.0-80.0
70.0,1534.0,-0.46,-3.4,5.76,-0.27,-7.38,0.07,17.39,70.0-80.0
70.0,1115.0,-0.39,1.48,8.1,1.42,28.08,-8.54,17.39,70.0-80.0
70.0,2297.0,-0.57,-3.38,5.91,-0.35,-6.39,-0.1,17.37,70.0-80.0
70.0,1136.0,-0.83,1.19,7.81,0.75,27.78,-8.51,17.37,70.0-80.0
70.0,2194.0,2.84,3.73,14.99,2.95,-35.88,13.01,17.38,70.0-80.0
70.0,333.0,-3.7,-7.81,3.47,-6.74,25.35,-9.77,17.39,70.0-80.0
70.0,626.0,3.23,4.15,15.75,2.12,-37.87,14.02,17.39,70.0-80.0
70.0,747.0,-3.52,-8.13,2.64,-6.24,26.71,-9.91,17.41,70.0-80.0
70.0,914.0,1.12,6.01,17.29,1.92,-5.52,2.13,17.41,70.0-80.0
70.0,1689.0,-1.29,0.51,6.33,4.03,-16.73,6.37,17.39,70.0-80.0
70.0,848.0,0.87,5.71,16.72,1.67,-3.18,-0.34,17.39,70.0-80.0
70.0,1679.0,-0.87,1.79,7.09,5.62,-18.39,8.49,17.4,70.0-80.0
70.0,208.0,-0.81,-6.58,8.0,-4.97,31.03,-12.73,17.4,70.0-80.0
70.0,1069.0,1.47,6.68,15.43,1.21,-30.14,10.98,17.41,70.0-80.0
70.0,400.0,-1.8,-8.29,7.28,-7.87,28.24,-11.99,17.42,70.0-80.0
70.0,1199.0,-0.26,6.68,16.3,1.56,-21.29,9.13,17.41,70.0-80.0
70.0,1104.0,0.64,-3.81,6.33,-0.15,-3.35,1.08,17.38,70.0-80.0
70.0,672.0,-1.36,-0.21,6.75,-0.17,31.0,-10.48,17.4,70.0-80.0
70.0,1264.0,-0.61,-0.72,6.66,2.32,-12.58,4.31,17.4,70.0-80.0
70.0,133.0,-1.51,-3.7,7.33,-1.36,35.97,-12.98,17.41,70.0-80.0
70.0,1150.0,4.24,6.68,15.64,1.99,-41.5,13.53,17.39,70.0-80.0
70.0,192.0,-0.72,-7.1,8.49,-4.58,34.28,-13.68,17.39,70.0-80.0
70.0,1141.0,0.68,7.01,15.57,1.09,-32.63,11.5,17.39,70.0-80.0
70.0,1377.0,0.81,-6.22,6.12,-1.26,7.76,-2.8,17.38,70.0-80.0
70.0,462.0,-1.07,1.94,6.15,1.25,23.73,-8.67,17.41,70.0-80.0
70.0,1325.0,0.37,-1.94,7.13,1.67,-8.75,3.27,17.4,70.0-80.0
70.0,0.0,-1.92,-2.46,6.58,-0.32,35.61,-11.38,17.42,70.0-80.0
70.0,1478.0,5.18,7.08,15.7,2.31,-40.41,15.17,17.43,70.0-80.0
70.0,1038.0,-0.77,-9.14,2.54,-4.96,20.74,-9.35,17.4,70.0-80.0
70.0,582.0,1.07,7.28,15.82,1.09,-34.95,11.56,17.41,70.0-80.0
70.0,1322.0,0.76,-6.31,5.89,-0.81,8.96,-4.48,17.41,70.0-80.0
70.0,1062.0,-0.87,1.47,6.64,1.07,23.29,-9.96,17.4,70.0-80.0
70.0,1391.0,4.04,6.47,15.83,5.25,-34.45,16.01,17.4,70.0-80.0
70.0,848.0,-1.98,-3.64,7.42,-1.33,33.3,-11.6,17.4,70.0-80.0
70.0,2310.0,4.79,7.2,14.9,2.02,-38.6,15.51,17.4,70.0-80.0
70.0,2110.0,-0.36,-8.48,3.8,-3.74,17.68,-6.65,17.4,70.0-80.0
70.0,1560.0,0.55,3.61,8.9,1.33,14.96,-6.97,17.42,70.0-80.0
70.0,2559.0,1.32,-4.87,6.21,0.44,2.97,-1.84,17.39,70.0-80.0
70.0,210.0,-1.71,0.05,6.07,0.98,28.54,-11.21,17.41,70.0-80.0
70.0,2459.0,5.51,6.84,16.02,4.29,-38.32,15.19,17.41,70.0-80.0
70.0,1634.0,-0.95,-9.55,1.0,-6.99,22.57,-10.87,17.41,70.0-80.0
70.0,1216.0,3.43,7.37,15.15,1.53,-37.71,13.37,17.42,70.0-80.0
70.0,2294.0,-0.3,-7.31,5.35,-2.23,15.07,-5.76,17.39,70.0-80.0
70.0,1852.0,0.23,2.53,6.4,1.16,18.58,-8.02,17.39,70.0-80.0
70.0,2597.0,3.05,6.49,15.83,6.46,-30.07,16.27,17.39,70.0-80.0
70.0,1305.0,-2.45,-2.06,5.83,0.23,32.86,-10.96,17.39,70.0-80.0
70.0,2928.0,6.02,7.01,15.84,2.79,-39.41,15.79,17.38,70.0-80.0
70.0,2647.0,-1.14,-9.5,2.63,-5.58,18.94,-8.87,17.39,70.0-80.0
70.0,2206.0,0.96,3.89,10.69,1.34,13.77,-7.56,17.4,70.0-80.0
70.0,2879.0,0.49,-6.17,6.05,-0.91,7.0,-3.97,17.39,70.0-80.0
70.0,1066.0,-1.1,1.1,6.27,1.18,25.35,-10.66,17.4,70.0-80.0
70.0,1456.0,4.62,7.09,15.86,5.62,-35.58,16.15,17.4,70.0-80.0
70.0,2023.0,-0.77,-9.95,0.9,-8.91,21.84,-9.99,17.37,70.0-80.0
70.0,2080.0,4.06,7.4,15.21,1.71,-38.12,15.24,17.37,70.0-80.0
70.0,2796.0,-0.66,-8.18,4.81,-3.84,15.6,-6.05,17.4,70.0-80.0
70.0,2054.0,0.36,2.81,7.73,0.96,16.67,-8.06,17.42,70.0-80.0
70.0,2625.0,2.29,6.79,14.83,7.77,-30.25,15.46,17.41,70.0-80.0
70.0,0.0,-2.0,-1.26,6.14,0.4,31.71,-11.88,17.41,70.0-80.0
70.0,2925.0,5.85,7.12,15.72,4.21,-38.84,15.24,17.41,70.0-80.0
70.0,1850.0,-1.42,-9.47,1.76,-5.93,22.25,-9.76,17.38,70.0-80.0
70.0,1781.0,1.13,4.06,12.42,0.87,7.47,-5.41,17.42,70.0-80.0
70.0,2815.0,0.33,-6.74,5.79,-1.77,12.17,-4.19,17.41,70.0-80.0
70.0,709.0,-0.37,1.55,6.68,0.54,19.68,-8.78,17.42,70.0-80.0
70.0,1865.0,3.5,6.64,15.5,5.75,-30.57,15.89,17.41,70.0-80.0
70.0,1343.0,-0.38,-9.83,1.05,-9.2,19.2,-10.44,17.39,70.0-80.0
70.0,1264.0,4.88,7.13,15.18,2.29,-36.96,14.69,17.39,70.0-80.0
70.0,1474.0,-0.58,-8.75,4.14,-4.48,16.49,-8.05,17.39,70.0-80.0
70.0,1093.0,0.23,3.97,8.65,1.79,16.24,-7.99,17.37,70.0-80.0
70.0,1567.0,1.92,6.18,13.91,8.55,-29.81,15.13,17.39,70.0-80.0
70.0,0.0,-1.75,0.66,5.62,1.6,28.98,-10.78,17.39,70.0-80.0
70.0,1431.0,5.71,6.7,16.28,4.78,-38.92,16.7,17.41,70.0-80.0
70.0,1135.0,-0.97,-10.28,0.35,-8.56,23.48,-10.41,17.4,70.0-80.0
70.0,229.0,1.19,4.82,15.31,1.09,4.34,-3.43,17.41,70.0-80.0
70.0,2134.0,-0.61,-8.45,5.11,-3.52,18.38,-6.45,17.38,70.0-80.0
70.0,146.0,0.78,3.54,7.36,1.28,13.51,-7.68,17.39,70.0-80.0
70.0,971.0,2.29,6.8,14.81,8.41,-27.08,15.63,17.42,70.0-80.0
70.0,0.0,-0.52,-10.65,1.31,-11.98,18.73,-12.28,17.4,70.0-80.0
70.0,1806.0,6.17,6.92,16.49,4.08,-38.69,15.71,17.38,70.0-80.0
70.0,1562.0,-1.57,-9.99,1.11,-7.41,20.87,-10.31,17.4,70.0-80.0
70.0,478.0,1.71,4.36,13.34,1.25,9.15,-5.76,17.39,70.0-80.0
70.0,1339.0,-0.38,6.76,9.66,10.21,-24.38,14.82,17.44,70.0-80.0
70.0,0.0,0.09,2.71,6.32,1.59,19.07,-8.69,17.42,70.0-80.0
70.0,858.0,3.24,6.91,15.78,7.45,-29.79,16.44,17.37,70.0-80.0
70.0,747.0,-0.46,-10.55,0.76,-11.12,17.94,-10.7,17.39,70.0-80.0
70.0,336.0,0.96,4.54,16.8,1.31,5.13,-2.4,17.4,70.0-80.0
70.0,1350.0,-1.06,-9.56,2.74,-6.16,18.39,-8.49,17.41,70.0-80.0
70.0,949.0,1.16,4.04,11.23,1.19,12.09,-7.13,17.39,70.0-80.0
70.0,979.0,0.49,6.78,11.54,10.16,-25.23,14.58,17.39,70.0-80.0
70.0,0.0,-0.89,-10.74,4.24,-12.69,21.22,-12.49,17.39,70.0-80.0
70.0,2928.0,4.63,6.91,16.02,6.4,-34.19,16.3,17.41,70.0-80.0
70.0,1621.0,-0.73,-10.36,0.51,-10.05,21.14,-10.58,17.4,70.0-80.0
70.0,1744.0,1.18,4.74,16.16,1.3,4.02,-3.14,17.39,70.0-80.0
70.0,2161.0,-0.8,5.79,6.85,9.75,-21.17,13.21,17.39,70.0-80.0
70.0,0.0,0.92,4.08,8.61,1.77,13.16,-7.27,17.39,70.0-80.0
70.0,1375.0,1.63,6.71,13.62,9.14,-26.96,15.85,17.4,70.0-80.0
70.0,1999.0,-0.61,-10.92,2.38,-12.88,19.98,-12.25,17.43,70.0-80.0
70.0,2037.0,0.38,5.61,17.67,2.6,-0.36,-0.28,17.41,70.0-80.0
70.0,2083.0,-1.39,-10.46,0.69,-8.73,22.68,-11.28,17.42,70.0-80.0
70.0,1936.0,1.29,5.03,14.9,1.71,5.62,-4.6,17.41,70.0-80.0
70.0,2342.0,-0.64,6.33,7.68,10.39,-21.55,14.05,17.4,70.0-80.0
70.0,0.0,-0.95,-10.68,7.85,-12.39,21.6,-12.41,17.39,70.0-80.0
70.0,2523.0,2.3,6.74,14.38,8.41,-25.93,16.09,17.41,70.0-80.0
70.0,2642.0,-0.35,-10.56,1.75,-11.98,17.92,-11.45,17.41,70.0-80.0
