Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
70.0,1375.0,0.66,0.28,8.62,0.84,1.53,-0.47,18.61,70.0-80.0
70.0,161.0,-0.16,-1.02,9.76,-2.59,3.62,-2.02,18.64,70.0-80.0
70.0,815.0,-1.16,-0.68,9.14,-1.0,2.69,-0.48,18.62,70.0-80.0
70.0,1856.0,0.6,-1.48,10.54,-3.08,0.41,-0.28,18.62,70.0-80.0
70.0,1462.0,-0.41,0.43,9.78,0.63,-1.3,2.86,18.61,70.0-80.0
70.0,1169.0,0.77,1.15,10.02,2.25,-3.83,2.4,18.64,70.0-80.0
70.0,601.0,-0.48,0.84,9.12,1.57,1.56,1.37,18.62,70.0-80.0
70.0,987.0,-0.08,1.52,9.21,2.73,-1.83,0.45,18.61,70.0-80.0
70.0,661.0,0.56,-1.12,10.32,-2.33,2.49,-2.45,18.61,70.0-80.0
70.0,380.0,-0.85,-0.5,9.36,-0.72,2.27,-1.96,18.63,70.0-80.0
70.0,951.0,0.55,-1.23,10.92,-2.26,0.12,-2.54,18.63,70.0-80.0
70.0,1045.0,-1.03,-0.6,9.78,-1.75,1.01,-0.82,18.62,70.0-80.0
70.0,1618.0,0.94,0.01,10.3,0.83,-4.67,0.76,18.62,70.0-80.0
70.0,1279.0,-0.18,-0.18,9.59,-0.27,0.66,1.95,18.62,70.0-80.0
70.0,1835.0,0.82,-0.13,9.98,0.6,-3.86,1.61,18.62,70.0-80.0
70.0,851.0,0.04,-0.14,9.96,0.05,0.67,1.85,18.6,70.0-80.0
70.0,1159.0,-0.72,0.54,8.99,0.64,0.43,0.16,18.6,70.0-80.0
70.0,1117.0,0.23,0.03,10.47,0.92,1.01,-0.37,18.61,70.0-80.0
70.0,1584.0,-1.05,0.75,9.05,1.1,0.44,-0.91,18.6,70.0-80.0
70.0,1070.0,0.34,0.24,10.38,0.63,-0.76,-0.19,18.6,70.0-80.0
70.0,1484.0,0.04,0.71,9.38,1.36,3.78,-0.34,18.6,70.0-80.0
70.0,1039.0,0.23,0.5,8.94,0.35,0.23,-0.01,18.62,70.0-80.0
70.0,949.0,0.95,0.47,9.99,0.41,0.96,0.69,18.63,70.0-80.0
70.0,863.0,-0.83,-0.68,10.23,-1.4,0.11,0.18,18.63,70.0-80.0
70.0,1104.0,-0.9,0.88,9.23,0.35,0.47,0.76,18.59,70.0-80.0
70.0,856.0,0.09,-0.08,9.88,0.28,1.6,-0.21,18.63,70.0-80.0
70.0,1239.0,-0.32,0.93,9.33,2.08,2.27,-0.24,18.62,70.0-80.0
70.0,1090.0,-0.15,-1.37,10.23,-2.13,-1.6,-1.47,18.6,70.0-80.0
70.0,1499.0,-0.13,0.01,9.78,-0.55,-0.31,-0.98,18.59,70.0-80.0
70.0,629.0,-0.29,-0.19,9.95,0.06,1.88,-1.35,18.6,70.0-80.0
70.0,903.0,-0.91,1.57,9.05,2.37,3.02,-0.1,18.61,70.0-80.0
70.0,924.0,0.32,-1.5,10.5,-3.39,-3.2,-0.63,18.63,70.0-80.0
70.0,624.0,-0.16,0.51,9.62,-0.67,0.64,0.56,18.61,70.0-80.0
