Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
70.0,546.0,-0.34,-2.26,8.85,-2.98,-0.77,-2.14,17.02,70.0-80.0
70.0,1401.0,0.2,2.48,9.19,3.31,5.56,0.08,17.01,70.0-80.0
70.0,1386.0,0.34,-0.85,10.67,0.79,-6.33,1.51,17.03,70.0-80.0
70.0,1393.0,-0.3,-1.46,8.45,-3.33,4.74,-2.82,17.05,70.0-80.0
70.0,1397.0,-0.05,-0.17,10.82,0.71,-6.46,1.42,17.05,70.0-80.0
70.0,1403.0,1.28,-2.46,8.58,-3.53,3.24,-3.23,17.03,70.0-80.0
70.0,1402.0,-0.89,4.09,9.09,3.92,2.94,0.7,17.06,70.0-80.0
70.0,1168.0,1.1,-1.74,11.07,0.41,-4.66,1.1,17.04,70.0-80.0
70.0,2014.0,-0.19,2.73,8.95,3.49,7.74,0.72,17.04,70.0-80.0
70.0,1847.0,0.87,0.31,10.61,0.96,-8.42,3.6,17.03,70.0-80.0
70.0,1258.0,1.67,-4.03,8.67,-4.28,4.26,-2.78,17.02,70.0-80.0
70.0,1380.0,-0.61,3.91,8.48,4.56,4.51,1.27,17.02,70.0-80.0
70.0,1377.0,-0.33,-3.93,8.85,-4.64,-3.81,-3.3,17.04,70.0-80.0
70.0,1758.0,-0.12,0.76,10.45,-0.63,4.48,-0.64,17.02,70.0-80.0
70.0,925.0,-1.35,3.12,12.78,4.76,-3.99,2.52,17.04,70.0-80.0
70.0,1328.0,-2.14,-4.43,9.27,-4.86,-2.97,-3.75,17.02,70.0-80.0
70.0,2432.0,0.18,5.5,9.2,7.18,2.68,3.27,17.02,70.0-80.0
70.0,829.0,1.99,-1.81,9.93,-0.84,-3.98,-0.5,17.02,70.0-80.0
70.0,1454.0,1.2,-3.79,8.16,-5.24,3.84,-2.75,17.04,70.0-80.0
70.0,1890.0,0.54,3.68,9.43,5.0,2.54,3.78,17.05,70.0-80.0
70.0,1634.0,-2.02,-4.53,10.27,-5.39,-2.98,-3.28,17.02,70.0-80.0
70.0,831.0,0.48,-0.42,8.59,-3.07,2.11,0.32,17.0,70.0-80.0
70.0,2000.0,-0.73,5.07,9.41,7.03,3.93,2.38,17.02,70.0-80.0
70.0,1109.0,0.52,-0.87,10.11,0.18,-2.74,-2.08,17.02,70.0-80.0
70.0,807.0,0.18,1.31,9.38,-0.4,2.54,1.66,17.04,70.0-80.0
70.0,1619.0,-1.17,4.36,11.21,5.59,0.54,1.4,17.04,70.0-80.0
70.0,480.0,0.3,-2.29,10.57,-2.29,-5.03,-1.86,17.02,70.0-80.0
70.0,607.0,1.37,-3.57,7.4,-5.41,1.52,-0.76,17.03,70.0-80.0
