Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
80.0,2429.0,7.31,4.01,12.88,4.66,-10.25,3.75,27.2,80.0-90.0
80.0,985.0,-0.54,-3.77,15.5,-5.91,-15.42,0.98,27.22,80.0-90.0
80.0,1504.0,3.38,-3.02,8.73,-10.23,-19.62,-1.54,27.23,80.0-90.0
80.0,1723.0,-2.58,3.52,6.47,11.64,19.89,3.88,27.22,80.0-90.0
80.0,2310.0,4.05,-5.83,11.06,-4.48,8.58,-1.42,27.23,80.0-90.0
80.0,0.0,2.89,-2.32,16.73,-4.29,-5.85,-1.82,27.2,80.0-90.0
80.0,2160.0,7.81,5.0,11.8,3.75,-16.69,4.17,27.2,80.0-90.0
80.0,2150.0,-8.37,-4.43,5.64,-4.58,16.85,-5.0,27.21,80.0-90.0
80.0,167.0,2.93,2.23,8.29,5.35,16.67,-2.21,27.21,80.0-90.0
80.0,2615.0,7.02,3.65,16.54,8.94,-4.72,3.48,27.2,80.0-90.0
80.0,1856.0,-0.18,-5.47,14.57,-11.21,-21.19,-0.64,27.19,80.0-90.0
80.0,2925.0,-1.74,5.56,4.68,10.54,23.15,0.35,27.19,80.0-90.0
80.0,2927.0,5.53,3.14,17.49,10.25,3.12,4.78,27.2,80.0-90.0
80.0,0.0,1.91,-6.36,14.22,-13.89,-22.79,0.09,27.19,80.0-90.0
80.0,2927.0,-6.21,-2.81,1.88,-8.7,-1.49,-2.56,27.2,80.0-90.0
80.0,2927.0,7.65,2.67,17.75,8.02,-1.7,4.38,27.21,80.0-90.0
80.0,0.0,-0.76,-4.84,11.1,-13.31,-22.97,-1.28,27.2,80.0-90.0
80.0,2927.0,-7.32,-3.39,2.57,-6.37,9.39,-4.62,27.2,80.0-90.0
80.0,1472.0,3.47,2.65,12.97,10.31,14.81,-0.26,27.2,80.0-90.0
80.0,1665.0,-5.7,-1.36,4.35,-7.15,-7.45,-2.04,27.2,80.0-90.0
80.0,541.0,-1.7,-5.38,8.2,-6.28,14.88,-4.39,27.19,80.0-90.0
80.0,2926.0,5.75,-0.65,15.2,1.29,-8.0,1.17,27.2,80.0-90.0
80.0,2926.0,-5.07,6.89,5.98,7.82,-5.85,4.44,27.2,80.0-90.0
80.0,0.0,6.95,-7.72,15.65,-11.36,-3.3,-1.89,27.21,80.0-90.0
80.0,2926.0,-0.8,-2.03,7.3,-5.67,-15.04,0.6,27.22,80.0-90.0
80.0,1106.0,-4.27,6.1,5.48,12.81,16.81,2.0,27.18,80.0-90.0
80.0,909.0,5.94,3.03,15.21,5.2,-0.76,1.79,27.19,80.0-90.0
80.0,0.0,-4.68,-4.38,5.74,-6.31,4.94,-3.25,27.2,80.0-90.0
80.0,2926.0,4.16,0.92,14.09,5.95,2.1,-0.06,27.19,80.0-90.0
80.0,1579.0,-2.71,6.54,7.14,7.56,-5.26,2.49,27.2,80.0-90.0
80.0,0.0,-2.02,1.63,8.78,3.57,15.1,-0.7,27.2,80.0-90.0
80.0,2926.0,-0.56,-1.91,7.69,-4.22,-11.89,0.47,27.21,80.0-90.0
80.0,2476.0,-3.16,5.95,6.82,12.42,16.26,2.58,27.19,80.0-90.0
