Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
80.0,80.0,-0.85,2.78,9.06,4.79,1.7,0.49,27.94,80.0-90.0
80.0,1522.0,-0.61,-2.18,10.13,-1.23,0.11,-1.42,27.94,80.0-90.0
80.0,2081.0,1.15,1.47,10.07,0.5,-1.5,1.21,27.94,80.0-90.0
80.0,1671.0,-0.44,1.24,10.19,3.87,0.82,0.41,27.94,80.0-90.0
80.0,741.0,-0.86,-2.75,9.55,-4.2,3.47,0.14,27.97,80.0-90.0
80.0,2267.0,0.7,0.64,9.7,-1.97,-2.3,1.54,27.94,80.0-90.0
80.0,1290.0,-1.41,-1.31,9.59,0.12,-0.66,-1.19,27.94,80.0-90.0
80.0,679.0,-0.92,-2.85,9.61,-5.44,1.14,-1.01,27.95,80.0-90.0
80.0,1602.0,0.9,1.83,9.61,0.68,-2.16,0.41,27.96,80.0-90.0
80.0,901.0,-1.15,3.09,9.44,7.24,1.81,-0.23,27.93,80.0-90.0
80.0,800.0,0.71,-2.34,10.13,-5.13,-0.11,-1.11,27.95,80.0-90.0
80.0,1664.0,1.53,2.68,9.89,2.56,-2.95,1.91,27.95,80.0-90.0
80.0,0.0,-1.83,2.26,9.12,6.43,1.26,1.19,27.94,80.0-90.0
80.0,594.0,-1.93,-3.91,9.91,-6.02,2.83,-1.48,27.95,80.0-90.0
80.0,1891.0,2.22,3.37,10.1,4.11,-3.15,3.43,27.97,80.0-90.0
80.0,0.0,-1.47,1.78,9.1,5.47,-0.47,1.34,27.95,80.0-90.0
80.0,1058.0,-2.48,-3.79,9.37,-6.26,3.26,-2.7,27.95,80.0-90.0
80.0,1083.0,0.17,-1.62,9.93,-3.61,3.38,-1.25,27.94,80.0-90.0
80.0,1359.0,-1.87,1.96,8.86,5.61,-1.05,0.09,27.94,80.0-90.0
80.0,881.0,-2.25,-3.12,9.19,-5.45,2.95,-3.69,27.97,80.0-90.0
