Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
80.0,1714.0,0.41,-4.25,9.87,-7.7,0.33,-2.76,27.79,80.0-90.0
80.0,2629.0,-1.75,2.63,10.98,4.15,-4.28,1.27,27.81,80.0-90.0
80.0,813.0,-0.45,-3.89,10.28,-8.0,0.16,-2.99,27.79,80.0-90.0
80.0,2238.0,2.09,1.93,9.8,0.3,-5.93,3.89,27.8,80.0-90.0
80.0,1424.0,-0.95,-0.77,11.54,1.58,-2.57,-0.27,27.79,80.0-90.0
80.0,1379.0,0.11,1.87,9.43,-1.56,-3.06,3.31,27.79,80.0-90.0
80.0,1740.0,-1.83,2.96,11.21,5.14,-4.46,2.44,27.79,80.0-90.0
80.0,1808.0,-1.34,-4.97,9.62,-9.57,2.07,-5.48,27.8,80.0-90.0
80.0,1691.0,0.84,2.87,9.68,0.73,-3.79,2.72,27.81,80.0-90.0
80.0,947.0,-2.45,-4.35,8.99,-5.41,3.91,-6.15,27.81,80.0-90.0
80.0,2236.0,1.02,-0.83,8.42,-4.28,6.19,-1.88,27.8,80.0-90.0
80.0,1618.0,0.38,6.89,10.3,14.11,-3.56,7.63,27.77,80.0-90.0
80.0,1580.0,-2.23,-5.04,8.92,-5.86,1.21,-5.72,27.8,80.0-90.0
80.0,1463.0,1.31,5.67,11.14,8.68,-4.43,8.3,27.81,80.0-90.0
80.0,1905.0,-1.66,0.79,11.79,4.1,-9.27,1.79,27.79,80.0-90.0
80.0,2493.0,-1.77,-6.87,7.89,-15.2,8.19,-8.42,27.8,80.0-90.0
80.0,821.0,0.27,5.05,10.1,6.13,3.5,6.04,27.79,80.0-90.0
80.0,1245.0,-1.7,-6.18,7.75,-9.07,1.53,-8.26,27.8,80.0-90.0
80.0,2502.0,0.02,-3.14,9.32,-8.4,9.61,-4.43,27.79,80.0-90.0
80.0,62.0,0.97,7.23,11.95,14.83,-8.67,9.61,27.81,80.0-90.0
