Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
80.0,1458.0,-0.0,-0.03,9.81,-0.08,-0.02,-0.0,27.15,80.0-90.0
80.0,624.0,0.0,-0.01,9.81,-0.1,-0.03,0.08,27.16,80.0-90.0
80.0,1281.0,-0.01,-0.04,9.74,-0.07,0.03,0.06,27.17,80.0-90.0
80.0,854.0,0.02,-0.03,9.77,-0.04,0.05,0.03,27.15,80.0-90.0
80.0,845.0,-0.0,-0.03,9.81,-0.14,-0.03,0.02,27.17,80.0-90.0
80.0,1439.0,-0.0,-0.01,9.77,-0.1,-0.08,0.02,27.14,80.0-90.0
80.0,1631.0,0.03,-0.01,9.85,-0.11,-0.05,0.05,27.15,80.0-90.0
80.0,2144.0,-0.01,-0.05,9.75,-0.07,-0.05,0.03,27.15,80.0-90.0
80.0,2141.0,0.02,-0.04,9.8,-0.1,0.01,-0.05,27.14,80.0-90.0
80.0,1392.0,-0.02,-0.0,9.76,-0.1,-0.05,0.03,27.18,80.0-90.0
80.0,1149.0,0.01,-0.03,9.78,-0.05,-0.03,0.11,27.14,80.0-90.0
80.0,1783.0,0.01,-0.03,9.8,-0.14,-0.02,0.09,27.16,80.0-90.0
80.0,1682.0,0.01,-0.04,9.79,-0.05,-0.02,0.06,27.14,80.0-90.0
80.0,1946.0,0.01,-0.02,9.76,-0.04,-0.02,0.02,27.14,80.0-90.0
80.0,1511.0,0.01,-0.01,9.8,-0.07,0.01,0.06,27.15,80.0-90.0
80.0,2162.0,-0.02,-0.01,9.78,-0.08,0.03,0.02,27.15,80.0-90.0
80.0,929.0,0.02,-0.03,9.77,-0.14,-0.03,0.03,27.15,80.0-90.0
80.0,1102.0,0.0,-0.03,9.76,0.01,0.03,-0.03,27.14,80.0-90.0
80.0,1846.0,0.02,-0.02,9.76,-0.07,-0.0,0.05,27.15,80.0-90.0
80.0,1773.0,0.01,-0.04,9.77,-0.11,-0.0,0.08,27.14,80.0-90.0
80.0,1584.0,-0.03,0.0,9.8,-0.1,0.03,0.09,27.14,80.0-90.0
80.0,1930.0,-0.01,-0.06,9.79,-0.13,-0.11,0.2,27.14,80.0-90.0
80.0,2047.0,0.01,-0.06,9.76,-0.16,-0.17,0.12,27.15,80.0-90.0
80.0,1232.0,-0.02,-0.01,9.76,-0.04,0.09,0.14,27.16,80.0-90.0
80.0,1535.0,0.07,0.01,9.78,-0.04,0.09,0.12,27.14,80.0-90.0
80.0,1258.0,0.02,-0.03,9.8,-0.07,-0.03,0.06,27.15,80.0-90.0
80.0,1305.0,0.0,-0.05,9.85,-0.16,-0.06,-0.11,27.15,80.0-90.0
80.0,2423.0,-0.04,-0.01,9.76,-0.07,-0.0,-0.18,27.16,80.0-90.0
80.0,2110.0,0.05,0.01,9.81,-0.1,-0.11,-0.21,27.15,80.0-90.0
80.0,1942.0,-0.01,-0.03,9.78,-0.02,0.01,-0.26,27.14,80.0-90.0
80.0,1744.0,-0.05,-0.06,9.78,-0.16,0.05,-0.29,27.19,80.0-90.0
80.0,1579.0,-0.0,0.01,9.8,0.06,-0.12,-0.27,27.15,80.0-90.0
80.0,330.0,-0.04,-0.06,9.83,-0.05,0.01,-0.21,27.17,80.0-90.0
80.0,1474.0,0.01,-0.07,9.78,-0.23,-0.06,0.34,27.17,80.0-90.0
80.0,2128.0,0.0,-0.04,9.77,-0.16,0.2,0.82,27.17,80.0-90.0
80.0,1987.0,-0.03,-0.05,9.79,-0.26,-0.09,1.04,27.15,80.0-90.0
80.0,1687.0,0.03,0.01,9.78,-0.19,-0.0,0.75,27.17,80.0-90.0
80.0,1631.0,0.05,0.04,9.77,-0.07,0.03,-0.06,27.17,80.0-90.0
80.0,773.0,0.03,0.0,9.84,0.04,-0.0,-0.67,27.15,80.0-90.0
80.0,1557.0,0.01,-0.04,9.75,0.1,0.2,-0.99,27.16,80.0-90.0
80.0,2003.0,-0.02,-0.02,9.76,0.03,0.06,-0.84,27.16,80.0-90.0
80.0,1786.0,0.0,-0.03,9.84,-0.02,-0.11,-0.4,27.14,80.0-90.0
80.0,1273.0,0.02,-0.09,9.73,-0.16,-0.05,0.21,27.15,80.0-90.0
80.0,1328.0,0.01,-0.04,9.83,-0.13,0.01,0.6,27.15,80.0-90.0
80.0,1759.0,0.02,-0.04,9.79,-0.19,0.01,0.95,27.14,80.0-90.0
80.0,1703.0,-0.01,-0.01,9.78,-0.2,-0.03,0.88,27.16,80.0-90.0
80.0,1467.0,0.03,0.02,9.82,-0.14,-0.06,0.41,27.15,80.0-90.0
80.0,865.0,0.04,0.01,9.8,-0.08,-0.02,-0.03,27.15,80.0-90.0
80.0,2194.0,0.01,-0.02,9.78,-0.05,-0.05,-0.72,27.13,80.0-90.0
80.0,867.0,-0.0,-0.02,9.81,0.03,0.01,-0.93,27.16,80.0-90.0
80.0,1054.0,-0.01,-0.06,9.79,0.03,-0.06,-0.76,27.15,80.0-90.0
80.0,1710.0,-0.01,-0.08,9.79,-0.04,-0.06,-0.46,27.16,80.0-90.0
80.0,1047.0,0.02,-0.06,9.81,-0.1,-0.06,0.23,27.15,80.0-90.0
80.0,1232.0,0.0,-0.02,9.81,-0.17,0.03,0.82,27.16,80.0-90.0
80.0,881.0,-0.01,-0.02,9.78,-0.23,0.05,1.01,27.14,80.0-90.0
80.0,1211.0,0.0,0.03,9.75,-0.19,-0.11,0.9,27.16,80.0-90.0
80.0,1885.0,0.05,0.0,9.78,-0.11,-0.06,0.4,27.14,80.0-90.0
80.0,1407.0,0.04,0.0,9.87,-0.05,-0.02,-0.32,27.16,80.0-90.0
80.0,1901.0,0.01,0.02,9.79,-0.05,-0.0,-0.82,27.14,80.0-90.0
80.0,1456.0,-0.03,-0.06,9.78,0.01,0.06,-0.95,27.14,80.0-90.0
80.0,1117.0,-0.01,-0.03,9.8,-0.02,-0.14,-0.72,27.17,80.0-90.0
80.0,959.0,0.01,-0.06,9.83,-0.1,-0.09,-0.15,27.17,80.0-90.0
80.0,1456.0,-0.01,-0.08,9.82,-0.14,-0.0,0.46,27.15,80.0-90.0
80.0,2531.0,0.01,-0.06,9.82,-0.19,-0.02,0.79,27.15,80.0-90.0
80.0,1226.0,-0.01,-0.05,9.78,-0.17,0.08,0.96,27.13,80.0-90.0
80.0,1583.0,0.01,-0.01,9.8,-0.2,-0.05,0.66,27.14,80.0-90.0
80.0,1296.0,0.03,0.01,9.81,-0.1,-0.08,0.11,27.15,80.0-90.0
80.0,877.0,0.01,-0.0,9.82,-0.05,-0.03,-0.31,27.15,80.0-90.0
80.0,1319.0,0.0,-0.02,9.8,-0.04,-0.0,-0.78,27.17,80.0-90.0
80.0,573.0,-0.01,-0.05,9.79,-0.04,-0.02,-0.95,27.17,80.0-90.0
80.0,1595.0,-0.02,-0.06,9.78,-0.1,0.01,-0.61,27.16,80.0-90.0
80.0,1739.0,0.02,-0.02,9.79,-0.07,-0.02,-0.12,27.15,80.0-90.0
80.0,1179.0,0.0,-0.05,9.83,-0.22,0.01,0.46,27.15,80.0-90.0
80.0,987.0,0.0,-0.03,9.82,-0.19,-0.05,0.9,27.16,80.0-90.0
80.0,511.0,-0.02,-0.0,9.8,-0.23,-0.14,0.88,27.15,80.0-90.0
80.0,671.0,0.05,-0.01,9.8,-0.17,0.03,0.69,27.15,80.0-90.0
80.0,955.0,0.03,-0.01,9.81,-0.16,-0.09,0.08,27.14,80.0-90.0
80.0,1210.0,0.03,-0.0,9.77,-0.07,-0.02,-0.53,27.15,80.0-90.0
80.0,243.0,-0.01,-0.03,9.79,0.04,-0.02,-0.89,27.14,80.0-90.0
80.0,2009.0,-0.01,-0.05,9.81,0.09,0.05,-0.92,27.16,80.0-90.0
80.0,1282.0,-0.03,-0.05,9.81,-0.05,-0.03,-0.52,27.17,80.0-90.0
80.0,1632.0,0.01,-0.04,9.79,-0.02,-0.05,0.06,27.17,80.0-90.0
80.0,1483.0,-0.02,-0.02,9.8,-0.1,0.05,0.69,27.15,80.0-90.0
80.0,1698.0,-0.01,-0.02,9.82,-0.13,-0.02,0.95,27.16,80.0-90.0
80.0,1088.0,-0.0,0.02,9.78,-0.16,0.03,0.93,27.16,80.0-90.0
80.0,1979.0,0.04,0.0,9.8,-0.22,-0.05,0.43,27.15,80.0-90.0
80.0,720.0,0.02,-0.01,9.83,-0.14,-0.08,-0.14,27.15,80.0-90.0
80.0,1529.0,0.03,0.0,9.8,-0.04,0.03,-0.6,27.17,80.0-90.0
80.0,1719.0,0.01,-0.05,9.78,0.01,0.08,-0.85,27.15,80.0-90.0
80.0,678.0,0.02,-0.05,9.78,-0.05,-0.02,-0.75,27.15,80.0-90.0
80.0,1104.0,0.01,-0.1,9.81,-0.08,-0.0,-0.24,27.13,80.0-90.0
80.0,1007.0,0.02,-0.05,9.82,-0.11,0.03,0.14,27.17,80.0-90.0
