Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
80.0,2010.0,-6.3,27.1,33.3,19.21,-33.97,36.74,26.27,80.0-90.0
80.0,2924.0,-15.05,0.23,13.19,-6.89,-123.09,25.33,26.27,80.0-90.0
80.0,0.0,-28.71,-16.36,-24.84,-16.68,156.07,-48.95,26.27,80.0-90.0
80.0,736.0,-14.29,8.16,9.86,31.89,139.25,-11.75,26.29,80.0-90.0
80.0,2924.0,16.86,-19.8,-7.47,-13.35,-53.56,-18.75,26.29,80.0-90.0
80.0,1442.0,-18.54,-13.92,3.49,-39.03,115.63,-49.24,26.29,80.0-90.0
80.0,2926.0,-15.68,28.39,28.52,23.7,-18.56,26.5,26.26,80.0-90.0
80.0,2927.0,10.38,19.86,21.14,18.77,-151.73,60.36,26.27,80.0-90.0
80.0,2012.0,-3.56,-16.2,6.26,-24.06,119.86,-54.49,26.27,80.0-90.0
80.0,2777.0,-8.72,29.5,38.56,14.86,-66.79,39.14,26.27,80.0-90.0
80.0,2926.0,0.82,18.71,14.41,16.02,-142.94,61.94,26.28,80.0-90.0
80.0,2435.0,4.71,-28.48,-27.28,-12.01,91.57,-37.72,26.28,80.0-90.0
80.0,0.0,-7.68,26.13,35.96,14.41,-58.37,32.41,26.28,80.0-90.0
80.0,2926.0,12.56,25.95,28.69,25.68,-162.8,74.68,26.3,80.0-90.0
80.0,2000.0,10.71,-27.86,-19.98,-13.9,37.29,-27.73,26.28,80.0-90.0
80.0,0.0,-13.34,-25.29,-3.3,-44.43,117.74,-71.12,26.28,80.0-90.0
80.0,817.0,36.96,30.83,50.88,31.36,-206.91,89.58,26.27,80.0-90.0
80.0,2927.0,13.6,-15.12,-10.55,-7.75,-63.68,3.04,26.28,80.0-90.0
80.0,0.0,-21.83,-29.35,-31.76,-42.37,146.53,-72.34,26.29,80.0-90.0
80.0,1388.0,-9.38,-7.32,5.09,21.47,196.01,-58.76,26.3,80.0-90.0
80.0,2925.0,-1.18,7.13,-0.51,1.21,-153.82,52.22,26.3,80.0-90.0
80.0,2603.0,-13.32,-30.67,-39.98,-13.93,162.77,-52.25,26.29,80.0-90.0
80.0,902.0,1.17,-24.57,7.16,-32.04,164.31,-77.82,26.31,80.0-90.0
80.0,2927.0,-22.99,27.04,26.82,23.0,-17.27,12.85,26.29,80.0-90.0
80.0,2927.0,11.8,-21.3,-22.64,-2.33,28.05,-6.3,26.28,80.0-90.0
80.0,501.0,-8.71,-30.38,-28.1,-53.4,137.83,-72.56,26.27,80.0-90.0
80.0,0.0,-17.37,-3.69,6.84,20.16,213.07,-55.08,26.27,80.0-90.0
80.0,2927.0,28.92,35.55,64.93,18.8,-225.14,75.06,26.29,80.0-90.0
80.0,2926.0,-13.38,-35.18,-36.25,-19.82,157.3,-53.89,26.29,80.0-90.0
80.0,2927.0,2.86,-28.92,6.99,-43.59,161.94,-80.83,26.28,80.0-90.0
80.0,2691.0,-25.35,19.75,19.15,25.7,56.5,-7.1,26.29,80.0-90.0
80.0,2925.0,33.99,35.52,65.48,30.75,-227.74,100.74,26.28,80.0-90.0
80.0,769.0,-14.12,-35.96,-36.95,-50.34,142.96,-76.0,26.27,80.0-90.0
80.0,2926.0,-10.22,-15.61,15.02,-0.56,202.96,-67.78,26.28,80.0-90.0
80.0,1914.0,8.66,29.34,45.97,15.38,-129.81,40.86,26.26,80.0-90.0
80.0,2241.0,1.24,38.03,35.24,33.14,-187.32,99.76,26.27,80.0-90.0
80.0,0.0,-1.18,-30.54,-12.84,-57.86,124.13,-84.79,26.29,80.0-90.0
80.0,0.0,-22.14,0.55,12.49,21.27,136.11,-42.86,26.27,80.0-90.0
80.0,2209.0,38.62,31.9,70.63,20.04,-229.89,73.62,26.27,80.0-90.0
80.0,2769.0,-6.84,23.05,0.04,18.79,-154.66,76.93,26.28,80.0-90.0
80.0,2926.0,-1.56,-26.56,10.53,-36.42,162.43,-84.81,26.27,80.0-90.0
80.0,0.0,-14.46,17.14,24.02,19.66,-20.26,-0.99,26.27,80.0-90.0
80.0,2931.0,36.57,31.87,70.65,29.64,-240.37,92.58,26.28,80.0-90.0
80.0,2927.0,7.28,-2.11,-19.08,1.13,-100.2,44.33,26.28,80.0-90.0
80.0,2928.0,-12.2,-14.64,15.9,1.42,186.37,-72.46,26.29,80.0-90.0
80.0,2927.0,13.5,28.46,47.19,15.22,-174.16,41.05,26.31,80.0-90.0
80.0,1475.0,13.25,32.92,45.02,38.03,-205.51,90.62,26.3,80.0-90.0
80.0,1633.0,10.21,-17.31,-21.87,-2.39,3.92,3.83,26.29,80.0-90.0
80.0,1333.0,-23.61,2.92,11.51,24.74,136.0,-47.94,26.27,80.0-90.0
80.0,2046.0,36.27,30.23,67.42,19.53,-246.14,73.82,26.29,80.0-90.0
80.0,1678.0,1.1,24.47,8.88,28.32,-159.36,76.11,26.29,80.0-90.0
80.0,0.0,-6.0,-28.52,-25.58,-9.73,108.06,-32.65,26.3,80.0-90.0
80.0,0.0,-20.97,19.84,21.43,26.35,-5.33,-4.27,26.29,80.0-90.0
80.0,408.0,33.79,34.51,66.26,34.37,-233.03,95.37,26.28,80.0-90.0
80.0,2926.0,10.33,4.92,-15.31,12.18,-101.59,47.24,26.28,80.0-90.0
80.0,2559.0,-21.22,-34.96,-33.28,-23.39,160.89,-60.44,26.28,80.0-90.0
80.0,0.0,1.23,31.64,43.83,18.44,-146.52,34.87,26.26,80.0-90.0
80.0,2926.0,12.13,34.7,40.1,40.85,-196.9,95.89,26.28,80.0-90.0
80.0,2927.0,13.63,-9.89,-22.9,0.55,-7.97,16.31,26.29,80.0-90.0
80.0,2927.0,-15.62,-34.52,-37.04,-45.47,150.7,-72.78,26.28,80.0-90.0
80.0,1995.0,29.29,34.68,64.1,20.63,-226.84,74.6,26.31,80.0-90.0
80.0,734.0,-0.46,29.19,6.91,31.73,-152.86,86.35,26.28,80.0-90.0
80.0,990.0,1.93,-22.01,-23.97,-5.92,82.4,-18.25,26.28,80.0-90.0
