Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
90.0,1008.0,2.74,7.58,11.78,16.55,-30.13,14.68,28.43,90.0-100.0
90.0,1437.0,-4.82,-3.54,4.32,-8.38,16.04,-8.32,28.42,90.0-100.0
90.0,1377.0,-3.69,-6.92,9.92,-17.48,25.43,-12.51,28.42,90.0-100.0
90.0,0.0,2.98,6.88,10.68,15.41,-26.59,14.19,28.43,90.0-100.0
90.0,1337.0,-4.68,-4.18,4.24,-10.53,18.24,-8.41,28.41,90.0-100.0
90.0,304.0,-3.73,-7.06,9.92,-17.06,25.4,-12.42,28.43,90.0-100.0
90.0,1040.0,4.81,3.07,14.45,10.4,-16.78,8.29,28.39,90.0-100.0
90.0,1132.0,-6.02,-2.29,2.84,-8.03,19.45,-7.75,28.43,90.0-100.0
90.0,1455.0,-1.87,-7.96,8.01,-16.36,32.84,-17.04,28.41,90.0-100.0
90.0,2139.0,3.83,-1.02,15.88,2.02,-13.97,0.2,28.43,90.0-100.0
90.0,802.0,-0.4,8.54,13.88,15.3,-35.1,15.69,28.42,90.0-100.0
90.0,1203.0,-0.65,-7.21,6.54,-15.97,31.49,-14.71,28.42,90.0-100.0
90.0,590.0,-2.77,-5.24,11.85,-8.63,9.8,-8.47,28.42,90.0-100.0
90.0,1462.0,5.35,2.59,16.56,8.13,-27.32,9.7,28.39,90.0-100.0
90.0,0.0,-1.25,8.27,10.74,13.24,-28.97,15.46,28.4,90.0-100.0
90.0,2842.0,0.72,-7.31,8.34,-12.64,31.04,-13.21,28.41,90.0-100.0
90.0,657.0,-1.24,-3.84,13.52,-7.16,-5.21,-5.49,28.4,90.0-100.0
90.0,1916.0,4.07,3.2,15.29,9.09,-24.16,7.78,28.41,90.0-100.0
90.0,0.0,-0.97,8.01,10.25,13.0,-24.93,12.41,28.41,90.0-100.0
90.0,2131.0,0.68,-7.06,8.53,-11.39,29.32,-14.43,28.4,90.0-100.0
90.0,1450.0,-2.21,-4.11,12.8,-7.67,-2.42,-7.42,28.43,90.0-100.0
90.0,2531.0,4.61,1.54,16.1,6.11,-23.14,6.26,28.43,90.0-100.0
90.0,299.0,-1.36,7.87,10.19,13.1,-25.34,14.22,28.42,90.0-100.0
90.0,1863.0,0.95,-6.49,7.96,-11.82,27.14,-11.14,28.41,90.0-100.0
90.0,2303.0,-3.88,-5.22,10.95,-9.3,8.55,-8.38,28.42,90.0-100.0
90.0,1609.0,5.06,-1.02,16.82,0.73,-21.02,2.88,28.4,90.0-100.0
90.0,1128.0,-1.16,6.75,11.14,12.69,-24.21,12.16,28.42,90.0-100.0
90.0,754.0,-0.85,-4.69,6.23,-10.7,22.44,-9.6,28.41,90.0-100.0
90.0,1712.0,-3.0,-6.28,9.38,-9.97,23.03,-13.11,28.41,90.0-100.0
90.0,647.0,2.27,-3.36,15.06,-5.88,-14.89,-4.17,28.41,90.0-100.0
90.0,2366.0,1.93,3.45,13.96,9.36,-21.1,7.69,28.41,90.0-100.0
90.0,245.0,-3.97,-1.37,4.33,-6.43,17.02,-4.2,28.41,90.0-100.0
90.0,2677.0,0.23,-6.21,8.13,-10.56,28.46,-11.47,28.41,90.0-100.0
90.0,656.0,-3.09,-5.12,11.35,-9.92,4.36,-8.06,28.42,90.0-100.0
90.0,2247.0,4.77,-1.21,16.75,0.51,-20.38,2.69,28.42,90.0-100.0
90.0,764.0,-1.5,2.37,4.24,2.18,10.15,3.1,28.42,90.0-100.0
90.0,1097.0,-1.35,-3.83,5.72,-9.3,21.96,-7.89,28.4,90.0-100.0
90.0,1984.0,-2.38,-6.14,9.12,-10.12,24.97,-12.85,28.41,90.0-100.0
90.0,1586.0,0.7,-4.15,13.75,-8.11,-10.32,-6.33,28.43,90.0-100.0
90.0,2363.0,0.98,5.78,8.52,9.49,-6.89,8.68,28.41,90.0-100.0
90.0,0.0,-3.48,0.23,4.14,-3.0,14.09,-1.56,28.39,90.0-100.0
90.0,2595.0,0.18,-5.18,6.8,-10.0,26.66,-10.27,28.4,90.0-100.0
90.0,432.0,-3.74,-5.89,10.08,-10.58,16.24,-10.68,28.41,90.0-100.0
90.0,2928.0,-1.18,7.82,9.94,13.38,-21.22,13.72,28.42,90.0-100.0
90.0,622.0,0.73,4.31,6.54,6.42,0.5,7.52,28.4,90.0-100.0
90.0,2319.0,-3.53,-1.44,4.5,-5.91,17.68,-3.49,28.42,90.0-100.0
90.0,2448.0,-0.05,-5.74,7.8,-9.88,28.66,-11.76,28.41,90.0-100.0
90.0,1647.0,0.51,4.78,12.36,11.55,-20.55,9.06,28.44,90.0-100.0
90.0,2928.0,-0.45,7.51,9.9,12.51,-18.06,11.73,28.42,90.0-100.0
90.0,496.0,-0.38,3.06,5.13,3.81,6.42,3.66,28.4,90.0-100.0
90.0,2640.0,-2.52,-2.73,5.15,-8.0,20.12,-6.35,28.43,90.0-100.0
90.0,776.0,4.42,-1.38,16.61,0.32,-19.34,1.45,28.42,90.0-100.0
90.0,2926.0,-0.72,6.13,11.13,12.72,-21.32,11.51,28.38,90.0-100.0
90.0,1282.0,0.39,6.81,9.59,10.95,-13.91,12.02,28.39,90.0-100.0
90.0,2326.0,-1.85,1.91,4.53,0.93,10.2,2.66,28.42,90.0-100.0
90.0,2475.0,-0.44,-4.75,12.82,-9.44,-5.39,-6.77,28.43,90.0-100.0
90.0,1744.0,4.08,0.16,16.25,3.79,-19.97,3.6,28.42,90.0-100.0
90.0,2435.0,-1.45,7.09,10.32,13.7,-22.12,11.75,28.4,90.0-100.0
90.0,0.0,0.89,5.99,8.83,9.76,-8.98,9.38,28.39,90.0-100.0
90.0,2188.0,-2.81,-6.17,9.45,-10.56,22.07,-12.73,28.4,90.0-100.0
