Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
90.0,0.0,2.79,-2.38,8.36,-2.4,-7.52,-0.18,17.91,90.0-100.0
90.0,2462.0,3.62,2.62,12.93,2.56,0.5,1.15,17.89,90.0-100.0
90.0,2398.0,-1.96,-2.09,10.75,-0.34,-8.07,0.21,17.9,90.0-100.0
90.0,625.0,-0.52,-1.07,3.51,-0.33,10.48,-5.59,17.9,90.0-100.0
90.0,1182.0,2.98,3.29,11.65,4.21,-12.12,3.21,17.87,90.0-100.0
90.0,2321.0,-0.92,-3.15,9.47,0.09,4.23,-1.11,17.9,90.0-100.0
90.0,918.0,-3.19,-2.55,10.61,-5.73,9.31,-2.91,17.91,90.0-100.0
90.0,454.0,-0.59,4.95,11.92,6.02,-9.96,5.35,17.91,90.0-100.0
90.0,1727.0,-0.49,-2.84,4.84,-1.78,13.49,-3.79,17.89,90.0-100.0
90.0,1567.0,1.68,1.49,11.43,-0.92,0.87,1.26,17.91,90.0-100.0
90.0,385.0,1.29,3.92,12.45,5.09,-12.16,4.55,17.91,90.0-100.0
90.0,1477.0,-1.07,-3.74,7.9,-1.85,5.13,-2.39,17.91,90.0-100.0
90.0,1968.0,-0.89,4.61,13.97,5.47,-6.71,1.91,17.89,90.0-100.0
90.0,0.0,-0.17,1.42,10.67,2.89,-9.72,2.91,17.89,90.0-100.0
90.0,1392.0,-2.24,-4.59,6.81,-2.61,12.76,-4.52,17.89,90.0-100.0
90.0,1518.0,-0.12,-2.24,11.2,-5.73,5.34,-3.17,17.89,90.0-100.0
90.0,575.0,-0.58,0.05,8.96,0.57,-5.72,3.7,17.92,90.0-100.0
90.0,1439.0,-2.74,-4.88,6.4,-3.53,15.98,-4.19,17.91,90.0-100.0
90.0,1619.0,1.17,-0.97,11.46,-3.23,1.68,-0.83,17.89,90.0-100.0
90.0,1270.0,0.54,6.25,12.4,8.23,-14.59,6.17,17.89,90.0-100.0
90.0,1793.0,-3.06,-4.85,6.87,-3.5,16.43,-6.19,17.89,90.0-100.0
90.0,1323.0,1.37,0.08,11.39,-1.33,-0.18,-1.85,17.89,90.0-100.0
90.0,1663.0,0.41,6.54,12.46,7.91,-14.54,4.68,17.91,90.0-100.0
90.0,2005.0,-0.8,-1.19,8.2,-2.14,-1.66,0.6,17.89,90.0-100.0
90.0,0.0,1.37,0.03,11.29,-1.53,-0.24,-1.49,17.89,90.0-100.0
90.0,1968.0,0.39,6.4,12.78,7.18,-14.68,6.07,17.9,90.0-100.0
90.0,2655.0,-1.14,-1.2,8.2,-2.31,-1.65,2.36,17.89,90.0-100.0
90.0,0.0,-3.79,-5.64,7.42,-4.13,16.07,-5.17,17.9,90.0-100.0
90.0,2613.0,0.3,6.52,12.88,7.7,-14.79,6.29,17.89,90.0-100.0
90.0,1459.0,-1.36,-0.86,8.63,-1.61,-1.94,1.56,17.89,90.0-100.0
90.0,350.0,-3.49,-5.66,7.12,-3.24,16.77,-6.46,17.9,90.0-100.0
90.0,1975.0,1.25,-0.95,11.35,-1.93,0.98,-2.78,17.91,90.0-100.0
90.0,427.0,-1.41,0.25,8.53,-0.22,-2.3,1.98,17.88,90.0-100.0
90.0,1202.0,-3.49,-5.51,7.19,-3.56,16.68,-5.62,17.91,90.0-100.0
90.0,1642.0,1.5,-1.86,11.45,-3.77,1.43,-2.54,17.89,90.0-100.0
90.0,2239.0,0.02,6.96,12.75,6.95,-14.79,5.94,17.89,90.0-100.0
90.0,1985.0,-2.28,-5.75,6.71,-4.09,16.01,-4.66,17.88,90.0-100.0
90.0,0.0,1.56,-2.51,11.46,-4.34,2.41,-3.46,17.91,90.0-100.0
90.0,1869.0,-0.54,6.4,13.91,6.75,-14.73,5.0,17.91,90.0-100.0
90.0,1609.0,-0.74,2.33,8.6,3.37,-2.53,3.14,17.9,90.0-100.0
90.0,0.0,1.43,-3.7,10.97,-5.16,2.93,-5.87,17.88,90.0-100.0
90.0,2007.0,-0.8,6.61,13.37,6.95,-12.6,3.79,17.92,90.0-100.0
90.0,0.0,0.08,4.18,9.18,5.06,-4.39,4.49,17.9,90.0-100.0
90.0,783.0,2.15,-6.34,5.97,-5.36,10.18,-2.89,17.91,90.0-100.0
90.0,1162.0,-1.52,5.43,13.46,4.43,-9.78,4.42,17.91,90.0-100.0
90.0,1578.0,0.8,5.6,10.34,6.85,-5.77,7.19,17.92,90.0-100.0
90.0,791.0,2.77,-5.09,5.9,-5.22,5.23,-0.54,17.92,90.0-100.0
90.0,0.0,-2.3,-5.72,7.35,-5.65,9.69,-7.26,17.88,90.0-100.0
90.0,2064.0,1.04,7.04,11.85,8.54,-9.22,6.22,17.89,90.0-100.0
90.0,1586.0,0.92,-3.93,7.32,-5.22,0.26,-0.92,17.92,90.0-100.0
90.0,0.0,-4.34,-5.87,6.92,-3.87,14.02,-7.93,17.91,90.0-100.0
90.0,2698.0,2.02,1.29,10.77,0.86,-0.9,-1.21,17.9,90.0-100.0
90.0,0.0,-1.02,-1.6,8.32,-3.15,-1.71,1.11,17.9,90.0-100.0
90.0,193.0,-4.7,-6.22,6.93,-4.0,16.74,-6.34,17.91,90.0-100.0
90.0,1301.0,2.25,-0.73,11.04,-2.36,1.04,-1.75,17.91,90.0-100.0
90.0,1443.0,0.29,7.48,13.29,7.44,-16.27,6.92,17.92,90.0-100.0
90.0,1218.0,-3.79,-6.42,6.86,-3.61,17.12,-5.38,17.91,90.0-100.0
90.0,0.0,2.31,-2.64,11.9,-4.49,1.53,-3.67,17.9,90.0-100.0
90.0,1659.0,-0.47,7.13,13.18,7.67,-14.37,5.24,17.91,90.0-100.0
90.0,1755.0,-1.17,2.29,9.02,2.3,-3.62,3.65,17.92,90.0-100.0
90.0,0.0,1.28,-3.73,11.2,-5.62,2.98,-5.24,17.91,90.0-100.0
90.0,2379.0,-1.27,6.69,13.74,7.3,-13.43,4.49,17.92,90.0-100.0
90.0,599.0,0.27,3.47,9.58,3.66,-3.82,4.55,17.89,90.0-100.0
90.0,448.0,0.7,-5.46,6.0,-3.48,12.24,-3.2,17.89,90.0-100.0
90.0,1895.0,-1.88,6.11,13.48,6.42,-10.01,4.08,17.9,90.0-100.0
90.0,1002.0,0.84,4.43,10.3,4.76,-6.39,5.84,17.92,90.0-100.0
90.0,1101.0,1.78,-5.31,6.37,-4.25,7.71,-2.11,17.92,90.0-100.0
90.0,688.0,0.28,-5.52,7.43,-6.78,7.9,-7.19,17.9,90.0-100.0
90.0,1395.0,1.86,5.67,10.89,6.65,-7.32,5.78,17.89,90.0-100.0
90.0,1584.0,1.44,-4.19,6.81,-3.71,3.52,-1.17,17.88,90.0-100.0
90.0,0.0,-2.27,-6.55,6.92,-6.41,11.02,-7.79,17.91,90.0-100.0
90.0,2603.0,0.93,2.64,11.34,3.26,-1.05,0.42,17.89,90.0-100.0
90.0,547.0,-0.47,-2.59,8.21,-3.23,-0.28,0.95,17.89,90.0-100.0
90.0,892.0,-4.5,-6.52,6.8,-5.09,15.59,-6.43,17.9,90.0-100.0
90.0,1703.0,2.32,0.4,10.74,0.06,1.54,-0.89,17.91,90.0-100.0
90.0,1071.0,1.18,7.69,13.44,7.21,-16.56,7.19,17.91,90.0-100.0
90.0,644.0,-4.66,-6.79,7.08,-4.11,17.61,-6.43,17.91,90.0-100.0
90.0,0.0,2.76,-2.33,11.36,-3.91,2.43,-4.48,17.87,90.0-100.0
90.0,1983.0,-0.79,7.8,14.15,7.32,-16.5,5.18,17.87,90.0-100.0
90.0,1855.0,-1.15,2.86,8.46,2.56,-3.27,3.67,17.89,90.0-100.0
90.0,0.0,2.53,-4.29,10.94,-6.7,2.03,-6.25,17.9,90.0-100.0
90.0,2775.0,-2.24,7.01,14.14,6.57,-12.63,4.98,17.91,90.0-100.0
90.0,0.0,0.69,4.88,10.07,5.63,-4.79,6.39,17.91,90.0-100.0
90.0,661.0,2.88,-5.94,5.65,-3.91,7.96,-1.93,17.89,90.0-100.0
90.0,1826.0,-1.88,5.48,12.64,5.44,-5.39,3.3,17.88,90.0-100.0
90.0,2149.0,2.42,6.76,11.8,7.64,-9.03,7.42,17.88,90.0-100.0
90.0,656.0,1.2,-3.88,7.28,-4.0,0.56,-0.08,17.89,90.0-100.0
90.0,0.0,-4.44,-6.72,6.47,-5.73,14.77,-8.26,17.9,90.0-100.0
90.0,2307.0,2.59,7.84,12.76,8.01,-14.07,6.8,17.9,90.0-100.0
90.0,1171.0,-2.07,-1.37,8.62,-2.92,-3.51,1.37,17.89,90.0-100.0
90.0,244.0,-5.34,-7.02,6.85,-4.2,18.69,-7.59,17.9,90.0-100.0
90.0,2193.0,3.09,-1.85,11.32,-3.0,2.72,-3.3,17.9,90.0-100.0
90.0,811.0,-2.72,1.1,8.88,-0.07,-3.98,3.94,17.89,90.0-100.0
90.0,637.0,-2.6,-7.07,5.95,-3.03,18.58,-5.39,17.89,90.0-100.0
90.0,611.0,2.52,-4.35,11.52,-6.29,1.83,-4.66,17.91,90.0-100.0
90.0,2031.0,-2.38,7.57,14.3,6.83,-13.76,5.62,17.91,90.0-100.0
90.0,1456.0,1.99,-6.67,5.44,-3.04,13.35,-3.91,17.89,90.0-100.0
90.0,0.0,0.95,-5.77,8.81,-7.91,4.1,-7.36,17.88,90.0-100.0
90.0,2830.0,-2.63,5.95,13.07,5.78,-6.58,2.85,17.9,90.0-100.0
90.0,0.0,2.59,6.79,11.74,7.49,-8.82,6.9,17.88,90.0-100.0
90.0,986.0,-2.84,-6.97,7.35,-7.63,9.67,-8.61,17.9,90.0-100.0
90.0,1694.0,0.77,3.07,10.38,3.05,1.77,0.04,17.92,90.0-100.0
90.0,2222.0,2.38,7.89,13.51,7.32,-15.06,7.41,17.91,90.0-100.0
90.0,571.0,-2.13,-1.25,8.67,-2.92,-5.28,1.88,17.9,90.0-100.0
90.0,0.0,3.67,-0.56,10.57,-1.13,3.05,-2.88,17.88,90.0-100.0
90.0,1953.0,1.29,7.92,14.48,6.82,-19.67,7.23,17.9,90.0-100.0
90.0,1361.0,-2.58,1.61,8.34,1.32,-2.87,3.64,17.88,90.0-100.0
90.0,0.0,-1.49,-7.39,5.84,-3.35,17.88,-5.27,17.86,90.0-100.0
90.0,2417.0,-1.32,7.71,14.23,6.77,-15.84,6.52,17.88,90.0-100.0
90.0,0.0,-0.3,4.16,9.0,4.95,-4.59,6.08,17.88,90.0-100.0
90.0,850.0,2.35,-6.28,5.36,-3.36,12.07,-3.2,17.9,90.0-100.0
90.0,897.0,0.15,-5.5,8.82,-7.39,6.06,-7.39,17.89,90.0-100.0
90.0,2095.0,0.76,6.06,10.74,6.8,-6.04,6.28,17.89,90.0-100.0
90.0,1213.0,2.25,-5.11,6.29,-4.52,4.59,-2.14,17.89,90.0-100.0
90.0,0.0,-2.09,-6.32,7.13,-6.86,9.52,-8.02,17.9,90.0-100.0
90.0,2238.0,0.49,3.43,11.41,3.08,-1.37,0.22,17.89,90.0-100.0
