Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
90.0,1471.0,-0.06,0.02,9.78,-0.16,-0.07,0.37,27.76,90.0-100.0
90.0,1467.0,-0.08,0.02,9.77,-0.04,0.04,-0.0,27.78,90.0-100.0
90.0,1339.0,-0.1,0.03,9.81,0.01,0.01,-0.34,27.79,90.0-100.0
90.0,1535.0,-0.07,0.01,9.79,-0.04,-0.04,-0.53,27.78,90.0-100.0
90.0,1382.0,-0.08,0.01,9.84,-0.02,0.11,-0.47,27.77,90.0-100.0
90.0,1921.0,-0.1,0.02,9.8,-0.07,-0.01,-0.2,27.75,90.0-100.0
90.0,1602.0,-0.06,0.02,9.83,-0.07,-0.02,0.08,27.77,90.0-100.0
90.0,1757.0,-0.07,0.0,9.81,-0.13,-0.02,0.49,27.77,90.0-100.0
90.0,1805.0,-0.07,0.02,9.8,-0.19,-0.04,0.61,27.77,90.0-100.0
90.0,1562.0,-0.06,0.03,9.79,-0.19,0.02,0.5,27.77,90.0-100.0
90.0,1662.0,-0.03,0.02,9.79,-0.11,0.04,0.27,27.78,90.0-100.0
90.0,1723.0,-0.04,0.02,9.82,-0.14,0.02,-0.09,27.79,90.0-100.0
90.0,1712.0,-0.08,-0.02,9.73,-0.1,0.04,-0.37,27.78,90.0-100.0
90.0,1184.0,-0.1,-0.01,9.79,-0.05,0.01,-0.53,27.77,90.0-100.0
90.0,1906.0,-0.09,0.0,9.77,-0.08,-0.05,-0.46,27.79,90.0-100.0
90.0,1296.0,-0.08,-0.01,9.78,-0.07,0.01,-0.14,27.76,90.0-100.0
90.0,1283.0,-0.08,-0.01,9.79,-0.1,-0.02,0.32,27.78,90.0-100.0
90.0,1180.0,-0.11,0.02,9.77,-0.07,-0.07,0.53,27.77,90.0-100.0
90.0,1520.0,-0.07,0.02,9.81,-0.1,-0.05,0.63,27.79,90.0-100.0
90.0,1729.0,-0.06,0.04,9.84,-0.14,0.05,0.53,27.76,90.0-100.0
90.0,1627.0,-0.08,0.07,9.78,-0.08,0.04,0.2,27.77,90.0-100.0
90.0,1408.0,-0.07,0.04,9.82,-0.1,-0.05,-0.18,27.76,90.0-100.0
90.0,1305.0,-0.1,0.01,9.81,-0.07,-0.02,-0.43,27.77,90.0-100.0
90.0,1719.0,-0.07,0.01,9.78,-0.14,-0.07,-0.52,27.79,90.0-100.0
90.0,1610.0,-0.07,-0.02,9.8,-0.11,0.02,-0.38,27.76,90.0-100.0
90.0,1857.0,-0.1,-0.03,9.79,-0.11,-0.05,0.02,27.78,90.0-100.0
90.0,1328.0,-0.08,-0.03,9.8,-0.07,0.01,0.31,27.77,90.0-100.0
90.0,1631.0,-0.07,-0.03,9.84,-0.11,0.01,0.61,27.79,90.0-100.0
90.0,1689.0,-0.05,0.03,9.83,-0.13,0.01,0.64,27.78,90.0-100.0
90.0,1147.0,-0.06,0.03,9.81,-0.05,0.04,0.38,27.78,90.0-100.0
90.0,1661.0,-0.07,0.02,9.8,-0.07,-0.01,0.15,27.79,90.0-100.0
90.0,1106.0,-0.09,0.06,9.81,-0.11,-0.02,-0.23,27.78,90.0-100.0
90.0,1314.0,-0.08,0.02,9.8,-0.02,-0.02,-0.44,27.78,90.0-100.0
90.0,1344.0,-0.07,0.03,9.8,-0.11,-0.04,-0.53,27.78,90.0-100.0
90.0,1318.0,-0.06,-0.01,9.8,-0.1,0.02,-0.4,27.76,90.0-100.0
90.0,1779.0,-0.09,0.01,9.84,-0.14,0.07,0.06,27.79,90.0-100.0
90.0,1266.0,-0.11,0.01,9.78,-0.16,-0.04,0.43,27.78,90.0-100.0
90.0,1333.0,-0.05,-0.01,9.8,-0.25,-0.02,0.61,27.79,90.0-100.0
90.0,1728.0,-0.07,0.01,9.77,-0.13,0.04,0.67,27.76,90.0-100.0
90.0,1567.0,-0.06,0.01,9.81,-0.05,0.02,0.43,27.76,90.0-100.0
90.0,1509.0,-0.06,0.02,9.8,-0.07,0.01,-0.0,27.77,90.0-100.0
90.0,1657.0,-0.07,0.05,9.8,-0.01,-0.01,-0.38,27.77,90.0-100.0
90.0,1597.0,-0.07,-0.01,9.8,-0.04,-0.07,-0.47,27.75,90.0-100.0
90.0,914.0,-0.08,-0.0,9.77,-0.07,-0.01,-0.49,27.79,90.0-100.0
90.0,1645.0,-0.09,0.01,9.83,-0.02,-0.04,-0.23,27.78,90.0-100.0
90.0,1239.0,-0.08,0.03,9.8,-0.04,-0.04,0.15,27.77,90.0-100.0
90.0,1249.0,-0.09,-0.02,9.81,-0.13,-0.04,0.47,27.76,90.0-100.0
90.0,1162.0,-0.07,0.01,9.84,-0.19,-0.04,0.64,27.77,90.0-100.0
90.0,1010.0,-0.05,0.02,9.76,-0.17,0.02,0.53,27.77,90.0-100.0
90.0,1335.0,-0.02,0.04,9.78,-0.13,0.02,0.35,27.78,90.0-100.0
90.0,1072.0,-0.07,0.03,9.81,-0.14,0.04,-0.0,27.78,90.0-100.0
90.0,1617.0,-0.05,-0.0,9.8,-0.07,-0.01,-0.35,27.76,90.0-100.0
90.0,1441.0,-0.09,-0.02,9.81,-0.02,-0.04,-0.5,27.77,90.0-100.0
90.0,1607.0,-0.06,0.01,9.77,-0.05,0.01,-0.56,27.77,90.0-100.0
90.0,1424.0,-0.08,-0.02,9.8,-0.04,0.04,-0.15,27.78,90.0-100.0
90.0,1094.0,-0.08,-0.01,9.77,-0.08,0.02,0.2,27.76,90.0-100.0
90.0,1051.0,-0.06,0.01,9.81,-0.11,-0.07,0.5,27.78,90.0-100.0
90.0,1189.0,-0.08,0.04,9.82,-0.11,0.04,0.64,27.76,90.0-100.0
90.0,1093.0,-0.04,0.03,9.83,-0.1,-0.02,0.56,27.77,90.0-100.0
90.0,1328.0,-0.05,0.04,9.81,-0.13,-0.02,0.23,27.77,90.0-100.0
90.0,1392.0,-0.08,0.02,9.8,-0.14,0.1,-0.2,27.78,90.0-100.0
90.0,1136.0,-0.05,0.04,9.83,-0.07,-0.05,-0.41,27.77,90.0-100.0
90.0,1299.0,-0.09,0.01,9.85,-0.08,0.07,-0.55,27.77,90.0-100.0
