Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
90.0,19.0,1.68,0.91,5.6,-1.39,11.32,-4.16,17.76,90.0-100.0
90.0,1390.0,1.6,3.34,13.08,5.17,-1.04,3.69,17.77,90.0-100.0
90.0,865.0,-0.9,-3.12,7.29,-2.84,-11.57,1.3,17.76,90.0-100.0
90.0,1602.0,2.07,-0.72,6.96,-3.24,10.47,-5.09,17.77,90.0-100.0
90.0,102.0,2.54,-1.14,14.86,1.43,-8.85,1.24,17.79,90.0-100.0
90.0,21.0,-4.88,-1.04,4.96,2.3,12.39,-4.81,17.78,90.0-100.0
90.0,2160.0,1.61,1.39,9.57,-0.65,-0.85,-0.72,17.76,90.0-100.0
90.0,1349.0,3.07,2.11,14.39,2.74,-11.83,4.43,17.77,90.0-100.0
90.0,431.0,-1.12,-3.12,8.35,-5.16,13.92,-4.83,17.78,90.0-100.0
90.0,1211.0,-1.39,3.91,11.66,3.17,-5.46,3.73,17.78,90.0-100.0
90.0,982.0,1.02,0.7,10.63,1.72,-10.24,4.43,17.77,90.0-100.0
90.0,48.0,-2.14,-3.82,6.1,-2.58,14.3,-3.87,17.77,90.0-100.0
90.0,1968.0,0.56,5.27,12.14,6.33,-13.02,5.04,17.77,90.0-100.0
90.0,1428.0,0.43,-1.37,7.89,0.06,-2.88,0.16,17.78,90.0-100.0
90.0,154.0,-1.32,-4.99,6.8,-5.32,15.5,-7.82,17.77,90.0-100.0
90.0,1317.0,-0.55,2.47,12.4,2.85,0.49,-0.56,17.79,90.0-100.0
90.0,979.0,-0.58,-2.8,7.31,-1.99,0.46,-1.11,17.79,90.0-100.0
90.0,310.0,-0.79,-4.42,6.57,-5.22,12.79,-5.44,17.78,90.0-100.0
90.0,1322.0,0.45,3.28,13.08,2.47,-4.78,2.91,17.77,90.0-100.0
90.0,263.0,0.55,5.01,11.77,6.54,-10.42,6.84,17.77,90.0-100.0
90.0,726.0,-1.23,-4.23,7.21,-5.41,12.21,-5.58,17.78,90.0-100.0
90.0,1580.0,-0.02,3.39,12.85,3.38,-5.8,1.88,17.77,90.0-100.0
90.0,0.0,0.57,4.9,12.03,6.65,-10.77,5.06,17.75,90.0-100.0
90.0,1113.0,0.57,-3.98,6.77,-4.08,4.9,-2.89,17.77,90.0-100.0
90.0,1404.0,-0.41,3.55,12.72,4.19,-4.81,0.27,17.77,90.0-100.0
90.0,1709.0,0.51,5.69,11.92,7.41,-10.71,5.44,17.77,90.0-100.0
90.0,1506.0,0.37,-3.8,7.14,-4.4,2.98,-0.72,17.77,90.0-100.0
90.0,0.0,-2.09,-5.61,7.34,-5.73,12.63,-5.59,17.77,90.0-100.0
90.0,1655.0,1.52,6.18,12.31,6.74,-10.9,7.76,17.77,90.0-100.0
90.0,1310.0,-1.09,-2.34,8.2,-3.74,1.42,1.12,17.78,90.0-100.0
90.0,0.0,-4.13,-6.31,7.29,-5.21,13.98,-6.16,17.77,90.0-100.0
90.0,2418.0,2.14,0.59,11.14,0.76,-0.43,-1.7,17.78,90.0-100.0
90.0,0.0,-1.9,-0.93,8.91,-1.93,-1.72,0.59,17.79,90.0-100.0
90.0,925.0,-3.62,-6.66,6.92,-4.35,17.29,-7.39,17.77,90.0-100.0
90.0,1681.0,2.06,-1.64,11.38,-1.99,2.58,-4.16,17.76,90.0-100.0
90.0,1879.0,-0.05,7.25,13.91,6.51,-16.85,6.19,17.78,90.0-100.0
90.0,1832.0,-1.73,-6.65,6.75,-4.09,15.44,-4.91,17.76,90.0-100.0
90.0,0.0,2.12,-3.77,11.42,-5.39,1.2,-3.9,17.77,90.0-100.0
90.0,2003.0,-1.12,6.95,13.34,6.08,-12.83,5.78,17.75,90.0-100.0
90.0,1397.0,-0.31,4.2,9.27,5.01,-2.76,5.65,17.76,90.0-100.0
90.0,274.0,0.82,-4.93,9.37,-6.19,3.59,-5.99,17.78,90.0-100.0
90.0,2409.0,-2.12,5.9,13.31,5.79,-8.35,3.03,17.76,90.0-100.0
90.0,511.0,1.33,5.68,11.11,7.12,-6.1,5.73,17.78,90.0-100.0
90.0,863.0,1.94,-4.8,6.73,-4.46,3.11,-1.95,17.77,90.0-100.0
90.0,922.0,-0.22,4.1,11.72,4.4,-2.62,0.92,17.79,90.0-100.0
90.0,1670.0,1.83,6.98,12.71,7.43,-11.41,7.16,17.78,90.0-100.0
90.0,1649.0,-1.03,-2.34,8.05,-3.82,-0.95,0.8,17.75,90.0-100.0
90.0,0.0,-5.46,-6.82,7.75,-5.48,15.43,-6.65,17.79,90.0-100.0
90.0,2928.0,2.12,7.76,13.02,7.21,-14.92,7.45,17.78,90.0-100.0
90.0,245.0,-2.9,-0.2,9.14,-1.84,-3.66,2.16,17.77,90.0-100.0
90.0,613.0,-2.92,-7.36,6.51,-4.25,17.94,-6.49,17.74,90.0-100.0
90.0,2240.0,2.57,-2.44,11.45,-2.89,2.75,-4.72,17.79,90.0-100.0
90.0,1023.0,-1.83,2.65,8.19,3.66,-2.46,3.5,17.78,90.0-100.0
90.0,841.0,0.74,-7.06,5.38,-4.25,16.11,-5.29,17.77,90.0-100.0
90.0,0.0,1.36,-4.46,10.73,-6.08,1.59,-5.85,17.78,90.0-100.0
90.0,2011.0,-2.25,6.5,13.62,5.73,-10.33,4.81,17.79,90.0-100.0
90.0,1120.0,2.31,-6.35,6.17,-4.78,8.64,-2.39,17.79,90.0-100.0
90.0,0.0,-0.08,-5.35,7.81,-6.48,6.39,-6.22,17.79,90.0-100.0
90.0,2928.0,-1.52,4.96,12.35,4.4,-3.37,2.24,17.77,90.0-100.0
90.0,118.0,1.61,6.35,12.19,6.95,-9.02,6.45,17.78,90.0-100.0
90.0,1661.0,-3.2,-6.34,7.5,-6.29,10.38,-7.91,17.76,90.0-100.0
90.0,1849.0,0.88,2.67,11.25,3.08,-0.73,-0.63,17.79,90.0-100.0
90.0,1792.0,2.6,7.22,12.42,7.75,-12.24,6.68,17.77,90.0-100.0
90.0,1413.0,-2.12,-1.48,9.16,-2.9,-2.75,0.92,17.78,90.0-100.0
90.0,0.0,2.21,0.22,11.07,0.27,1.56,-1.69,17.77,90.0-100.0
90.0,1797.0,1.62,7.21,13.36,6.8,-17.0,7.23,17.8,90.0-100.0
90.0,1609.0,-2.12,1.17,8.46,0.76,-2.72,3.56,17.78,90.0-100.0
90.0,0.0,-2.09,-6.66,6.14,-3.97,17.65,-5.36,17.78,90.0-100.0
90.0,2299.0,0.03,7.95,13.14,6.63,-15.46,6.03,17.79,90.0-100.0
90.0,0.0,-1.36,2.97,8.91,3.4,-3.77,3.88,17.79,90.0-100.0
90.0,1344.0,1.96,-7.18,5.57,-4.92,12.22,-4.89,17.79,90.0-100.0
90.0,1362.0,1.09,-4.41,9.16,-5.53,4.2,-6.83,17.78,90.0-100.0
90.0,2270.0,0.28,5.54,9.7,7.26,-3.75,5.79,17.77,90.0-100.0
90.0,1008.0,3.25,-5.95,5.63,-5.5,7.34,-2.63,17.77,90.0-100.0
90.0,0.0,-2.64,-6.12,7.99,-6.19,7.54,-7.03,17.79,90.0-100.0
90.0,2078.0,-0.11,3.73,11.59,3.0,-2.7,1.78,17.78,90.0-100.0
90.0,624.0,0.89,-4.43,7.23,-5.83,0.95,-0.25,17.79,90.0-100.0
90.0,657.0,-5.03,-6.23,7.34,-4.38,13.27,-7.01,17.78,90.0-100.0
