Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
90.0,1561.0,0.04,0.0,9.79,-0.08,-0.01,0.09,28.41,90.0-100.0
90.0,1614.0,0.0,0.01,9.84,-0.23,-0.04,-0.0,28.44,90.0-100.0
90.0,1582.0,-0.03,0.02,9.79,-0.07,0.07,0.09,28.43,90.0-100.0
90.0,2158.0,0.11,-0.01,9.85,-0.19,-0.1,0.08,28.42,90.0-100.0
90.0,930.0,-0.04,0.03,9.74,-0.14,0.05,0.12,28.43,90.0-100.0
90.0,1374.0,-0.11,-0.02,9.84,-0.28,-0.01,0.11,28.44,90.0-100.0
90.0,1397.0,0.1,0.03,9.79,-0.02,-0.01,0.11,28.43,90.0-100.0
90.0,1505.0,-0.09,-0.02,9.78,-0.14,0.1,0.05,28.43,90.0-100.0
90.0,1294.0,0.04,0.02,9.84,-0.11,-0.11,0.05,28.44,90.0-100.0
90.0,1498.0,0.06,0.01,9.8,-0.16,0.01,0.03,28.43,90.0-100.0
90.0,1391.0,-0.1,0.01,9.84,-0.08,0.02,-0.0,28.44,90.0-100.0
90.0,1288.0,0.08,0.0,9.84,-0.08,-0.04,0.02,28.43,90.0-100.0
90.0,1262.0,-0.06,-0.01,9.8,-0.17,0.02,0.09,28.43,90.0-100.0
90.0,1535.0,-0.06,0.01,9.78,-0.13,-0.04,0.06,28.44,90.0-100.0
90.0,1473.0,0.06,-0.03,9.78,-0.23,-0.02,0.12,28.44,90.0-100.0
90.0,1456.0,-0.09,0.02,9.81,-0.1,0.1,0.15,28.44,90.0-100.0
90.0,1294.0,0.03,-0.0,9.8,-0.2,-0.13,0.12,28.44,90.0-100.0
90.0,1501.0,0.04,-0.0,9.8,-0.17,-0.02,0.05,28.45,90.0-100.0
90.0,1600.0,-0.04,-0.01,9.79,-0.23,0.01,0.06,28.45,90.0-100.0
90.0,1462.0,0.02,0.03,9.8,-0.11,0.02,0.03,28.43,90.0-100.0
90.0,1344.0,-0.03,-0.02,9.77,-0.11,0.07,0.02,28.45,90.0-100.0
90.0,1152.0,-0.04,0.02,9.8,-0.1,0.01,0.08,28.41,90.0-100.0
90.0,1242.0,0.03,-0.0,9.84,-0.16,-0.08,0.08,28.45,90.0-100.0
90.0,1488.0,-0.03,-0.0,9.79,-0.11,-0.01,0.08,28.44,90.0-100.0
90.0,1248.0,-0.01,0.02,9.85,-0.08,0.04,0.03,28.44,90.0-100.0
90.0,1406.0,0.01,0.02,9.8,-0.19,0.07,0.03,28.42,90.0-100.0
90.0,1334.0,-0.07,0.03,9.78,-0.08,0.01,-0.02,28.41,90.0-100.0
90.0,1086.0,-0.0,-0.0,9.78,-0.23,-0.02,0.09,28.43,90.0-100.0
90.0,1253.0,-0.0,0.0,9.83,-0.08,-0.01,0.05,28.43,90.0-100.0
90.0,1442.0,-0.03,-0.01,9.79,-0.16,0.05,0.08,28.44,90.0-100.0
90.0,1403.0,-0.01,-0.0,9.8,-0.14,0.02,0.03,28.42,90.0-100.0
90.0,1415.0,-0.03,-0.04,9.79,-0.13,0.01,0.11,28.44,90.0-100.0
90.0,1529.0,-0.0,-0.01,9.81,-0.1,-0.07,0.11,28.42,90.0-100.0
90.0,1353.0,0.01,-0.01,9.81,-0.19,-0.04,0.06,28.43,90.0-100.0
90.0,1522.0,-0.0,-0.01,9.84,-0.16,-0.05,0.03,28.43,90.0-100.0
90.0,1425.0,-0.0,0.0,9.76,-0.17,-0.05,0.02,28.44,90.0-100.0
90.0,1408.0,-0.01,-0.01,9.8,-0.11,-0.04,0.02,28.45,90.0-100.0
90.0,1430.0,-0.01,0.03,9.78,-0.13,-0.05,0.06,28.44,90.0-100.0
90.0,1386.0,-0.0,0.0,9.77,-0.14,0.04,0.05,28.43,90.0-100.0
90.0,1406.0,-0.02,0.01,9.82,-0.11,-0.05,0.03,28.44,90.0-100.0
90.0,1457.0,0.0,-0.01,9.81,-0.16,-0.02,0.09,28.44,90.0-100.0
90.0,1409.0,-0.02,0.03,9.85,-0.14,0.05,0.15,28.47,90.0-100.0
90.0,1315.0,-0.03,-0.02,9.75,-0.16,0.1,0.14,28.44,90.0-100.0
90.0,1403.0,-0.05,0.02,9.89,-0.19,0.05,0.11,28.43,90.0-100.0
90.0,1204.0,0.07,-0.02,9.72,-0.07,0.02,0.09,28.44,90.0-100.0
90.0,1499.0,-0.1,0.03,9.92,-0.19,-0.1,0.06,28.42,90.0-100.0
90.0,421.0,0.09,0.01,9.86,-0.02,-0.13,-0.02,28.42,90.0-100.0
90.0,1437.0,0.0,-0.01,9.77,-0.13,-0.11,0.02,28.44,90.0-100.0
90.0,1583.0,-0.06,0.04,9.84,-0.14,-0.18,0.03,28.42,90.0-100.0
90.0,807.0,0.14,0.04,9.78,-0.07,0.11,0.03,28.45,90.0-100.0
90.0,842.0,-0.11,-0.01,9.78,-0.14,0.07,0.03,28.43,90.0-100.0
90.0,1267.0,0.06,-0.01,9.85,-0.17,-0.21,0.12,28.44,90.0-100.0
90.0,1571.0,-0.0,-0.01,9.73,-0.19,0.18,0.05,28.44,90.0-100.0
90.0,1527.0,-0.2,0.02,9.82,-0.2,0.04,0.06,28.46,90.0-100.0
90.0,1661.0,0.16,0.01,9.79,-0.19,-0.08,0.12,28.44,90.0-100.0
90.0,1478.0,-0.07,0.01,9.86,-0.2,0.16,0.05,28.44,90.0-100.0
90.0,1296.0,-0.02,-0.01,9.82,-0.11,-0.13,0.02,28.45,90.0-100.0
90.0,1286.0,0.2,-0.01,9.83,-0.17,-0.1,0.05,28.42,90.0-100.0
90.0,1575.0,-0.16,0.0,9.72,-0.17,0.07,0.05,28.44,90.0-100.0
90.0,1430.0,0.08,-0.02,9.78,-0.14,-0.19,0.14,28.46,90.0-100.0
90.0,1424.0,0.01,0.03,9.82,-0.08,0.14,0.08,28.42,90.0-100.0
90.0,1290.0,-0.2,-0.03,9.8,-0.14,0.05,0.12,28.44,90.0-100.0
90.0,1339.0,0.13,0.0,9.85,-0.13,-0.11,0.06,28.44,90.0-100.0
90.0,1359.0,-0.08,-0.01,9.8,-0.11,0.18,0.05,28.44,90.0-100.0
90.0,1391.0,-0.06,0.02,9.83,-0.16,-0.16,0.11,28.43,90.0-100.0
90.0,1422.0,0.11,-0.02,9.8,-0.19,-0.16,0.02,28.42,90.0-100.0
90.0,1338.0,-0.11,-0.0,9.81,-0.13,0.02,0.05,28.43,90.0-100.0
90.0,1300.0,0.05,0.0,9.78,-0.11,-0.13,0.03,28.43,90.0-100.0
90.0,1441.0,0.11,0.01,9.83,-0.17,-0.08,0.03,28.42,90.0-100.0
90.0,1562.0,-0.12,-0.01,9.77,-0.13,0.05,0.03,28.42,90.0-100.0
90.0,1437.0,0.06,0.01,9.84,-0.19,-0.1,0.08,28.43,90.0-100.0
90.0,1305.0,-0.03,-0.03,9.8,-0.1,0.01,0.14,28.43,90.0-100.0
90.0,1309.0,-0.08,0.0,9.78,-0.1,0.02,0.15,28.44,90.0-100.0
