Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
90.0,1341.0,0.7,-3.49,10.25,-4.89,1.5,-2.3,28.07,90.0-100.0
90.0,1677.0,-0.83,-0.35,9.36,-0.97,-0.37,-0.12,28.06,90.0-100.0
90.0,2453.0,1.29,3.06,9.66,4.22,0.86,2.06,28.05,90.0-100.0
90.0,0.0,0.58,2.42,10.48,3.57,-2.07,2.41,28.07,90.0-100.0
90.0,2112.0,-0.56,-3.03,9.9,-4.02,2.52,-0.92,28.08,90.0-100.0
90.0,1615.0,0.93,0.39,9.96,-0.65,-2.1,1.69,28.07,90.0-100.0
90.0,2927.0,1.23,3.2,9.48,4.21,0.94,2.85,28.08,90.0-100.0
90.0,557.0,0.66,2.63,10.33,3.6,-1.73,1.94,28.11,90.0-100.0
90.0,1965.0,0.32,-3.44,10.37,-4.06,2.19,-3.19,28.09,90.0-100.0
90.0,2381.0,-1.53,-0.66,8.62,-1.39,0.22,-1.71,28.07,90.0-100.0
90.0,2926.0,2.2,2.26,10.51,2.62,0.57,0.55,28.07,90.0-100.0
90.0,1516.0,-0.24,3.46,9.04,4.4,-1.67,2.4,28.07,90.0-100.0
90.0,0.0,1.41,-3.86,10.95,-5.67,-3.27,-2.58,28.07,90.0-100.0
90.0,2496.0,-2.1,-2.71,9.35,-3.22,3.7,-2.0,28.06,90.0-100.0
90.0,2005.0,-1.29,-0.55,8.75,-1.45,0.28,0.63,28.09,90.0-100.0
90.0,2923.0,1.1,2.29,10.48,4.57,1.99,3.22,28.06,90.0-100.0
90.0,1855.0,-1.05,0.23,9.04,0.15,0.98,0.53,28.07,90.0-100.0
90.0,0.0,-0.61,-2.64,10.28,-5.03,-3.91,-2.24,28.07,90.0-100.0
90.0,2423.0,0.58,-3.38,10.12,-4.03,2.07,-4.0,28.06,90.0-100.0
90.0,2027.0,0.27,2.85,9.71,3.72,0.08,1.6,28.07,90.0-100.0
90.0,2926.0,0.86,3.16,9.63,4.24,-1.11,1.89,28.07,90.0-100.0
90.0,1775.0,1.54,1.77,10.4,3.76,2.04,1.13,28.07,90.0-100.0
90.0,0.0,-0.9,0.04,9.29,-0.37,-1.24,0.08,28.07,90.0-100.0
90.0,1999.0,-2.67,-1.44,8.4,-1.61,2.69,-0.93,28.08,90.0-100.0
90.0,2151.0,1.91,0.62,10.4,0.76,-0.19,1.85,28.08,90.0-100.0
90.0,2608.0,1.19,2.27,10.49,2.57,-0.37,3.37,28.08,90.0-100.0
90.0,2919.0,1.19,3.02,9.36,3.81,-1.55,3.66,28.08,90.0-100.0
90.0,1345.0,0.09,-2.83,10.48,-4.87,-3.47,-2.37,28.06,90.0-100.0
90.0,909.0,0.11,-3.44,10.27,-3.76,1.96,-3.97,28.05,90.0-100.0
90.0,2625.0,-4.22,-1.85,8.0,-1.7,5.45,-3.57,28.09,90.0-100.0
90.0,2864.0,-0.4,-0.64,9.34,-1.76,-1.12,-1.4,28.07,90.0-100.0
90.0,2927.0,1.02,2.53,9.88,4.07,1.27,2.08,28.06,90.0-100.0
90.0,2432.0,1.3,1.21,10.12,0.83,-1.64,1.22,28.07,90.0-100.0
90.0,0.0,-0.8,-0.97,10.02,-2.97,-3.93,-0.26,28.08,90.0-100.0
90.0,2096.0,0.99,-3.1,10.41,-4.09,-2.13,-1.71,28.08,90.0-100.0
90.0,2623.0,1.45,0.67,10.99,0.65,-0.39,1.69,28.07,90.0-100.0
90.0,2190.0,0.62,2.33,9.73,3.09,0.77,2.82,28.07,90.0-100.0
90.0,2927.0,-0.12,3.3,8.84,4.34,0.63,2.99,28.07,90.0-100.0
90.0,1800.0,0.84,2.96,9.66,4.74,2.4,2.26,28.08,90.0-100.0
90.0,0.0,-0.04,-3.62,10.58,-3.55,1.21,-4.18,28.07,90.0-100.0
90.0,2163.0,-3.71,-2.46,8.46,-2.26,3.87,-3.62,28.07,90.0-100.0
90.0,2762.0,-2.05,-1.16,8.58,-2.13,0.13,-1.56,28.05,90.0-100.0
90.0,1907.0,0.68,0.21,10.54,-0.34,-0.42,0.76,28.08,90.0-100.0
90.0,2925.0,2.32,1.7,10.17,1.76,-1.24,2.43,28.08,90.0-100.0
90.0,1113.0,-0.59,0.02,10.2,-1.06,-3.4,0.6,28.05,90.0-100.0
90.0,0.0,-0.15,-2.17,10.2,-2.8,-3.81,-1.31,28.06,90.0-100.0
90.0,2446.0,0.11,-3.26,10.48,-3.84,-1.93,-2.88,28.07,90.0-100.0
90.0,2927.0,1.06,1.73,10.06,2.41,2.59,1.59,28.09,90.0-100.0
90.0,1841.0,0.83,3.12,9.45,3.31,0.22,2.52,28.08,90.0-100.0
90.0,2482.0,1.84,2.83,10.2,3.29,-1.72,2.43,28.07,90.0-100.0
90.0,779.0,1.79,2.0,10.72,3.7,-0.54,1.45,28.07,90.0-100.0
90.0,0.0,0.31,-3.6,10.36,-4.69,0.53,-3.4,28.08,90.0-100.0
90.0,2927.0,-4.03,-2.67,8.7,-3.44,5.15,-2.21,28.06,90.0-100.0
90.0,2113.0,-1.95,-1.04,8.31,-1.55,4.28,0.05,28.07,90.0-100.0
90.0,578.0,0.76,1.18,10.13,0.25,1.41,2.29,28.09,90.0-100.0
90.0,1249.0,0.31,1.7,9.2,3.87,0.37,1.57,28.07,90.0-100.0
90.0,0.0,-1.27,0.22,9.84,-0.77,-5.82,-0.38,28.08,90.0-100.0
90.0,0.0,0.1,-2.39,10.4,-3.96,-5.97,-2.49,28.07,90.0-100.0
90.0,2927.0,0.91,-3.77,10.76,-4.2,-0.07,-3.81,28.07,90.0-100.0
90.0,2926.0,1.21,2.13,10.13,1.78,2.62,1.46,28.08,90.0-100.0
90.0,128.0,0.62,3.24,9.15,3.7,0.31,2.62,28.04,90.0-100.0
90.0,1974.0,1.8,2.64,10.63,3.98,-2.66,2.9,28.06,90.0-100.0
90.0,0.0,1.95,2.04,10.59,3.73,-2.4,2.21,28.05,90.0-100.0
90.0,184.0,-1.84,-3.18,9.46,-3.9,3.43,-2.56,28.05,90.0-100.0
90.0,2927.0,-3.11,-2.28,8.47,-3.16,4.91,-1.6,28.06,90.0-100.0
90.0,1903.0,-0.41,-0.84,9.36,-2.1,2.36,0.08,28.08,90.0-100.0
90.0,192.0,0.71,0.85,10.48,0.04,2.59,1.33,28.07,90.0-100.0
90.0,624.0,1.15,1.33,10.08,1.96,-2.75,0.29,28.07,90.0-100.0
90.0,0.0,-1.31,-0.52,9.54,-0.92,-4.34,-1.56,28.06,90.0-100.0
90.0,0.0,0.16,-2.41,10.48,-3.24,-4.08,-2.78,28.07,90.0-100.0
90.0,2926.0,0.53,-3.55,10.75,-4.41,-1.26,-3.43,28.04,90.0-100.0
90.0,1902.0,0.26,2.47,9.7,2.02,2.78,2.35,28.06,90.0-100.0
90.0,112.0,1.06,3.2,9.25,3.09,-1.03,3.52,28.06,90.0-100.0
90.0,1328.0,1.57,2.72,10.45,4.1,-1.0,3.42,28.07,90.0-100.0
90.0,0.0,1.13,1.97,10.05,4.3,0.42,2.23,28.1,90.0-100.0
90.0,0.0,-1.38,-3.42,9.82,-4.29,1.95,-2.84,28.08,90.0-100.0
90.0,2928.0,-3.58,-2.25,8.49,-2.61,6.06,-2.37,28.08,90.0-100.0
90.0,2559.0,-1.02,-0.73,8.44,-1.06,4.39,-0.79,28.05,90.0-100.0
90.0,604.0,0.69,1.13,10.32,0.3,2.51,0.92,28.05,90.0-100.0
90.0,1247.0,0.82,1.47,9.51,3.15,-0.89,0.32,28.07,90.0-100.0
90.0,0.0,-1.9,0.01,9.38,-0.57,-4.66,-0.99,28.06,90.0-100.0
90.0,0.0,-0.15,-2.14,10.14,-3.29,-4.52,-2.01,28.07,90.0-100.0
90.0,2928.0,0.31,-3.42,10.35,-4.2,-0.53,-2.7,28.07,90.0-100.0
90.0,2645.0,0.93,2.11,10.09,1.92,3.1,2.75,28.08,90.0-100.0
90.0,453.0,0.33,3.24,9.03,3.41,0.25,3.6,28.07,90.0-100.0
90.0,1072.0,1.19,2.87,10.37,4.08,-1.75,3.27,28.06,90.0-100.0
90.0,193.0,2.25,2.12,10.51,3.98,-1.56,1.69,28.08,90.0-100.0
90.0,0.0,-0.94,-3.4,9.93,-4.12,2.07,-3.63,28.07,90.0-100.0
90.0,2926.0,-3.51,-2.64,8.6,-3.51,4.52,-3.2,28.06,90.0-100.0
90.0,1729.0,-1.89,-1.18,8.43,-1.44,5.47,-1.43,28.07,90.0-100.0
90.0,0.0,0.8,0.49,10.07,0.07,3.12,0.9,28.07,90.0-100.0
90.0,816.0,0.9,1.89,9.63,3.57,-1.52,1.43,28.08,90.0-100.0
90.0,0.0,-1.57,0.55,9.65,-0.36,-5.35,0.37,28.05,90.0-100.0
90.0,0.0,-0.15,-2.08,10.66,-4.26,-7.23,-1.08,28.06,90.0-100.0
90.0,2927.0,1.95,-3.79,10.45,-4.25,-0.66,-2.62,28.07,90.0-100.0
90.0,2923.0,1.8,1.1,11.35,-0.33,0.62,2.0,28.08,90.0-100.0
90.0,370.0,1.21,2.54,8.8,3.28,2.1,2.46,28.08,90.0-100.0
90.0,1315.0,-1.25,3.41,9.2,5.84,2.01,2.7,28.08,90.0-100.0
90.0,0.0,2.28,2.53,10.31,4.24,-2.14,1.98,28.07,90.0-100.0
90.0,0.0,-2.17,-3.09,9.77,-2.83,2.42,-3.59,28.05,90.0-100.0
90.0,2926.0,-2.62,-2.74,8.84,-4.34,1.46,-2.87,28.06,90.0-100.0
90.0,2380.0,-1.47,-1.92,9.37,-3.8,1.2,-1.37,28.04,90.0-100.0
90.0,0.0,-0.34,-0.09,9.44,-0.3,5.39,0.55,28.06,90.0-100.0
90.0,860.0,2.5,1.83,10.79,2.8,-3.04,2.27,28.06,90.0-100.0
90.0,0.0,-1.22,1.04,9.1,2.63,-0.19,0.53,28.06,90.0-100.0
90.0,0.0,-2.03,-0.41,8.92,-0.51,-3.33,-1.05,28.07,90.0-100.0
90.0,2735.0,0.62,-2.74,10.92,-4.55,-5.68,-2.61,28.08,90.0-100.0
90.0,2055.0,0.71,1.17,9.85,0.99,3.64,1.22,28.04,90.0-100.0
90.0,1281.0,0.18,2.91,10.06,1.26,-0.97,2.3,28.06,90.0-100.0
90.0,1375.0,2.41,2.54,9.99,1.66,-4.45,2.75,28.07,90.0-100.0
90.0,562.0,1.88,2.32,11.13,4.33,-0.91,2.56,28.05,90.0-100.0
90.0,0.0,1.25,-3.44,10.76,-4.61,-2.59,-2.85,28.05,90.0-100.0
90.0,2607.0,-2.16,-3.31,9.5,-4.2,3.58,-2.76,28.07,90.0-100.0
90.0,2927.0,-2.47,-2.4,8.88,-3.13,4.46,-1.71,28.06,90.0-100.0
90.0,368.0,0.0,-0.88,9.54,-0.78,3.53,0.09,28.07,90.0-100.0
90.0,1584.0,2.26,2.19,11.09,3.57,-1.92,2.14,28.07,90.0-100.0
90.0,0.0,-0.08,1.37,9.44,2.79,-0.92,0.27,28.06,90.0-100.0
90.0,0.0,-1.36,-0.19,9.28,-0.08,-3.35,-1.36,28.08,90.0-100.0
90.0,2382.0,-0.4,-2.27,10.35,-3.24,-4.27,-2.56,28.07,90.0-100.0
90.0,2927.0,0.7,0.18,9.69,0.28,5.04,0.56,28.07,90.0-100.0
90.0,1315.0,0.67,2.45,9.7,2.19,3.65,2.41,28.05,90.0-100.0
90.0,1341.0,0.54,3.15,9.54,2.96,-0.44,3.46,28.06,90.0-100.0
90.0,546.0,2.19,2.51,10.94,3.2,-3.4,3.45,28.05,90.0-100.0
90.0,0.0,0.41,-2.96,10.37,-3.68,-1.59,-2.5,28.06,90.0-100.0
90.0,2927.0,-0.68,-3.46,10.07,-4.54,0.59,-3.08,28.07,90.0-100.0
90.0,2927.0,-2.75,-2.71,9.2,-3.79,3.44,-2.56,28.07,90.0-100.0
