Speed,Voice,Acceleration X,Acceleration Y,Acceleration Z,Gyro X,Gyro Y,Gyro Z,Temperature,Speed_Range
90.0,1910.0,-1.49,-3.64,7.99,-2.1,10.83,-3.36,27.49,90.0-100.0
90.0,1193.0,-0.03,0.77,9.93,-0.42,1.33,1.44,27.52,90.0-100.0
90.0,2035.0,0.33,3.69,9.13,7.93,-0.32,2.98,27.51,90.0-100.0
90.0,606.0,2.52,-3.49,10.82,-6.8,1.27,-1.27,27.51,90.0-100.0
90.0,375.0,1.38,3.59,12.01,3.5,-9.86,4.95,27.49,90.0-100.0
90.0,1244.0,-0.2,-1.58,9.25,-0.74,-2.2,-0.8,27.52,90.0-100.0
90.0,2365.0,0.4,-3.77,9.89,-8.32,2.82,-2.91,27.51,90.0-100.0
90.0,0.0,-0.94,3.37,9.13,7.53,-1.54,1.99,27.52,90.0-100.0
90.0,1306.0,-1.17,-5.76,7.9,-4.89,10.39,-6.58,27.49,90.0-100.0
90.0,2673.0,1.56,0.21,10.4,-0.6,5.28,-0.37,27.5,90.0-100.0
90.0,0.0,1.86,4.34,11.95,8.08,-9.05,4.2,27.5,90.0-100.0
90.0,1883.0,-1.31,-4.52,8.39,-9.3,7.31,-5.07,27.5,90.0-100.0
90.0,2185.0,0.64,5.63,9.75,6.43,3.34,6.13,27.48,90.0-100.0
90.0,291.0,0.65,1.85,10.94,5.72,-9.61,3.36,27.51,90.0-100.0
90.0,2109.0,-0.64,-6.78,7.97,-7.89,7.93,-5.87,27.49,90.0-100.0
90.0,2659.0,0.6,7.05,12.66,7.35,-11.66,8.03,27.49,90.0-100.0
90.0,82.0,-1.24,-0.41,8.39,1.32,-5.26,-1.01,27.49,90.0-100.0
90.0,881.0,-0.61,-6.2,6.87,-7.19,15.49,-7.56,27.51,90.0-100.0
90.0,2235.0,1.29,2.22,11.68,3.14,5.65,1.44,27.49,90.0-100.0
90.0,0.0,-1.34,-2.59,6.96,-3.09,-2.93,-4.42,27.51,90.0-100.0
90.0,2147.0,-1.02,-4.61,6.35,-5.54,19.44,-6.87,27.49,90.0-100.0
90.0,2853.0,1.34,3.58,12.39,5.44,2.79,4.07,27.49,90.0-100.0
90.0,0.0,1.44,3.74,14.11,4.25,-23.51,6.84,27.49,90.0-100.0
90.0,2925.0,-1.2,-3.57,6.36,-4.32,21.96,-4.66,27.52,90.0-100.0
90.0,1791.0,1.78,4.13,13.33,6.16,-1.95,5.93,27.51,90.0-100.0
90.0,1257.0,1.35,3.32,13.71,3.47,-23.83,6.42,27.51,90.0-100.0
90.0,1264.0,-1.67,-4.19,5.63,-6.47,3.86,-5.67,27.46,90.0-100.0
90.0,896.0,1.85,4.24,13.68,6.45,-4.12,4.77,27.52,90.0-100.0
